时间,是否始发站,是否终到站
05:54,0,0
06:02,0,0
06:07,0,0
06:11,0,0
06:15,0,0
06:18,0,0
06:22,0,0
06:26,0,0
06:30,0,0
06:34,0,0
06:36,0,0
06:40,0,0
06:42,0,0
06:46,0,0
06:48,0,0
06:52,0,0
06:55,0,0
06:59,0,0
07:03,0,0
07:05,0,0
07:09,0,0
07:11,0,0
07:14,0,0
07:17,0,0
07:19,0,0
07:22,0,0
07:24,0,0
07:27,0,0
07:29,0,0
07:32,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:52,0,0
07:55,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:32,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:40,0,0
09:42,0,0
09:44,0,0
09:46,0,0
09:49,0,0
09:51,0,0
09:54,0,0
09:58,0,0
10:02,0,0
10:06,0,0
10:12,0,0
10:18,0,0
10:24,0,0
10:30,0,0
10:36,0,0
10:42,0,0
10:48,0,0
10:54,0,0
11:00,0,0
11:06,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:29,0,0
11:35,0,0
11:41,0,0
11:47,0,0
11:53,0,0
11:59,0,0
12:05,0,0
12:11,0,0
12:17,0,0
12:23,0,0
12:29,0,0
12:35,0,0
12:41,0,0
12:47,0,0
12:53,0,0
12:59,0,0
13:05,0,0
13:11,0,0
13:17,0,0
13:23,0,0
13:29,0,0
13:35,0,0
13:41,0,0
13:47,0,0
13:53,0,0
13:59,0,0
14:05,0,0
14:11,0,0
14:17,0,0
14:23,0,0
14:29,0,0
14:35,0,0
14:41,0,0
14:47,0,0
14:53,0,0
14:59,0,0
15:05,0,0
15:11,0,0
15:17,0,0
15:23,0,0
15:29,0,0
15:35,0,0
15:41,0,0
15:47,0,0
15:53,0,0
15:59,0,0
16:05,0,0
16:11,0,0
16:17,0,0
16:23,0,0
16:29,0,0
16:35,0,0
16:41,0,0
16:47,0,0
16:53,0,0
16:55,0,0
16:58,0,0
17:00,0,0
17:02,0,0
17:05,0,0
17:07,0,0
17:09,0,0
17:12,0,0
17:14,0,0
17:16,0,0
17:19,0,0
17:21,0,0
17:23,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:47,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:01,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:12,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:37,0,0
18:40,0,0
18:43,0,0
18:46,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:01,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:11,0,0
19:13,0,0
19:15,0,0
19:18,0,0
19:20,0,0
19:22,0,0
19:25,0,0
19:27,0,0
19:29,0,0
19:32,0,0
19:34,0,0
19:36,0,0
19:39,0,0
19:41,0,0
19:43,0,0
19:46,0,0
19:48,0,0
19:50,0,0
19:53,0,0
19:55,0,0
19:57,0,0
20:00,0,0
20:02,0,0
20:04,0,0
20:08,0,0
20:11,0,0
20:14,0,0
20:18,0,0
20:24,0,0
20:29,0,0
20:35,0,0
20:39,0,0
20:45,0,0
20:50,0,0
20:56,0,0
21:00,0,0
21:06,0,0
21:11,0,0
21:17,0,0
21:24,0,0
21:31,0,0
21:38,0,0
21:45,0,0
21:52,0,0
21:59,0,0
22:06,0,0
22:13,0,0
22:20,0,0
22:27,0,0
22:34,0,0
22:41,0,0
22:48,0,0
22:55,0,0
23:02,0,0
23:09,0,0
23:16,0,0
23:24,0,0
23:32,0,0
23:40,0,0
23:48,0,0
23:56,0,0
