时间,是否始发站,是否终到站
05:13,0,0
05:17,0,0
05:21,0,0
05:25,0,0
05:29,0,0
05:33,0,0
05:37,0,0
05:41,0,0
05:44,0,0
05:47,0,0
05:50,0,0
05:52,0,0
05:56,0,0
05:59,0,0
06:03,0,0
06:05,0,0
06:09,0,0
06:13,0,0
06:15,0,0
06:19,0,0
06:21,0,0
06:24,0,0
06:27,0,0
06:29,0,0
06:32,0,0
06:34,0,0
06:37,0,0
06:39,0,0
06:42,0,0
06:45,0,0
06:47,0,0
06:49,0,0
06:51,0,0
06:54,0,0
06:57,0,0
06:59,0,0
07:02,0,0
07:05,0,0
07:08,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:17,1,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:29,1,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:41,1,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:53,1,0
08:54,0,0
08:56,0,0
08:59,0,0
09:01,0,0
09:04,0,0
09:07,1,0
09:08,0,0
09:12,0,0
09:16,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:28,0,0
09:30,0,0
09:34,0,0
09:37,0,0
09:40,0,0
09:42,0,0
09:46,0,0
09:49,0,0
09:52,0,0
09:54,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:06,0,0
10:10,0,0
10:13,0,0
10:16,0,0
10:19,0,0
10:22,0,0
10:25,0,0
10:28,0,0
10:31,0,0
10:34,0,0
10:40,0,0
10:46,0,0
10:52,0,0
10:58,0,0
11:04,0,0
11:10,0,0
11:16,0,0
11:22,0,0
11:28,0,0
11:34,0,0
11:40,0,0
11:46,0,0
11:52,0,0
11:58,0,0
12:04,0,0
12:10,0,0
12:16,0,0
12:22,0,0
12:28,0,0
12:34,0,0
12:40,0,0
12:46,0,0
12:52,0,0
12:58,0,0
13:04,0,0
13:10,0,0
13:16,0,0
13:22,0,0
13:28,0,0
13:34,0,0
13:40,0,0
13:46,0,0
13:52,0,0
13:58,0,0
14:04,0,0
14:10,0,0
14:16,0,0
14:22,0,0
14:28,0,0
14:34,0,0
14:40,0,0
14:46,0,0
14:52,0,0
14:58,0,0
15:04,0,0
15:10,0,0
15:16,0,0
15:22,0,0
15:28,0,0
15:34,0,0
15:40,0,0
15:46,0,0
15:52,0,0
15:57,0,0
16:02,0,0
16:05,0,0
16:07,0,0
16:09,0,0
16:12,0,0
16:14,0,0
16:16,0,0
16:19,0,0
16:21,0,0
16:23,0,0
16:26,0,0
16:28,0,0
16:30,0,0
16:33,0,0
16:35,0,0
16:37,0,0
16:40,0,0
16:42,0,0
16:44,0,0
16:47,0,0
16:49,0,0
16:51,0,0
16:54,0,0
16:56,0,0
17:00,0,0
17:03,0,0
17:05,0,0
17:08,0,0
17:10,0,0
17:12,0,0
17:15,0,0
17:17,0,0
17:19,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:50,0,0
17:52,0,0
17:55,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:46,0,0
18:48,0,0
18:50,0,0
18:53,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:14,0,0
19:17,0,0
19:21,0,0
19:23,0,0
19:26,0,0
19:30,0,0
19:33,0,0
19:37,0,0
19:40,0,0
19:44,0,0
19:47,0,0
19:51,0,0
19:54,0,0
19:58,0,0
20:01,0,0
20:05,0,0
20:08,0,0
20:12,0,0
20:15,0,0
20:19,0,0
20:22,0,0
20:26,0,0
20:29,0,0
20:33,0,0
20:36,0,0
20:40,0,0
20:43,0,0
20:47,0,0
20:50,0,0
20:54,0,0
20:57,0,0
21:01,0,0
21:03,0,0
21:08,0,0
21:12,0,0
21:15,0,0
21:19,0,0
21:22,0,0
21:26,0,0
21:29,0,0
21:32,0,0
21:36,0,0
21:39,0,0
21:43,0,0
21:46,0,0
21:50,0,0
21:53,0,0
21:57,0,0
22:00,0,0
22:04,0,0
22:07,0,0
22:11,0,0
22:18,0,0
22:26,0,0
22:34,0,0
22:42,0,0
22:50,0,0
22:58,0,0
23:07,0,0
23:14,0,0
23:21,0,0
23:28,0,0
23:35,0,0
23:42,0,0
23:49,0,0
