时间,是否始发站,是否终到站
05:20,0,0
05:25,0,0
05:29,0,0
05:33,0,0
05:36,0,0
05:40,0,0
05:44,0,0
05:48,0,0
05:51,0,0
05:54,0,0
05:57,0,0
06:00,0,0
06:03,0,0
06:06,0,0
06:10,0,0
06:13,0,0
06:17,0,0
06:20,0,0
06:23,0,0
06:27,0,0
06:29,0,0
06:32,0,0
06:35,0,0
06:37,0,0
06:39,0,0
06:42,0,0
06:45,0,0
06:47,0,0
06:50,0,0
06:52,0,0
06:55,0,0
06:57,0,0
06:59,0,0
07:02,0,0
07:04,0,0
07:06,0,0
07:09,0,0
07:12,0,0
07:15,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:09,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:20,0,0
09:23,0,0
09:27,0,0
09:29,0,0
09:32,0,0
09:36,0,0
09:38,0,0
09:41,0,0
09:45,0,0
09:48,0,0
09:50,0,0
09:54,0,0
09:57,0,0
10:00,0,0
10:02,0,0
10:06,0,0
10:09,0,0
10:12,0,0
10:14,0,0
10:18,0,0
10:21,0,0
10:24,0,0
10:26,0,0
10:30,0,0
10:32,0,0
10:36,0,0
10:38,0,0
10:42,0,0
10:47,0,0
10:53,0,0
10:59,0,0
11:05,0,0
11:11,0,0
11:17,0,0
11:23,0,0
11:29,0,0
11:35,0,0
11:41,0,0
11:47,0,0
11:53,0,0
11:59,0,0
12:05,0,0
12:11,0,0
12:17,0,0
12:23,0,0
12:29,0,0
12:35,0,0
12:41,0,0
12:47,0,0
12:53,0,0
12:59,0,0
13:05,0,0
13:11,0,0
13:17,0,0
13:23,0,0
13:29,0,0
13:35,0,0
13:41,0,0
13:47,0,0
13:53,0,0
13:59,0,0
14:05,0,0
14:11,0,0
14:17,0,0
14:23,0,0
14:29,0,0
14:35,0,0
14:41,0,0
14:47,0,0
14:53,0,0
14:59,0,0
15:05,0,0
15:11,0,0
15:17,0,0
15:23,0,0
15:29,0,0
15:35,0,0
15:41,0,0
15:47,0,0
15:53,0,0
15:59,0,0
16:04,0,0
16:09,0,0
16:12,0,0
16:14,0,0
16:16,0,0
16:19,0,0
16:21,0,0
16:23,0,0
16:26,0,0
16:28,0,0
16:30,0,0
16:33,0,0
16:35,0,0
16:37,0,0
16:40,0,0
16:42,0,0
16:44,0,0
16:47,0,0
16:49,0,0
16:51,0,0
16:54,0,0
16:56,0,0
16:58,0,0
17:01,0,0
17:03,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:15,0,0
17:17,0,0
17:19,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:57,0,0
17:59,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:46,0,0
18:48,0,0
18:50,0,0
18:53,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:14,0,0
19:16,0,0
19:18,0,0
19:21,0,0
19:24,0,0
19:28,0,0
19:30,0,0
19:33,0,0
19:37,0,0
19:40,0,0
19:44,0,0
19:47,0,0
19:51,0,0
19:54,0,0
19:58,0,0
20:01,0,0
20:05,0,0
20:08,0,0
20:12,0,0
20:15,0,0
20:19,0,0
20:22,0,0
20:26,0,0
20:29,0,0
20:33,0,0
20:36,0,0
20:40,0,0
20:43,0,0
20:47,0,0
20:50,0,0
20:54,0,0
20:57,0,0
21:01,0,0
21:04,0,0
21:08,0,0
21:10,0,0
21:15,0,0
21:19,0,0
21:22,0,0
21:26,0,0
21:29,0,0
21:33,0,0
21:36,0,0
21:39,0,0
21:43,0,0
21:46,0,0
21:50,0,0
21:53,0,0
21:57,0,0
22:00,0,0
22:04,0,0
22:07,0,0
22:11,0,0
22:14,0,0
22:18,0,0
22:25,0,0
22:33,0,0
22:41,0,0
22:49,0,0
22:57,0,0
23:05,0,0
23:14,0,0
23:21,0,0
23:28,0,0
23:35,0,0
23:42,0,0
23:49,0,0
23:56,0,0
