时间,是否始发站,是否终到站
05:48,0,0
05:57,0,0
06:01,0,0
06:05,0,0
06:09,0,0
06:12,0,0
06:17,0,0
06:21,0,0
06:25,0,0
06:28,0,0
06:31,0,0
06:34,0,0
06:36,0,0
06:40,0,0
06:43,0,0
06:47,0,0
06:49,0,0
06:53,0,0
06:57,0,0
07:00,0,0
07:03,0,0
07:05,0,0
07:08,0,0
07:11,0,0
07:13,0,0
07:16,0,0
07:18,0,0
07:21,0,0
07:23,0,0
07:26,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:38,0,0
07:41,0,0
07:43,0,0
07:46,0,0
07:49,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:32,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:40,0,0
09:43,0,0
09:45,0,0
09:48,0,0
09:52,0,0
09:56,0,0
10:00,0,0
10:06,0,0
10:12,0,0
10:18,0,0
10:24,0,0
10:30,0,0
10:36,0,0
10:42,0,0
10:48,0,0
10:54,0,0
11:00,0,0
11:06,0,0
11:12,0,0
11:18,0,0
11:23,0,0
11:29,0,0
11:35,0,0
11:41,0,0
11:47,0,0
11:53,0,0
11:59,0,0
12:05,0,0
12:11,0,0
12:17,0,0
12:23,0,0
12:29,0,0
12:35,0,0
12:41,0,0
12:47,0,0
12:53,0,0
12:59,0,0
13:05,0,0
13:11,0,0
13:17,0,0
13:23,0,0
13:29,0,0
13:35,0,0
13:41,0,0
13:47,0,0
13:53,0,0
13:59,0,0
14:05,0,0
14:11,0,0
14:17,0,0
14:23,0,0
14:29,0,0
14:35,0,0
14:41,0,0
14:47,0,0
14:53,0,0
14:59,0,0
15:05,0,0
15:11,0,0
15:17,0,0
15:23,0,0
15:29,0,0
15:35,0,0
15:41,0,0
15:47,0,0
15:53,0,0
15:59,0,0
16:05,0,0
16:11,0,0
16:17,0,0
16:23,0,0
16:29,0,0
16:35,0,0
16:41,0,0
16:47,0,0
16:49,0,0
16:51,0,0
16:54,0,0
16:56,0,0
16:58,0,0
17:01,0,0
17:03,0,0
17:05,0,0
17:08,0,0
17:10,0,0
17:12,0,0
17:15,0,0
17:17,0,0
17:19,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:36,0,0
17:38,0,0
17:41,0,0
17:44,0,0
17:47,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:12,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:46,0,0
18:48,0,0
18:50,0,0
18:53,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:14,0,0
19:16,0,0
19:18,0,0
19:21,0,0
19:23,0,0
19:25,0,0
19:28,0,0
19:30,0,0
19:32,0,0
19:35,0,0
19:37,0,0
19:39,0,0
19:42,0,0
19:44,0,0
19:46,0,0
19:49,0,0
19:51,0,0
19:53,0,0
19:56,0,0
19:58,0,0
20:02,0,0
20:05,0,0
20:08,0,0
20:11,0,0
20:18,0,0
20:22,0,0
20:28,0,0
20:32,0,0
20:39,0,0
20:43,0,0
20:49,0,0
20:53,0,0
21:00,0,0
21:04,0,0
21:10,0,0
21:17,0,0
21:24,0,0
21:31,0,0
21:38,0,0
21:45,0,0
21:52,0,0
21:59,0,0
22:06,0,0
22:13,0,0
22:20,0,0
22:27,0,0
22:34,0,0
22:41,0,0
22:48,0,0
22:55,0,0
23:02,0,0
23:10,0,0
23:18,0,0
23:26,0,0
23:34,0,0
23:42,0,0
23:51,0,0
