时间,是否始发站,是否终到站
05:37,0,0
05:45,0,0
05:50,0,0
05:54,0,0
05:58,0,0
06:01,0,0
06:05,0,0
06:09,0,0
06:13,0,0
06:17,0,0
06:19,0,0
06:23,0,0
06:25,0,0
06:29,0,0
06:31,0,0
06:35,0,0
06:38,0,0
06:42,0,0
06:46,0,0
06:48,0,0
06:52,0,0
06:54,0,0
06:57,0,0
07:00,0,0
07:02,0,0
07:05,0,0
07:07,0,0
07:10,0,0
07:12,0,0
07:15,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:27,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:38,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:32,0,0
09:34,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:45,0,0
09:49,0,0
09:52,0,0
09:55,0,0
09:57,0,0
10:01,0,0
10:03,0,0
10:07,0,0
10:10,0,0
10:13,0,0
10:15,0,0
10:19,0,0
10:22,0,0
10:25,0,0
10:27,0,0
10:31,0,0
10:34,0,0
10:37,0,0
10:39,0,0
10:43,0,0
10:46,0,0
10:49,0,0
10:52,0,0
10:55,0,0
10:58,0,0
11:01,0,0
11:04,0,0
11:07,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:30,0,0
11:36,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:18,0,0
12:24,0,0
12:30,0,0
12:36,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:18,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:42,0,0
13:48,0,0
13:54,0,0
14:00,0,0
14:06,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:30,0,0
14:36,0,0
14:42,0,0
14:48,0,0
14:54,0,0
15:00,0,0
15:06,0,0
15:12,0,0
15:18,0,0
15:24,0,0
15:30,0,0
15:36,0,0
15:42,0,0
15:48,0,0
15:54,0,0
16:00,0,0
16:06,0,0
16:12,0,0
16:18,0,0
16:24,0,0
16:29,0,0
16:35,0,0
16:37,0,0
16:39,0,0
16:42,0,0
16:44,0,0
16:46,0,0
16:49,0,0
16:51,0,0
16:53,0,0
16:56,0,0
16:58,0,0
17:00,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:24,0,0
17:26,0,0
17:29,0,0
17:32,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:54,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:19,0,0
18:22,0,0
18:24,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:09,0,0
19:11,0,0
19:13,0,0
19:16,0,0
19:18,0,0
19:20,0,0
19:23,0,0
19:25,0,0
19:27,0,0
19:30,0,0
19:32,0,0
19:34,0,0
19:37,0,0
19:39,0,0
19:41,0,0
19:44,0,0
19:46,0,0
19:50,0,0
19:53,0,0
19:56,0,0
19:59,0,0
20:02,0,0
20:06,0,0
20:09,0,0
20:13,0,0
20:16,0,0
20:20,0,0
20:23,0,0
20:27,0,0
20:30,0,0
20:34,0,0
20:37,0,0
20:41,0,0
20:44,0,0
20:48,0,0
20:51,0,0
20:55,0,0
20:58,0,0
21:02,0,0
21:05,0,0
21:09,0,0
21:12,0,0
21:16,0,0
21:19,0,0
21:23,0,0
21:26,0,0
21:29,0,0
21:33,0,0
21:36,0,0
21:40,0,0
21:45,0,0
21:47,0,0
21:51,0,0
21:54,0,0
21:58,0,0
22:01,0,0
22:05,0,0
22:08,0,0
22:12,0,0
22:15,0,0
22:18,0,0
22:22,0,0
22:25,0,0
22:29,0,0
22:32,0,0
22:36,0,0
22:39,0,0
22:43,0,0
22:50,0,0
22:58,0,0
23:06,0,0
23:14,0,0
23:22,0,0
23:30,0,0
23:39,0,0
23:46,0,0
23:53,0,0
00:00,0,0
00:07,0,0
00:14,0,0
00:21,0,0
