时间,是否始发站,是否终到站
05:32,0,0
05:40,0,0
05:45,0,0
05:48,0,0
05:52,0,0
05:56,0,0
06:00,0,0
06:04,0,0
06:08,0,0
06:11,0,0
06:14,0,0
06:17,0,0
06:20,0,0
06:23,0,0
06:26,0,0
06:30,0,0
06:33,0,0
06:37,0,0
06:40,0,0
06:43,0,0
06:46,0,0
06:49,0,0
06:52,0,0
06:55,0,0
06:57,0,0
06:59,0,0
07:02,0,0
07:05,0,0
07:07,0,0
07:10,0,0
07:12,0,0
07:15,0,0
07:17,0,0
07:19,0,0
07:21,0,0
07:24,0,0
07:26,0,0
07:29,0,0
07:32,0,0
07:35,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:29,0,0
09:32,0,0
09:34,0,0
09:36,0,0
09:39,0,0
09:43,0,0
09:47,0,0
09:49,0,0
09:52,0,0
09:56,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:08,0,0
10:10,0,0
10:14,0,0
10:16,0,0
10:20,0,0
10:22,0,0
10:26,0,0
10:29,0,0
10:32,0,0
10:34,0,0
10:38,0,0
10:41,0,0
10:44,0,0
10:46,0,0
10:50,0,0
10:52,0,0
10:56,0,0
10:58,0,0
11:02,0,0
11:06,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:30,0,0
11:36,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:18,0,0
12:24,0,0
12:30,0,0
12:36,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:18,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:42,0,0
13:48,0,0
13:54,0,0
14:00,0,0
14:06,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:30,0,0
14:36,0,0
14:42,0,0
14:48,0,0
14:54,0,0
15:00,0,0
15:06,0,0
15:12,0,0
15:18,0,0
15:24,0,0
15:30,0,0
15:36,0,0
15:42,0,0
15:48,0,0
15:54,0,0
16:00,0,0
16:06,0,0
16:12,0,0
16:18,0,0
16:23,0,0
16:29,0,0
16:31,0,0
16:33,0,0
16:36,0,0
16:38,0,0
16:40,0,0
16:43,0,0
16:45,0,0
16:47,0,0
16:50,0,0
16:52,0,0
16:54,0,0
16:57,0,0
16:59,0,0
17:01,0,0
17:04,0,0
17:06,0,0
17:08,0,0
17:11,0,0
17:13,0,0
17:15,0,0
17:18,0,0
17:20,0,0
17:23,0,0
17:26,0,0
17:29,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:39,0,0
17:41,0,0
17:43,0,0
17:45,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:13,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:03,0,0
19:05,0,0
19:07,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:17,0,0
19:19,0,0
19:21,0,0
19:24,0,0
19:26,0,0
19:28,0,0
19:31,0,0
19:33,0,0
19:35,0,0
19:38,0,0
19:40,0,0
19:44,0,0
19:47,0,0
19:50,0,0
19:53,0,0
19:56,0,0
20:00,0,0
20:03,0,0
20:07,0,0
20:10,0,0
20:14,0,0
20:17,0,0
20:21,0,0
20:24,0,0
20:28,0,0
20:31,0,0
20:35,0,0
20:38,0,0
20:42,0,0
20:45,0,0
20:49,0,0
20:52,0,0
20:56,0,0
20:59,0,0
21:03,0,0
21:06,0,0
21:10,0,0
21:13,0,0
21:17,0,0
21:20,0,0
21:23,0,0
21:27,0,0
21:30,0,0
21:34,0,0
21:39,0,0
21:41,0,0
21:45,0,0
21:48,0,0
21:52,0,0
21:55,0,0
21:59,0,0
22:02,0,0
22:06,0,0
22:09,0,0
22:12,0,0
22:16,0,0
22:19,0,0
22:23,0,0
22:26,0,0
22:30,0,0
22:34,0,0
22:37,0,0
22:44,0,0
22:52,0,0
23:00,0,0
23:08,0,0
23:16,0,0
23:24,0,0
23:34,0,0
23:40,0,0
23:47,0,0
23:54,0,0
00:01,0,0
00:08,0,0
00:16,0,0
