时间,是否始发站,是否终到站
04:59,1,0
05:08,1,0
05:16,1,0
05:24,1,0
05:32,1,0
05:40,1,0
05:48,1,0
05:56,1,0
06:01,1,0
06:08,0,0
06:16,0,0
06:21,0,0
06:25,0,0
06:29,0,0
06:32,0,0
06:36,0,0
06:40,0,0
06:44,0,0
06:47,0,0
06:50,0,0
06:53,0,0
06:56,0,0
06:59,0,0
07:02,0,0
07:06,0,0
07:09,0,0
07:13,0,0
07:16,0,0
07:19,0,0
07:23,0,0
07:25,0,0
07:28,0,0
07:31,0,0
07:35,0,0
07:39,0,0
07:41,0,0
07:46,0,0
07:49,0,0
07:51,0,0
07:55,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:08,0,0
08:11,0,0
08:14,0,0
08:18,0,0
08:21,0,0
08:22,0,0
08:26,0,0
08:28,0,1
08:30,0,0
08:34,0,0
08:37,0,0
08:39,0,1
08:42,0,0
08:45,0,0
08:47,0,0
08:50,0,0
08:52,0,1
08:55,0,0
08:58,0,0
09:00,0,1
09:02,0,0
09:05,0,1
09:08,0,0
09:10,0,1
09:12,0,0
09:14,0,1
09:16,0,0
09:18,0,1
09:20,0,0
09:22,0,1
09:24,0,0
09:26,0,1
09:28,0,0
09:30,0,1
09:32,0,0
09:34,0,1
09:36,0,0
09:38,0,1
09:40,0,0
09:42,0,1
09:44,0,0
09:46,0,1
09:48,0,0
09:50,0,1
09:52,0,0
09:54,0,1
09:56,0,0
09:58,0,1
10:00,0,0
10:02,0,1
10:05,0,0
10:08,0,1
10:12,0,0
10:16,0,1
10:19,0,0
10:25,0,0
10:32,0,0
10:37,0,0
10:44,0,0
10:50,0,0
10:56,0,0
11:02,0,0
11:08,0,0
11:14,0,0
11:20,0,0
11:26,0,0
11:32,0,0
11:38,0,0
11:43,0,0
11:49,0,0
11:55,0,0
12:01,0,0
12:07,0,0
12:13,0,0
12:19,0,0
12:25,0,0
12:31,0,0
12:37,0,0
12:43,0,0
12:49,0,0
12:55,0,0
13:01,0,0
13:07,0,0
13:13,0,0
13:19,0,0
13:25,0,0
13:31,0,0
13:37,0,0
13:43,0,0
13:49,0,0
13:55,0,0
14:01,0,0
14:07,0,0
14:13,0,0
14:19,0,0
14:25,0,0
14:31,0,0
14:37,0,0
14:43,0,0
14:49,0,0
14:55,0,0
15:01,0,0
15:07,0,0
15:13,0,0
15:19,0,0
15:25,0,0
15:31,0,0
15:37,0,0
15:43,0,0
15:49,0,0
15:55,0,0
16:01,0,0
16:07,0,0
16:13,0,0
16:19,0,0
16:25,0,0
16:31,0,0
16:37,0,0
16:43,0,0
16:49,0,0
16:55,0,0
17:01,0,0
17:07,0,0
17:09,0,0
17:12,0,0
17:14,0,0
17:16,0,0
17:19,0,0
17:21,0,0
17:23,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:54,0,1
17:56,0,0
17:58,0,0
18:01,0,0
18:04,0,0
18:07,0,0
18:10,0,0
18:12,0,1
18:15,0,0
18:18,0,0
18:21,0,1
18:23,0,0
18:26,0,0
18:31,0,0
18:33,0,1
18:36,0,0
18:40,0,1
18:42,0,0
18:45,0,0
18:49,0,0
18:51,0,0
18:54,0,0
19:00,0,0
19:02,0,1
19:05,0,0
19:07,0,0
19:09,0,1
19:11,0,0
19:13,0,0
19:15,0,0
19:18,0,1
19:20,0,0
19:22,0,0
19:25,0,1
19:27,0,0
19:29,0,0
19:32,0,0
19:34,0,1
19:36,0,0
19:39,0,0
19:41,0,1
19:43,0,0
19:46,0,1
19:49,0,0
19:51,0,1
19:54,0,0
19:56,0,0
19:58,0,0
20:01,0,1
20:03,0,0
20:05,0,0
20:08,0,0
20:10,0,0
20:12,0,0
20:15,0,0
20:17,0,1
20:19,0,0
20:23,0,0
20:26,0,0
20:29,0,0
20:33,0,0
20:39,0,0
20:44,0,0
20:50,0,0
20:54,0,0
21:00,0,0
21:05,0,0
21:11,0,0
21:15,0,0
21:21,0,0
21:26,0,0
21:32,0,0
21:39,0,0
21:46,0,0
21:53,0,0
22:00,0,0
22:07,0,0
22:14,0,0
22:21,0,0
22:28,0,0
22:35,0,0
22:42,0,0
22:49,0,0
22:56,0,0
23:03,0,0
23:10,0,0
23:17,0,0
23:24,0,0
23:31,0,0
23:39,0,0
23:47,0,0
23:55,0,0
00:03,0,0
00:11,0,0
