时间,是否始发站,是否终到站
05:34,0,0
05:42,0,0
05:47,0,0
05:51,0,0
05:55,0,0
05:58,0,0
06:02,0,0
06:06,0,0
06:10,0,0
06:14,0,0
06:16,0,0
06:20,0,0
06:22,0,0
06:26,0,0
06:28,0,0
06:32,0,0
06:35,0,0
06:39,0,0
06:43,0,0
06:45,0,0
06:49,0,0
06:51,0,0
06:54,0,0
06:57,0,0
06:59,0,0
07:02,0,0
07:04,0,0
07:07,0,0
07:09,0,0
07:12,0,0
07:15,0,0
07:17,0,0
07:19,0,0
07:21,0,0
07:24,0,0
07:27,0,0
07:29,0,0
07:32,0,0
07:35,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:29,0,0
09:31,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:42,0,0
09:46,0,0
09:49,0,0
09:52,0,0
09:54,0,0
09:58,0,0
10:00,0,0
10:04,0,0
10:07,0,0
10:10,0,0
10:12,0,0
10:16,0,0
10:19,0,0
10:22,0,0
10:24,0,0
10:28,0,0
10:31,0,0
10:34,0,0
10:36,0,0
10:40,0,0
10:43,0,0
10:46,0,0
10:49,0,0
10:52,0,0
10:55,0,0
10:58,0,0
11:01,0,0
11:04,0,0
11:09,0,0
11:15,0,0
11:21,0,0
11:27,0,0
11:33,0,0
11:39,0,0
11:45,0,0
11:51,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:15,0,0
12:21,0,0
12:27,0,0
12:33,0,0
12:39,0,0
12:45,0,0
12:51,0,0
12:57,0,0
13:03,0,0
13:09,0,0
13:15,0,0
13:21,0,0
13:27,0,0
13:33,0,0
13:39,0,0
13:45,0,0
13:51,0,0
13:57,0,0
14:03,0,0
14:09,0,0
14:15,0,0
14:21,0,0
14:27,0,0
14:33,0,0
14:39,0,0
14:45,0,0
14:51,0,0
14:57,0,0
15:03,0,0
15:09,0,0
15:15,0,0
15:21,0,0
15:27,0,0
15:33,0,0
15:39,0,0
15:45,0,0
15:51,0,0
15:57,0,0
16:03,0,0
16:09,0,0
16:15,0,0
16:21,0,0
16:26,0,0
16:32,0,0
16:34,0,0
16:36,0,0
16:39,0,0
16:41,0,0
16:43,0,0
16:46,0,0
16:48,0,0
16:50,0,0
16:53,0,0
16:55,0,0
16:57,0,0
17:00,0,0
17:02,0,0
17:04,0,0
17:07,0,0
17:09,0,0
17:11,0,0
17:14,0,0
17:16,0,0
17:18,0,0
17:21,0,0
17:23,0,0
17:26,0,0
17:29,0,0
17:32,0,0
17:35,0,0
17:37,0,0
17:39,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:57,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:16,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:59,0,0
19:01,0,0
19:03,0,0
19:06,0,0
19:08,0,0
19:10,0,0
19:13,0,0
19:15,0,0
19:17,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:27,0,0
19:29,0,0
19:31,0,0
19:34,0,0
19:36,0,0
19:38,0,0
19:41,0,0
19:43,0,0
19:46,0,0
19:50,0,0
19:53,0,0
19:56,0,0
19:59,0,0
20:03,0,0
20:06,0,0
20:10,0,0
20:13,0,0
20:17,0,0
20:20,0,0
20:24,0,0
20:27,0,0
20:31,0,0
20:34,0,0
20:38,0,0
20:41,0,0
20:45,0,0
20:48,0,0
20:52,0,0
20:55,0,0
20:59,0,0
21:02,0,0
21:06,0,0
21:09,0,0
21:13,0,0
21:16,0,0
21:20,0,0
21:23,0,0
21:26,0,0
21:30,0,0
21:33,0,0
21:37,0,0
21:42,0,0
21:44,0,0
21:48,0,0
21:51,0,0
21:55,0,0
21:58,0,0
22:02,0,0
22:05,0,0
22:09,0,0
22:12,0,0
22:15,0,0
22:19,0,0
22:22,0,0
22:26,0,0
22:29,0,0
22:33,0,0
22:36,0,0
22:40,0,0
22:47,0,0
22:55,0,0
23:03,0,0
23:11,0,0
23:19,0,0
23:27,0,0
23:36,0,0
23:43,0,0
23:50,0,0
23:57,0,0
00:04,0,0
00:11,0,0
00:18,0,0
