时间,是否始发站,是否终到站
06:00,0,0
06:08,0,0
06:13,0,0
06:16,0,0
06:20,0,0
06:24,0,0
06:28,0,0
06:32,0,0
06:36,0,0
06:39,0,0
06:42,0,0
06:45,0,0
06:48,0,0
06:51,0,0
06:54,0,0
06:58,0,0
07:01,0,0
07:05,0,0
07:08,0,0
07:11,0,0
07:14,0,0
07:17,0,0
07:19,0,0
07:22,0,0
07:24,0,1
07:27,0,0
07:30,0,0
07:32,0,0
07:34,0,1
07:37,0,0
07:41,0,0
07:42,0,0
07:44,0,1
07:47,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,1
08:00,0,0
08:03,0,0
08:05,0,0
08:07,0,1
08:09,0,0
08:12,0,0
08:14,0,0
08:15,0,1
08:17,0,0
08:20,0,0
08:22,0,0
08:23,0,1
08:25,0,0
08:28,0,0
08:30,0,0
08:31,0,1
08:33,0,0
08:36,0,0
08:38,0,0
08:39,0,1
08:41,0,0
08:44,0,0
08:46,0,0
08:47,0,1
08:49,0,0
08:52,0,0
08:54,0,0
08:55,0,0
08:57,0,1
08:59,0,0
09:02,0,0
09:04,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:43,0,0
09:45,0,0
09:47,0,0
09:49,0,0
09:51,0,0
09:54,0,0
09:56,0,0
09:59,0,0
10:03,0,0
10:07,0,0
10:11,0,0
10:17,0,0
10:23,0,0
10:29,0,0
10:35,0,0
10:41,0,0
10:47,0,0
10:53,0,0
10:59,0,0
11:05,0,0
11:11,0,0
11:17,0,0
11:23,0,0
11:29,0,0
11:34,0,0
11:40,0,0
11:46,0,0
11:52,0,0
11:58,0,0
12:04,0,0
12:10,0,0
12:16,0,0
12:22,0,0
12:28,0,0
12:34,0,0
12:40,0,0
12:46,0,0
12:52,0,0
12:58,0,0
13:04,0,0
13:10,0,0
13:16,0,0
13:22,0,0
13:28,0,0
13:34,0,0
13:40,0,0
13:46,0,0
13:52,0,0
13:58,0,0
14:04,0,0
14:10,0,0
14:16,0,0
14:22,0,0
14:28,0,0
14:34,0,0
14:40,0,0
14:46,0,0
14:52,0,0
14:58,0,0
15:04,0,0
15:10,0,0
15:16,0,0
15:22,0,0
15:28,0,0
15:34,0,0
15:40,0,0
15:46,0,0
15:52,0,0
15:58,0,0
16:04,0,0
16:10,0,0
16:16,0,0
16:22,0,0
16:28,0,0
16:34,0,0
16:40,0,0
16:46,0,0
16:53,0,0
16:58,0,0
17:01,0,0
17:03,0,0
17:05,0,0
17:08,0,0
17:10,0,0
17:12,0,0
17:15,0,0
17:17,0,0
17:19,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:50,0,0
17:52,0,0
17:56,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:10,0,1
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,1
18:22,0,0
18:24,0,0
18:27,0,0
18:29,0,1
18:31,0,0
18:33,0,0
18:36,0,0
18:38,0,1
18:40,0,0
18:42,0,0
18:46,0,0
18:48,0,1
18:51,0,0
18:53,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:14,0,0
19:16,0,0
19:18,0,0
19:21,0,0
19:23,0,0
19:26,0,0
19:28,0,0
19:30,0,0
19:33,0,0
19:35,0,0
19:37,0,0
19:40,0,0
19:42,0,0
19:45,0,0
19:47,0,0
19:49,0,0
19:52,0,0
19:54,0,0
19:56,0,0
19:59,0,0
20:01,0,0
20:03,0,0
20:06,0,0
20:08,0,0
20:10,0,0
20:14,0,0
20:17,0,0
20:20,0,0
20:24,0,0
20:30,0,0
20:35,0,0
20:41,0,0
20:45,0,0
20:51,0,0
20:56,0,0
21:02,0,0
21:06,0,0
21:12,0,0
21:17,0,0
21:23,0,0
21:30,0,0
21:37,0,0
21:44,0,0
21:51,0,0
21:58,0,0
22:05,0,0
22:12,0,0
22:19,0,0
22:26,0,0
22:33,0,0
22:40,0,0
22:47,0,0
22:54,0,0
23:01,0,0
23:08,0,0
23:15,0,0
23:22,0,0
23:30,0,0
23:38,0,0
23:46,0,0
23:54,0,0
00:02,0,0
