时间,是否始发站,是否终到站
05:51,0,0
05:59,0,0
06:04,0,0
06:08,0,0
06:12,0,0
06:15,0,0
06:19,0,0
06:23,0,0
06:27,0,0
06:31,0,0
06:33,0,0
06:37,0,0
06:39,0,0
06:43,0,0
06:45,0,0
06:49,0,0
06:52,0,0
06:56,0,0
07:00,0,0
07:02,0,0
07:06,0,0
07:08,0,0
07:11,0,0
07:14,0,0
07:16,0,0
07:19,0,0
07:21,0,0
07:24,0,0
07:26,0,0
07:29,0,0
07:32,0,0
07:34,0,0
07:36,0,0
07:38,0,0
07:41,0,0
07:44,0,0
07:46,0,0
07:49,0,0
07:52,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:43,0,0
09:46,0,0
09:48,0,0
09:51,0,0
09:55,0,0
09:59,0,0
10:03,0,0
10:09,0,0
10:15,0,0
10:21,0,0
10:27,0,0
10:33,0,0
10:39,0,0
10:45,0,0
10:51,0,0
10:57,0,0
11:03,0,0
11:09,0,0
11:15,0,0
11:21,0,0
11:26,0,0
11:32,0,0
11:38,0,0
11:44,0,0
11:50,0,0
11:56,0,0
12:02,0,0
12:08,0,0
12:14,0,0
12:20,0,0
12:26,0,0
12:32,0,0
12:38,0,0
12:44,0,0
12:50,0,0
12:56,0,0
13:02,0,0
13:08,0,0
13:14,0,0
13:20,0,0
13:26,0,0
13:32,0,0
13:38,0,0
13:44,0,0
13:50,0,0
13:56,0,0
14:02,0,0
14:08,0,0
14:14,0,0
14:20,0,0
14:26,0,0
14:32,0,0
14:38,0,0
14:44,0,0
14:50,0,0
14:56,0,0
15:02,0,0
15:08,0,0
15:14,0,0
15:20,0,0
15:26,0,0
15:32,0,0
15:38,0,0
15:44,0,0
15:50,0,0
15:56,0,0
16:02,0,0
16:08,0,0
16:14,0,0
16:20,0,0
16:26,0,0
16:32,0,0
16:38,0,0
16:44,0,0
16:50,0,0
16:52,0,0
16:54,0,0
16:57,0,0
16:59,0,0
17:01,0,0
17:04,0,0
17:06,0,0
17:08,0,0
17:11,0,0
17:13,0,0
17:15,0,0
17:18,0,0
17:20,0,0
17:22,0,0
17:25,0,0
17:27,0,0
17:29,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:39,0,0
17:41,0,0
17:44,0,0
17:47,0,0
17:50,0,0
17:53,0,0
17:55,0,0
17:57,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:37,0,0
18:39,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:03,0,0
19:05,0,0
19:07,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:17,0,0
19:19,0,0
19:21,0,0
19:24,0,0
19:26,0,0
19:28,0,0
19:31,0,0
19:33,0,0
19:35,0,0
19:38,0,0
19:40,0,0
19:42,0,0
19:45,0,0
19:47,0,0
19:49,0,0
19:52,0,0
19:54,0,0
19:56,0,0
19:59,0,0
20:01,0,0
20:05,0,0
20:08,0,0
20:11,0,0
20:14,0,0
20:21,0,0
20:25,0,0
20:31,0,0
20:35,0,0
20:42,0,0
20:46,0,0
20:52,0,0
20:56,0,0
21:03,0,0
21:07,0,0
21:13,0,0
21:20,0,0
21:27,0,0
21:34,0,0
21:41,0,0
21:48,0,0
21:55,0,0
22:02,0,0
22:09,0,0
22:16,0,0
22:23,0,0
22:30,0,0
22:37,0,0
22:44,0,0
22:51,0,0
22:58,0,0
23:05,0,0
23:13,0,0
23:21,0,0
23:29,0,0
23:37,0,0
23:45,0,0
23:54,0,0
