时间,是否始发站,是否终到站
05:02,0,0
05:11,0,0
05:19,0,0
05:27,0,0
05:35,0,0
05:43,0,0
05:51,0,0
05:59,0,0
06:04,0,0
06:11,0,0
06:19,0,0
06:24,0,0
06:28,0,0
06:32,0,0
06:35,0,0
06:39,0,0
06:43,0,0
06:47,0,0
06:51,0,0
06:53,0,0
06:57,0,0
06:59,0,0
07:03,0,0
07:05,0,0
07:09,0,0
07:12,0,0
07:16,0,0
07:20,0,0
07:22,0,0
07:26,0,0
07:28,0,0
07:31,0,0
07:34,0,0
07:38,0,0
07:42,0,0
07:44,0,0
07:49,0,0
07:51,0,0
07:54,0,0
07:58,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:11,0,0
08:14,0,0
08:17,0,0
08:21,0,0
08:24,0,0
08:26,0,0
08:29,0,0
08:33,0,0
08:37,0,0
08:40,0,0
08:45,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:58,0,0
09:01,0,0
09:05,0,0
09:11,0,0
09:15,0,0
09:19,0,0
09:23,0,0
09:27,0,0
09:31,0,0
09:35,0,0
09:39,0,0
09:43,0,0
09:47,0,0
09:51,0,0
09:55,0,0
09:59,0,0
10:03,0,0
10:08,0,0
10:15,0,0
10:23,0,0
10:29,0,0
10:35,0,0
10:41,0,0
10:47,0,0
10:53,0,0
10:59,0,0
11:05,0,0
11:11,0,0
11:17,0,0
11:23,0,0
11:29,0,0
11:35,0,0
11:41,0,0
11:46,0,0
11:52,0,0
11:58,0,0
12:04,0,0
12:10,0,0
12:16,0,0
12:22,0,0
12:28,0,0
12:34,0,0
12:40,0,0
12:46,0,0
12:52,0,0
12:58,0,0
13:04,0,0
13:10,0,0
13:16,0,0
13:22,0,0
13:28,0,0
13:34,0,0
13:40,0,0
13:46,0,0
13:52,0,0
13:58,0,0
14:04,0,0
14:10,0,0
14:16,0,0
14:22,0,0
14:28,0,0
14:34,0,0
14:40,0,0
14:46,0,0
14:52,0,0
14:58,0,0
15:04,0,0
15:10,0,0
15:16,0,0
15:22,0,0
15:28,0,0
15:34,0,0
15:40,0,0
15:46,0,0
15:52,0,0
15:58,0,0
16:04,0,0
16:10,0,0
16:16,0,0
16:22,0,0
16:28,0,0
16:34,0,0
16:40,0,0
16:46,0,0
16:52,0,0
16:58,0,0
17:05,0,0
17:10,0,0
17:12,0,0
17:15,0,0
17:17,0,0
17:19,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:08,0,0
18:10,0,0
18:13,0,0
18:18,0,0
18:21,0,0
18:26,0,0
18:29,0,0
18:34,0,0
18:39,0,0
18:45,0,0
18:48,0,0
18:52,0,0
18:54,0,0
18:57,0,0
19:03,0,0
19:08,0,0
19:10,0,0
19:14,0,0
19:16,0,0
19:18,0,0
19:23,0,0
19:25,0,0
19:30,0,0
19:32,0,0
19:35,0,0
19:39,0,0
19:42,0,0
19:46,0,0
19:52,0,0
19:57,0,0
19:59,0,0
20:01,0,0
20:06,0,0
20:08,0,0
20:11,0,0
20:13,0,0
20:15,0,0
20:18,0,0
20:22,0,0
20:26,0,0
20:29,0,0
20:32,0,0
20:36,0,0
20:42,0,0
20:47,0,0
20:53,0,0
20:57,0,0
21:03,0,0
21:08,0,0
21:14,0,0
21:18,0,0
21:24,0,0
21:29,0,0
21:35,0,0
21:42,0,0
21:49,0,0
21:56,0,0
22:03,0,0
22:10,0,0
22:17,0,0
22:24,0,0
22:31,0,0
22:38,0,0
22:45,0,0
22:52,0,0
22:59,0,0
23:06,0,0
23:13,0,0
23:20,0,0
23:27,0,0
23:34,0,0
23:42,0,0
23:50,0,0
23:58,0,0
00:06,0,0
00:14,0,0
