时间,是否始发站,是否终到站
05:17,0,0
05:25,0,0
05:29,0,0
05:33,0,0
05:37,0,0
05:41,0,0
05:45,0,0
05:49,0,0
05:53,0,0
05:56,0,0
05:59,0,0
06:02,0,0
06:04,0,0
06:08,0,0
06:11,0,0
06:15,0,0
06:17,0,0
06:21,0,0
06:25,0,0
06:27,0,0
06:31,0,0
06:33,0,0
06:36,0,0
06:39,0,0
06:41,0,0
06:44,0,0
06:46,0,0
06:49,0,0
06:51,0,0
06:54,0,0
06:57,0,0
06:59,0,0
07:01,0,0
07:03,0,0
07:06,0,0
07:09,0,0
07:11,0,0
07:14,0,0
07:17,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:11,0,0
09:13,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:24,0,0
09:28,0,0
09:32,0,0
09:34,0,0
09:36,0,0
09:40,0,0
09:42,0,0
09:46,0,0
09:49,0,0
09:52,0,0
09:54,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:06,0,0
10:10,0,0
10:13,0,0
10:16,0,0
10:18,0,0
10:22,0,0
10:25,0,0
10:28,0,0
10:31,0,0
10:34,0,0
10:37,0,0
10:40,0,0
10:43,0,0
10:46,0,0
10:51,0,0
10:57,0,0
11:03,0,0
11:09,0,0
11:15,0,0
11:21,0,0
11:27,0,0
11:33,0,0
11:39,0,0
11:45,0,0
11:51,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:15,0,0
12:21,0,0
12:27,0,0
12:33,0,0
12:39,0,0
12:45,0,0
12:51,0,0
12:57,0,0
13:03,0,0
13:09,0,0
13:15,0,0
13:21,0,0
13:27,0,0
13:33,0,0
13:39,0,0
13:45,0,0
13:51,0,0
13:57,0,0
14:03,0,0
14:09,0,0
14:15,0,0
14:21,0,0
14:27,0,0
14:33,0,0
14:39,0,0
14:45,0,0
14:51,0,0
14:57,0,0
15:03,0,0
15:09,0,0
15:15,0,0
15:21,0,0
15:27,0,0
15:33,0,0
15:39,0,0
15:45,0,0
15:51,0,0
15:57,0,0
16:03,0,0
16:08,0,0
16:14,0,0
16:16,0,0
16:18,0,0
16:21,0,0
16:23,0,0
16:25,0,0
16:28,0,0
16:30,0,0
16:32,0,0
16:35,0,0
16:37,0,0
16:39,0,0
16:42,0,0
16:44,0,0
16:46,0,0
16:49,0,0
16:51,0,0
16:53,0,0
16:56,0,0
16:58,0,0
17:00,0,0
17:03,0,0
17:05,0,0
17:08,0,0
17:11,0,0
17:14,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:39,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:58,0,0
18:01,0,0
18:03,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:09,0,0
19:11,0,0
19:13,0,0
19:16,0,0
19:18,0,0
19:20,0,0
19:23,0,0
19:25,0,0
19:28,0,0
19:32,0,0
19:35,0,0
19:38,0,0
19:41,0,0
19:45,0,0
19:48,0,0
19:52,0,0
19:55,0,0
19:59,0,0
20:02,0,0
20:06,0,0
20:09,0,0
20:13,0,0
20:16,0,0
20:20,0,0
20:23,0,0
20:27,0,0
20:30,0,0
20:34,0,0
20:37,0,0
20:41,0,0
20:44,0,0
20:48,0,0
20:51,0,0
20:55,0,0
20:58,0,0
21:02,0,0
21:05,0,0
21:08,0,0
21:12,0,0
21:15,0,0
21:19,0,0
21:24,0,0
21:26,0,0
21:30,0,0
21:33,0,0
21:37,0,0
21:40,0,0
21:44,0,0
21:47,0,0
21:51,0,0
21:54,0,0
21:57,0,0
22:01,0,0
22:04,0,0
22:08,0,0
22:11,0,0
22:15,0,0
22:18,0,0
22:22,0,0
22:29,0,0
22:37,0,0
22:45,0,0
22:53,0,0
23:01,0,0
23:09,0,0
23:19,0,0
23:25,0,0
23:32,0,0
23:39,0,0
23:46,0,0
23:53,0,0
00:01,0,0
