时间,是否始发站,是否终到站
05:43,0,0
05:51,0,0
05:56,0,0
05:59,0,0
06:03,0,0
06:07,0,0
06:11,0,0
06:15,0,0
06:19,0,0
06:22,0,0
06:25,0,0
06:28,0,0
06:31,0,0
06:34,0,0
06:37,0,0
06:41,0,0
06:44,0,0
06:48,0,0
06:51,0,0
06:54,0,0
06:58,0,0
07:00,0,0
07:03,0,0
07:06,0,0
07:08,0,0
07:10,0,0
07:13,0,0
07:16,0,0
07:18,0,0
07:21,0,0
07:23,0,0
07:26,0,0
07:28,0,0
07:30,0,0
07:32,0,0
07:35,0,0
07:37,0,0
07:40,0,0
07:43,0,0
07:46,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:40,0,0
09:43,0,0
09:47,0,0
09:51,0,0
09:54,0,0
10:00,0,0
10:07,0,0
10:12,0,0
10:19,0,0
10:25,0,0
10:31,0,0
10:37,0,0
10:43,0,0
10:49,0,0
10:55,0,0
11:01,0,0
11:07,0,0
11:13,0,0
11:18,0,0
11:24,0,0
11:30,0,0
11:36,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:18,0,0
12:24,0,0
12:30,0,0
12:36,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:18,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:42,0,0
13:48,0,0
13:54,0,0
14:00,0,0
14:06,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:30,0,0
14:36,0,0
14:42,0,0
14:48,0,0
14:54,0,0
15:00,0,0
15:06,0,0
15:12,0,0
15:18,0,0
15:24,0,0
15:30,0,0
15:36,0,0
15:42,0,0
15:48,0,0
15:54,0,0
16:00,0,0
16:06,0,0
16:12,0,0
16:18,0,0
16:24,0,0
16:30,0,0
16:35,0,0
16:41,0,0
16:43,0,0
16:45,0,0
16:48,0,0
16:50,0,0
16:52,0,0
16:55,0,0
16:57,0,0
16:59,0,0
17:02,0,0
17:04,0,0
17:06,0,0
17:09,0,0
17:11,0,0
17:13,0,0
17:16,0,0
17:18,0,0
17:20,0,0
17:23,0,0
17:25,0,0
17:27,0,0
17:30,0,0
17:32,0,0
17:35,0,0
17:38,0,0
17:41,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:57,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:28,0,0
18:30,0,0
18:33,0,0
18:36,0,0
18:37,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:01,0,0
19:03,0,0
19:05,0,0
19:08,0,0
19:10,0,0
19:12,0,0
19:15,0,0
19:17,0,0
19:19,0,0
19:22,0,0
19:24,0,0
19:26,0,0
19:29,0,0
19:31,0,0
19:33,0,0
19:36,0,0
19:38,0,0
19:40,0,0
19:43,0,0
19:45,0,0
19:47,0,0
19:50,0,0
19:52,0,0
19:56,0,0
19:59,0,0
20:02,0,0
20:05,0,0
20:12,0,0
20:16,0,0
20:22,0,0
20:26,0,0
20:33,0,0
20:37,0,0
20:43,0,0
20:47,0,0
20:54,0,0
20:58,0,0
21:04,0,0
21:11,0,0
21:18,0,0
21:25,0,0
21:32,0,0
21:39,0,0
21:46,0,0
21:53,0,0
22:00,0,0
22:07,0,0
22:14,0,0
22:21,0,0
22:28,0,0
22:35,0,0
22:42,0,0
22:49,0,0
22:56,0,0
23:04,0,0
23:12,0,0
23:20,0,0
23:28,0,0
23:36,0,0
23:45,0,0
