时间,是否始发站,是否终到站
05:21,0,0
05:37,0,0
05:45,0,0
05:52,0,0
05:59,0,0
06:06,0,0
06:12,0,0
06:18,0,0
06:23,0,0
06:28,0,0
06:32,0,0
06:37,0,0
06:42,0,0
06:47,0,0
06:52,0,0
06:57,0,0
07:01,0,0
07:05,0,0
07:09,0,0
07:12,0,0
07:15,0,0
07:18,0,0
07:21,0,0
07:24,0,0
07:27,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:59,0,0
08:01,0,0
08:04,0,0
08:06,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:21,0,0
08:23,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:33,0,0
08:35,0,0
08:38,0,0
08:40,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:50,0,0
08:52,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:04,0,0
09:07,0,0
09:09,0,0
09:12,0,0
09:14,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:24,0,0
09:26,0,0
09:29,0,0
09:31,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:41,0,0
09:43,0,0
09:46,0,0
09:48,0,0
09:51,0,0
09:53,0,0
09:56,0,0
09:59,0,0
10:03,0,0
10:05,0,0
10:08,0,0
10:11,0,0
10:15,0,0
10:17,0,0
10:20,0,0
10:23,0,0
10:27,0,0
10:30,0,0
10:35,0,0
10:41,0,0
10:47,0,0
10:54,0,0
11:00,0,0
11:06,0,0
11:12,0,0
11:19,0,0
11:25,0,0
11:32,0,0
11:38,0,0
11:45,0,0
11:51,0,0
11:57,0,0
12:04,0,0
12:10,0,0
12:17,0,0
12:23,0,0
12:30,0,0
12:36,0,0
12:43,0,0
12:49,0,0
12:55,0,0
13:02,0,0
13:08,0,0
13:15,0,0
13:21,0,0
13:28,0,0
13:34,0,0
13:40,0,0
13:47,0,0
13:53,0,0
14:00,0,0
14:06,0,0
14:13,0,0
14:19,0,0
14:25,0,0
14:32,0,0
14:38,0,0
14:45,0,0
14:51,0,0
14:58,0,0
15:04,0,0
15:10,0,0
15:17,0,0
15:23,0,0
15:30,0,0
15:36,0,0
15:43,0,0
15:49,0,0
15:56,0,0
16:02,0,0
16:08,0,0
16:15,0,0
16:21,0,0
16:27,0,0
16:34,0,0
16:38,0,0
16:42,0,0
16:45,0,0
16:49,0,0
16:53,0,0
16:57,0,0
17:01,0,0
17:05,0,0
17:08,0,0
17:12,0,0
17:16,0,0
17:19,0,0
17:22,0,0
17:24,0,0
17:27,0,0
17:30,0,0
17:32,0,0
17:35,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,0
19:12,0,0
19:14,0,0
19:16,0,0
19:19,0,0
19:21,0,0
19:24,0,0
19:27,0,0
19:31,0,0
19:34,0,0
19:38,0,0
19:42,0,0
19:45,0,0
19:49,0,0
19:53,0,0
19:56,0,0
20:00,0,0
20:03,0,0
20:07,0,0
20:11,0,0
20:15,0,0
20:18,0,0
20:22,0,0
20:27,0,0
20:33,0,0
20:40,0,0
20:46,0,0
20:53,0,0
20:59,0,0
21:05,0,0
21:12,0,0
21:19,0,0
21:26,0,0
21:32,0,0
21:39,0,0
21:44,0,0
21:50,0,0
21:57,0,0
22:05,0,0
22:12,0,0
22:20,0,0
22:28,0,0
22:35,0,0
22:42,0,0
22:50,0,0
22:58,0,0
23:05,0,0
23:13,0,0
23:20,0,0
23:27,0,0
