时间,是否始发站,是否终到站
05:24,0,0
05:40,0,0
05:48,0,0
05:54,0,0
06:02,0,0
06:09,0,0
06:15,0,0
06:21,0,0
06:26,0,0
06:30,0,0
06:35,0,0
06:39,0,0
06:45,0,0
06:50,0,0
06:55,0,0
07:00,0,0
07:04,0,0
07:08,0,0
07:12,0,0
07:15,0,0
07:17,0,0
07:21,0,0
07:24,0,0
07:27,0,0
07:29,0,0
07:32,0,0
07:34,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:54,0,0
07:56,0,0
07:59,0,0
08:01,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:28,0,0
08:30,0,0
08:33,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:45,0,0
08:47,0,0
08:50,0,0
08:52,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:04,0,0
09:07,0,0
09:09,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:19,0,0
09:21,0,0
09:24,0,0
09:26,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:36,0,0
09:38,0,0
09:41,0,0
09:43,0,0
09:46,0,0
09:48,0,0
09:50,0,0
09:53,0,0
09:55,0,0
09:58,0,0
10:01,0,0
10:05,0,0
10:07,0,0
10:10,0,0
10:13,0,0
10:17,0,0
10:20,0,0
10:22,0,0
10:25,0,0
10:29,0,0
10:32,0,0
10:37,0,0
10:44,0,0
10:50,0,0
10:56,0,0
11:02,0,0
11:09,0,0
11:15,0,0
11:21,0,0
11:28,0,0
11:34,0,0
11:41,0,0
11:47,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:13,0,0
12:19,0,0
12:26,0,0
12:32,0,0
12:39,0,0
12:45,0,0
12:51,0,0
12:58,0,0
13:04,0,0
13:11,0,0
13:17,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:43,0,0
13:49,0,0
13:56,0,0
14:02,0,0
14:09,0,0
14:15,0,0
14:22,0,0
14:28,0,0
14:34,0,0
14:41,0,0
14:47,0,0
14:54,0,0
15:00,0,0
15:07,0,0
15:13,0,0
15:19,0,0
15:26,0,0
15:32,0,0
15:39,0,0
15:45,0,0
15:52,0,0
15:58,0,0
16:04,0,0
16:11,0,0
16:17,0,0
16:24,0,0
16:30,0,0
16:37,0,0
16:40,0,0
16:44,0,0
16:48,0,0
16:51,0,0
16:55,0,0
17:00,0,0
17:04,0,0
17:07,0,0
17:11,0,0
17:15,0,0
17:19,0,0
17:21,0,0
17:24,0,0
17:27,0,0
17:29,0,0
17:32,0,0
17:35,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:28,0,0
18:30,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:45,0,0
18:47,0,0
18:50,0,0
18:52,0,0
18:54,0,0
18:57,0,0
18:59,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:14,0,0
19:16,0,0
19:19,0,0
19:21,0,0
19:23,0,0
19:26,0,0
19:29,0,0
19:33,0,0
19:37,0,0
19:40,0,0
19:44,0,0
19:48,0,0
19:51,0,0
19:55,0,0
19:58,0,0
20:02,0,0
20:06,0,0
20:09,0,0
20:13,0,0
20:17,0,0
20:21,0,0
20:25,0,0
20:29,0,0
20:36,0,0
20:42,0,0
20:49,0,0
20:55,0,0
21:02,0,0
21:08,0,0
21:14,0,0
21:21,0,0
21:28,0,0
21:35,0,0
21:41,0,0
21:47,0,0
21:53,0,0
22:00,0,0
22:07,0,0
22:15,0,0
22:23,0,0
22:30,0,0
22:37,0,0
22:45,0,0
22:53,0,0
22:59,0,0
23:08,0,0
23:15,0,0
23:23,0,0
23:30,0,0
