时间,是否始发站,是否终到站
05:25,0,0
05:33,0,0
05:39,0,0
05:47,0,0
05:54,0,0
06:00,0,0
06:06,0,0
06:11,0,0
06:15,0,0
06:19,0,0
06:24,0,0
06:29,0,0
06:35,0,0
06:40,0,0
06:44,0,0
06:49,0,0
06:53,0,0
06:56,0,0
07:00,0,0
07:03,0,0
07:06,0,0
07:09,0,0
07:12,0,0
07:14,0,0
07:17,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:27,0,0
07:29,0,0
07:32,0,0
07:34,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:44,0,0
07:46,0,0
07:49,0,0
07:51,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:01,0,0
08:03,0,0
08:06,0,0
08:08,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:18,0,0
08:20,0,0
08:23,0,0
08:25,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:35,0,0
08:37,0,0
08:40,0,0
08:42,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:52,0,0
08:54,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:09,0,0
09:11,0,0
09:14,0,0
09:16,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:26,0,0
09:28,0,0
09:31,0,0
09:33,0,0
09:36,0,0
09:38,0,0
09:41,0,0
09:44,0,0
09:47,0,0
09:50,0,0
09:53,0,0
09:56,0,0
09:59,0,0
10:02,0,0
10:05,0,0
10:08,0,0
10:11,0,0
10:15,0,0
10:18,0,0
10:22,0,0
10:29,0,0
10:35,0,0
10:41,0,0
10:47,0,0
10:53,0,0
11:00,0,0
11:06,0,0
11:12,0,0
11:19,0,0
11:25,0,0
11:32,0,0
11:38,0,0
11:45,0,0
11:51,0,0
11:58,0,0
12:04,0,0
12:10,0,0
12:17,0,0
12:23,0,0
12:30,0,0
12:36,0,0
12:43,0,0
12:49,0,0
12:55,0,0
13:02,0,0
13:08,0,0
13:15,0,0
13:21,0,0
13:28,0,0
13:34,0,0
13:40,0,0
13:47,0,0
13:53,0,0
14:00,0,0
14:06,0,0
14:13,0,0
14:19,0,0
14:25,0,0
14:32,0,0
14:38,0,0
14:45,0,0
14:51,0,0
14:58,0,0
15:04,0,0
15:11,0,0
15:17,0,0
15:23,0,0
15:30,0,0
15:36,0,0
15:43,0,0
15:49,0,0
15:55,0,0
16:02,0,0
16:08,0,0
16:15,0,0
16:21,0,0
16:25,0,0
16:29,0,0
16:33,0,0
16:36,0,0
16:40,0,0
16:45,0,0
16:49,0,0
16:52,0,0
16:56,0,0
16:59,0,0
17:04,0,0
17:06,0,0
17:09,0,0
17:12,0,0
17:14,0,0
17:17,0,0
17:20,0,0
17:22,0,0
17:25,0,0
17:27,0,0
17:30,0,0
17:32,0,0
17:35,0,0
17:37,0,0
17:39,0,0
17:42,0,0
17:44,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:54,0,0
17:56,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:11,0,0
18:13,0,0
18:16,0,0
18:18,0,0
18:20,0,0
18:23,0,0
18:25,0,0
18:28,0,0
18:30,0,0
18:33,0,0
18:35,0,0
18:37,0,0
18:40,0,0
18:42,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:52,0,0
18:54,0,0
18:57,0,0
18:59,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:09,0,0
19:11,0,0
19:15,0,0
19:18,0,0
19:22,0,0
19:26,0,0
19:29,0,0
19:33,0,0
19:36,0,0
19:40,0,0
19:43,0,0
19:47,0,0
19:51,0,0
19:55,0,0
19:58,0,0
20:02,0,0
20:06,0,0
20:10,0,0
20:14,0,0
20:20,0,0
20:27,0,0
20:33,0,0
20:40,0,0
20:47,0,0
20:53,0,0
20:59,0,0
21:06,0,0
21:13,0,0
21:19,0,0
21:26,0,0
21:32,0,0
21:37,0,0
21:45,0,0
21:52,0,0
22:00,0,0
22:07,0,0
22:15,0,0
22:22,0,0
22:30,0,0
22:37,0,0
22:45,0,0
22:53,0,0
23:00,0,0
23:07,0,0
23:15,0,0
