时间,是否始发站,是否终到站
05:16,0,0
05:24,0,0
05:30,0,0
05:38,0,0
05:45,0,0
05:51,0,0
05:57,0,0
06:02,0,0
06:06,0,0
06:11,0,0
06:15,0,0
06:20,0,0
06:26,0,0
06:31,0,0
06:36,0,0
06:40,0,0
06:44,0,0
06:48,0,0
06:51,0,0
06:54,0,0
06:57,0,0
07:00,0,0
07:03,0,0
07:06,0,0
07:08,0,0
07:11,0,0
07:13,0,0
07:16,0,0
07:18,0,0
07:20,0,0
07:23,0,0
07:25,0,0
07:28,0,0
07:30,0,0
07:33,0,0
07:35,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:45,0,0
07:47,0,0
07:50,0,0
07:52,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:02,0,0
08:04,0,0
08:07,0,0
08:09,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:19,0,0
08:21,0,0
08:24,0,0
08:26,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:36,0,0
08:38,0,0
08:41,0,0
08:43,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:55,0,0
08:58,0,0
09:00,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:10,0,0
09:12,0,0
09:15,0,0
09:17,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:27,0,0
09:29,0,0
09:32,0,0
09:35,0,0
09:38,0,0
09:41,0,0
09:44,0,0
09:47,0,0
09:50,0,0
09:54,0,0
09:56,0,0
09:59,0,0
10:02,0,0
10:06,0,0
10:09,0,0
10:14,0,0
10:20,0,0
10:26,0,0
10:32,0,0
10:38,0,0
10:44,0,0
10:51,0,0
10:57,0,0
11:04,0,0
11:10,0,0
11:17,0,0
11:23,0,0
11:29,0,0
11:36,0,0
11:42,0,0
11:49,0,0
11:55,0,0
12:02,0,0
12:08,0,0
12:14,0,0
12:21,0,0
12:27,0,0
12:34,0,0
12:40,0,0
12:47,0,0
12:53,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:19,0,0
13:25,0,0
13:32,0,0
13:38,0,0
13:45,0,0
13:51,0,0
13:57,0,0
14:04,0,0
14:10,0,0
14:17,0,0
14:23,0,0
14:30,0,0
14:36,0,0
14:42,0,0
14:49,0,0
14:55,0,0
15:02,0,0
15:08,0,0
15:15,0,0
15:21,0,0
15:27,0,0
15:34,0,0
15:40,0,0
15:47,0,0
15:53,0,0
16:00,0,0
16:06,0,0
16:13,0,0
16:16,0,0
16:20,0,0
16:24,0,0
16:27,0,0
16:31,0,0
16:36,0,0
16:40,0,0
16:43,0,0
16:47,0,0
16:51,0,0
16:55,0,0
16:57,0,0
17:00,0,0
17:03,0,0
17:05,0,0
17:09,0,0
17:11,0,0
17:14,0,0
17:16,0,0
17:19,0,0
17:21,0,0
17:23,0,0
17:26,0,0
17:28,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:43,0,0
17:45,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:55,0,0
17:57,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:07,0,0
18:09,0,0
18:12,0,0
18:14,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:29,0,0
18:31,0,0
18:33,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:46,0,0
18:48,0,0
18:50,0,0
18:53,0,0
18:55,0,0
18:58,0,0
19:00,0,0
19:02,0,0
19:06,0,0
19:10,0,0
19:13,0,0
19:17,0,0
19:20,0,0
19:24,0,0
19:28,0,0
19:31,0,0
19:35,0,0
19:39,0,0
19:42,0,0
19:46,0,0
19:49,0,0
19:53,0,0
19:57,0,0
20:01,0,0
20:05,0,0
20:12,0,0
20:18,0,0
20:25,0,0
20:31,0,0
20:38,0,0
20:44,0,0
20:50,0,0
20:57,0,0
21:04,0,0
21:11,0,0
21:17,0,0
21:23,0,0
21:29,0,0
21:36,0,0
21:43,0,0
21:51,0,0
21:59,0,0
22:06,0,0
22:13,0,0
22:21,0,0
22:28,0,0
22:36,0,0
22:44,0,0
22:51,0,0
22:58,0,0
23:06,0,0
