时间,是否始发站,是否终到站
05:29,0,0
05:45,0,0
05:53,0,0
05:59,0,0
06:07,0,0
06:14,0,0
06:20,0,0
06:26,0,0
06:31,0,0
06:35,0,0
06:40,0,0
06:44,0,0
06:50,0,0
06:55,0,0
07:00,0,0
07:05,0,0
07:09,0,0
07:13,0,0
07:17,0,0
07:20,0,0
07:22,0,0
07:26,0,0
07:29,0,0
07:32,0,0
07:34,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:54,0,0
07:56,0,0
07:59,0,0
08:01,0,0
08:04,0,0
08:06,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:28,0,0
08:30,0,0
08:33,0,0
08:35,0,0
08:38,0,0
08:40,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:50,0,0
08:52,0,0
08:55,0,0
08:57,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:07,0,0
09:09,0,0
09:12,0,0
09:14,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:24,0,0
09:26,0,0
09:29,0,0
09:31,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:41,0,0
09:43,0,0
09:46,0,0
09:48,0,0
09:51,0,0
09:53,0,0
09:55,0,0
09:58,0,0
10:00,0,0
10:03,0,0
10:06,0,0
10:10,0,0
10:12,0,0
10:15,0,0
10:18,0,0
10:22,0,0
10:25,0,0
10:27,0,0
10:30,0,0
10:34,0,0
10:37,0,0
10:42,0,0
10:49,0,0
10:55,0,0
11:01,0,0
11:07,0,0
11:14,0,0
11:20,0,0
11:26,0,0
11:33,0,0
11:39,0,0
11:46,0,0
11:52,0,0
11:59,0,0
12:05,0,0
12:11,0,0
12:18,0,0
12:24,0,0
12:31,0,0
12:37,0,0
12:44,0,0
12:50,0,0
12:56,0,0
13:03,0,0
13:09,0,0
13:16,0,0
13:22,0,0
13:29,0,0
13:35,0,0
13:42,0,0
13:48,0,0
13:54,0,0
14:01,0,0
14:07,0,0
14:14,0,0
14:20,0,0
14:27,0,0
14:33,0,0
14:39,0,0
14:46,0,0
14:52,0,0
14:59,0,0
15:05,0,0
15:12,0,0
15:18,0,0
15:24,0,0
15:31,0,0
15:37,0,0
15:44,0,0
15:50,0,0
15:57,0,0
16:03,0,0
16:09,0,0
16:16,0,0
16:22,0,0
16:29,0,0
16:35,0,0
16:42,0,0
16:45,0,0
16:49,0,0
16:53,0,0
16:56,0,0
17:01,0,0
17:04,0,0
17:09,0,0
17:12,0,0
17:16,0,0
17:20,0,0
17:24,0,0
17:26,0,0
17:29,0,0
17:32,0,0
17:34,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,0
19:12,0,0
19:14,0,0
19:16,0,0
19:18,0,0
19:21,0,0
19:24,0,0
19:26,0,0
19:28,0,0
19:31,0,0
19:34,0,0
19:38,0,0
19:42,0,0
19:45,0,0
19:49,0,0
19:53,0,0
19:56,0,0
20:00,0,0
20:03,0,0
20:07,0,0
20:11,0,0
20:14,0,0
20:18,0,0
20:22,0,0
20:26,0,0
20:30,0,0
20:34,0,0
20:41,0,0
20:47,0,0
20:54,0,0
21:00,0,0
21:07,0,0
21:13,0,0
21:19,0,0
21:26,0,0
21:33,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:05,0,0
22:12,0,0
22:20,0,0
22:28,0,0
22:35,0,0
22:42,0,0
22:50,0,0
22:58,0,0
23:05,0,0
23:13,0,0
23:20,0,0
23:28,0,0
23:35,0,0
