时间,是否始发站,是否终到站
05:16,0,0
05:32,0,0
05:40,0,0
05:47,0,0
05:54,0,0
06:01,0,0
06:07,0,0
06:13,0,0
06:18,0,0
06:23,0,0
06:27,0,0
06:32,0,0
06:37,0,0
06:42,0,0
06:47,0,0
06:52,0,0
06:56,0,0
07:00,0,0
07:04,0,0
07:07,0,0
07:10,0,0
07:13,0,0
07:16,0,0
07:19,0,0
07:22,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:32,0,0
07:34,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:49,0,0
07:51,0,0
07:54,0,0
07:56,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:06,0,0
08:08,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:23,0,0
08:25,0,0
08:28,0,0
08:30,0,0
08:33,0,0
08:36,0,0
08:37,0,0
08:40,0,0
08:42,0,0
08:45,0,0
08:47,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:04,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:14,0,0
09:16,0,0
09:19,0,0
09:21,0,0
09:24,0,0
09:26,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:36,0,0
09:38,0,0
09:41,0,0
09:43,0,0
09:46,0,0
09:48,0,0
09:51,0,0
09:54,0,0
09:58,0,0
10:00,0,0
10:03,0,0
10:06,0,0
10:10,0,0
10:12,0,0
10:15,0,0
10:18,0,0
10:22,0,0
10:25,0,0
10:30,0,0
10:36,0,0
10:42,0,0
10:49,0,0
10:54,0,0
11:01,0,0
11:07,0,0
11:14,0,0
11:20,0,0
11:27,0,0
11:33,0,0
11:39,0,0
11:46,0,0
11:52,0,0
11:59,0,0
12:05,0,0
12:12,0,0
12:18,0,0
12:24,0,0
12:31,0,0
12:37,0,0
12:44,0,0
12:50,0,0
12:57,0,0
13:03,0,0
13:10,0,0
13:16,0,0
13:22,0,0
13:29,0,0
13:35,0,0
13:42,0,0
13:48,0,0
13:55,0,0
14:01,0,0
14:07,0,0
14:14,0,0
14:20,0,0
14:27,0,0
14:33,0,0
14:40,0,0
14:46,0,0
14:52,0,0
14:59,0,0
15:05,0,0
15:12,0,0
15:18,0,0
15:25,0,0
15:31,0,0
15:37,0,0
15:44,0,0
15:50,0,0
15:57,0,0
16:03,0,0
16:10,0,0
16:16,0,0
16:22,0,0
16:29,0,0
16:33,0,0
16:37,0,0
16:40,0,0
16:44,0,0
16:48,0,0
16:52,0,0
16:56,0,0
17:00,0,0
17:03,0,0
17:07,0,0
17:11,0,0
17:14,0,0
17:17,0,0
17:19,0,0
17:22,0,0
17:25,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:35,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:45,0,0
18:47,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:14,0,0
19:16,0,0
19:19,0,0
19:22,0,0
19:26,0,0
19:29,0,0
19:33,0,0
19:37,0,0
19:40,0,0
19:44,0,0
19:48,0,0
19:51,0,0
19:55,0,0
19:58,0,0
20:02,0,0
20:06,0,0
20:10,0,0
20:13,0,0
20:17,0,0
20:22,0,0
20:28,0,0
20:35,0,0
20:41,0,0
20:47,0,0
20:54,0,0
21:00,0,0
21:07,0,0
21:14,0,0
21:21,0,0
21:27,0,0
21:33,0,0
21:39,0,0
21:45,0,0
21:52,0,0
22:00,0,0
22:07,0,0
22:15,0,0
22:23,0,0
22:30,0,0
22:37,0,0
22:45,0,0
22:53,0,0
23:00,0,0
23:08,0,0
23:15,0,0
23:22,0,0
