时间,是否始发站,是否终到站
05:13,0,0
05:21,0,0
05:28,0,0
05:35,0,0
05:42,0,0
05:48,0,0
05:54,0,0
05:59,0,0
06:03,0,0
06:08,0,0
06:12,0,0
06:18,0,0
06:23,0,0
06:28,0,0
06:33,0,0
06:37,0,0
06:41,0,0
06:45,0,0
06:48,0,0
06:51,0,0
06:54,0,0
06:57,0,0
07:00,0,0
07:03,0,0
07:05,0,0
07:08,0,0
07:10,0,0
07:13,0,0
07:15,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:25,0,0
07:27,0,0
07:30,0,0
07:32,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:59,0,0
08:01,0,0
08:04,0,0
08:06,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:21,0,0
08:23,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:33,0,0
08:35,0,0
08:38,0,0
08:40,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:50,0,0
08:52,0,0
08:55,0,0
08:57,0,0
09:00,0,0
09:02,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:12,0,0
09:14,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:24,0,0
09:26,0,0
09:29,0,0
09:32,0,0
09:35,0,0
09:39,0,0
09:41,0,0
09:44,0,0
09:47,0,0
09:51,0,0
09:53,0,0
09:56,0,0
09:59,0,0
10:03,0,0
10:06,0,0
10:11,0,0
10:17,0,0
10:23,0,0
10:29,0,0
10:35,0,0
10:42,0,0
10:48,0,0
10:54,0,0
11:01,0,0
11:07,0,0
11:14,0,0
11:20,0,0
11:27,0,0
11:33,0,0
11:40,0,0
11:46,0,0
11:52,0,0
11:59,0,0
12:05,0,0
12:12,0,0
12:18,0,0
12:25,0,0
12:31,0,0
12:37,0,0
12:44,0,0
12:50,0,0
12:57,0,0
13:03,0,0
13:10,0,0
13:16,0,0
13:22,0,0
13:29,0,0
13:35,0,0
13:42,0,0
13:48,0,0
13:55,0,0
14:01,0,0
14:07,0,0
14:14,0,0
14:20,0,0
14:27,0,0
14:33,0,0
14:40,0,0
14:46,0,0
14:53,0,0
14:59,0,0
15:05,0,0
15:12,0,0
15:18,0,0
15:25,0,0
15:31,0,0
15:38,0,0
15:44,0,0
15:50,0,0
15:57,0,0
16:03,0,0
16:10,0,0
16:14,0,0
16:17,0,0
16:21,0,0
16:25,0,0
16:29,0,0
16:33,0,0
16:37,0,0
16:41,0,0
16:44,0,0
16:48,0,0
16:52,0,0
16:54,0,0
16:58,0,0
17:00,0,0
17:02,0,0
17:06,0,0
17:08,0,0
17:11,0,0
17:13,0,0
17:16,0,0
17:18,0,0
17:20,0,0
17:23,0,0
17:25,0,0
17:28,0,0
17:30,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:03,0,0
19:07,0,0
19:10,0,0
19:14,0,0
19:17,0,0
19:21,0,0
19:25,0,0
19:29,0,0
19:33,0,0
19:36,0,0
19:39,0,0
19:43,0,0
19:47,0,0
19:50,0,0
19:54,0,0
19:58,0,0
20:02,0,0
20:09,0,0
20:15,0,0
20:22,0,0
20:28,0,0
20:35,0,0
20:41,0,0
20:47,0,0
20:54,0,0
21:01,0,0
21:08,0,0
21:14,0,0
21:20,0,0
21:26,0,0
21:33,0,0
21:41,0,0
21:48,0,0
21:56,0,0
22:03,0,0
22:11,0,0
22:18,0,0
22:26,0,0
22:33,0,0
22:41,0,0
22:48,0,0
22:56,0,0
23:03,0,0
