时间,是否始发站,是否终到站
05:27,0,0
05:43,0,0
05:51,0,0
05:57,0,0
06:05,0,0
06:12,0,0
06:18,0,0
06:24,0,0
06:29,0,0
06:33,0,0
06:38,0,0
06:42,0,0
06:48,0,0
06:53,0,0
06:58,0,0
07:03,0,0
07:07,0,0
07:11,0,0
07:15,0,0
07:18,0,0
07:20,0,0
07:24,0,0
07:27,0,0
07:30,0,0
07:32,0,0
07:35,0,0
07:37,0,0
07:40,0,0
07:42,0,0
07:45,0,0
07:47,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:57,0,0
07:59,0,0
08:02,0,0
08:04,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:14,0,0
08:16,0,0
08:19,0,0
08:21,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:31,0,0
08:33,0,0
08:36,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:55,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:05,0,0
09:07,0,0
09:10,0,0
09:12,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:22,0,0
09:24,0,0
09:27,0,0
09:29,0,0
09:32,0,0
09:34,0,0
09:36,0,0
09:39,0,0
09:41,0,0
09:44,0,0
09:46,0,0
09:49,0,0
09:51,0,0
09:53,0,0
09:56,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:08,0,0
10:10,0,0
10:13,0,0
10:16,0,0
10:20,0,0
10:23,0,0
10:25,0,0
10:28,0,0
10:32,0,0
10:35,0,0
10:40,0,0
10:47,0,0
10:53,0,0
10:59,0,0
11:05,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:31,0,0
11:37,0,0
11:44,0,0
11:50,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:16,0,0
12:22,0,0
12:29,0,0
12:35,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:01,0,0
13:07,0,0
13:14,0,0
13:20,0,0
13:27,0,0
13:33,0,0
13:39,0,0
13:46,0,0
13:52,0,0
13:59,0,0
14:05,0,0
14:12,0,0
14:18,0,0
14:25,0,0
14:31,0,0
14:37,0,0
14:44,0,0
14:50,0,0
14:57,0,0
15:03,0,0
15:10,0,0
15:16,0,0
15:22,0,0
15:29,0,0
15:35,0,0
15:42,0,0
15:48,0,0
15:55,0,0
16:01,0,0
16:07,0,0
16:14,0,0
16:20,0,0
16:27,0,0
16:33,0,0
16:40,0,0
16:43,0,0
16:47,0,0
16:51,0,0
16:54,0,0
16:58,0,0
17:03,0,0
17:07,0,0
17:10,0,0
17:14,0,0
17:18,0,0
17:22,0,0
17:24,0,0
17:27,0,0
17:30,0,0
17:32,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:50,0,0
17:52,0,0
17:55,0,0
17:57,0,0
17:59,0,0
18:02,0,0
18:04,0,0
18:07,0,0
18:09,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:53,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:05,0,0
19:07,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:17,0,0
19:19,0,0
19:22,0,0
19:24,0,0
19:26,0,0
19:29,0,0
19:32,0,0
19:36,0,0
19:40,0,0
19:43,0,0
19:47,0,0
19:51,0,0
19:54,0,0
19:58,0,0
20:01,0,0
20:05,0,0
20:09,0,0
20:12,0,0
20:16,0,0
20:20,0,0
20:24,0,0
20:28,0,0
20:32,0,0
20:39,0,0
20:45,0,0
20:52,0,0
20:58,0,0
21:05,0,0
21:11,0,0
21:17,0,0
21:24,0,0
21:31,0,0
21:38,0,0
21:44,0,0
21:50,0,0
21:56,0,0
22:03,0,0
22:10,0,0
22:18,0,0
22:26,0,0
22:33,0,0
22:40,0,0
22:48,0,0
22:56,0,0
23:02,0,0
23:11,0,0
23:18,0,0
23:26,0,0
23:33,0,0
