时间,是否始发站,是否终到站
05:16,0,0
05:23,0,0
05:31,0,0
05:38,0,0
05:45,0,0
05:51,0,0
05:57,0,0
06:02,0,0
06:08,0,0
06:14,0,0
06:20,0,0
06:24,0,0
06:29,0,0
06:33,0,0
06:37,0,0
06:42,0,0
06:45,0,0
06:48,0,0
06:52,0,0
06:55,0,0
06:59,0,0
07:01,0,0
07:04,0,0
07:06,0,0
07:09,0,0
07:11,0,0
07:14,0,0
07:16,0,0
07:19,0,0
07:21,0,0
07:23,0,0
07:26,0,0
07:28,0,0
07:31,0,0
07:33,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:43,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:53,0,0
07:55,0,0
07:57,0,0
08:00,0,0
08:02,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:12,0,0
08:14,0,0
08:17,0,0
08:19,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:29,0,0
08:31,0,0
08:34,0,0
08:36,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:46,0,0
08:48,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:58,0,0
09:00,0,0
09:03,0,0
09:05,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:15,0,0
09:17,0,0
09:20,0,0
09:22,0,0
09:25,0,0
09:28,0,0
09:31,0,0
09:34,0,0
09:37,0,0
09:40,0,0
09:43,0,0
09:46,0,0
09:49,0,0
09:51,0,0
09:55,0,0
09:58,0,0
10:02,0,0
10:06,0,0
10:10,0,0
10:15,0,0
10:20,0,0
10:24,0,0
10:30,0,0
10:36,0,0
10:43,0,0
10:49,0,0
10:55,0,0
11:02,0,0
11:08,0,0
11:15,0,0
11:21,0,0
11:28,0,0
11:34,0,0
11:40,0,0
11:47,0,0
11:53,0,0
12:00,0,0
12:06,0,0
12:13,0,0
12:19,0,0
12:25,0,0
12:32,0,0
12:38,0,0
12:45,0,0
12:51,0,0
12:58,0,0
13:04,0,0
13:11,0,0
13:17,0,0
13:23,0,0
13:30,0,0
13:36,0,0
13:43,0,0
13:49,0,0
13:56,0,0
14:02,0,0
14:08,0,0
14:15,0,0
14:21,0,0
14:28,0,0
14:34,0,0
14:41,0,0
14:47,0,0
14:53,0,0
15:00,0,0
15:06,0,0
15:13,0,0
15:19,0,0
15:26,0,0
15:32,0,0
15:38,0,0
15:45,0,0
15:51,0,0
15:58,0,0
16:04,0,0
16:11,0,0
16:17,0,0
16:20,0,0
16:24,0,0
16:28,0,0
16:31,0,0
16:34,0,0
16:37,0,0
16:40,0,0
16:43,0,0
16:46,0,0
16:49,0,0
16:52,0,0
16:55,0,0
16:58,0,0
17:01,0,0
17:04,0,0
17:06,0,0
17:09,0,0
17:12,0,0
17:14,0,0
17:17,0,0
17:19,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:29,0,0
17:31,0,0
17:34,0,0
17:36,0,0
17:38,0,0
17:41,0,0
17:43,0,0
17:46,0,0
17:48,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:58,0,0
18:00,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:10,0,0
18:12,0,0
18:15,0,0
18:17,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:27,0,0
18:29,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:39,0,0
18:41,0,0
18:44,0,0
18:46,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:56,0,0
18:58,0,0
19:01,0,0
19:03,0,0
19:05,0,0
19:08,0,0
19:10,0,0
19:13,0,0
19:16,0,0
19:18,0,0
19:21,0,0
19:24,0,0
19:28,0,0
19:31,0,0
19:33,0,0
19:36,0,0
19:40,0,0
19:43,0,0
19:47,0,0
19:50,0,0
19:52,0,0
19:55,0,0
19:58,0,0
20:01,0,0
20:05,0,0
20:09,0,0
20:13,0,0
20:16,0,0
20:21,0,0
20:25,0,0
20:32,0,0
20:38,0,0
20:45,0,0
20:51,0,0
20:57,0,0
21:04,0,0
21:10,0,0
21:17,0,0
21:23,0,0
21:30,0,0
21:36,0,0
21:42,0,0
21:49,0,0
21:56,0,0
22:02,0,0
22:09,0,0
22:16,0,0
22:23,0,0
22:30,0,0
22:39,0,0
22:47,0,0
22:54,0,0
23:01,0,0
23:08,0,0
23:15,0,0
