时间,是否始发站,是否终到站
05:14,0,0
05:21,0,0
05:29,0,0
05:36,0,0
05:43,0,0
05:49,0,0
05:55,0,0
06:00,0,0
06:06,0,0
06:12,0,0
06:18,0,0
06:22,0,0
06:27,0,0
06:30,0,0
06:35,0,0
06:39,0,0
06:43,0,0
06:47,0,0
06:50,0,0
06:54,0,0
06:57,0,0
06:59,0,0
07:02,0,0
07:05,0,0
07:07,0,0
07:09,0,0
07:12,0,0
07:14,0,0
07:17,0,0
07:19,0,0
07:22,0,0
07:24,0,0
07:26,0,0
07:29,0,0
07:31,0,0
07:34,0,0
07:36,0,0
07:38,0,0
07:41,0,0
07:43,0,0
07:46,0,0
07:48,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:58,0,0
08:00,0,0
08:03,0,0
08:05,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:15,0,0
08:17,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:27,0,0
08:29,0,0
08:32,0,0
08:34,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:44,0,0
08:46,0,0
08:49,0,0
08:51,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:01,0,0
09:03,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:13,0,0
09:15,0,0
09:18,0,0
09:20,0,0
09:23,0,0
09:26,0,0
09:29,0,0
09:32,0,0
09:35,0,0
09:38,0,0
09:41,0,0
09:44,0,0
09:47,0,0
09:49,0,0
09:53,0,0
09:57,0,0
10:00,0,0
10:04,0,0
10:08,0,0
10:13,0,0
10:18,0,0
10:22,0,0
10:28,0,0
10:34,0,0
10:41,0,0
10:47,0,0
10:53,0,0
11:00,0,0
11:06,0,0
11:13,0,0
11:19,0,0
11:25,0,0
11:32,0,0
11:38,0,0
11:45,0,0
11:51,0,0
11:58,0,0
12:04,0,0
12:10,0,0
12:17,0,0
12:23,0,0
12:30,0,0
12:36,0,0
12:43,0,0
12:49,0,0
12:56,0,0
13:02,0,0
13:08,0,0
13:15,0,0
13:21,0,0
13:28,0,0
13:34,0,0
13:41,0,0
13:47,0,0
13:53,0,0
14:00,0,0
14:06,0,0
14:13,0,0
14:19,0,0
14:26,0,0
14:32,0,0
14:38,0,0
14:45,0,0
14:51,0,0
14:58,0,0
15:04,0,0
15:11,0,0
15:17,0,0
15:23,0,0
15:30,0,0
15:36,0,0
15:43,0,0
15:49,0,0
15:56,0,0
16:02,0,0
16:09,0,0
16:15,0,0
16:18,0,0
16:22,0,0
16:26,0,0
16:29,0,0
16:32,0,0
16:36,0,0
16:39,0,0
16:41,0,0
16:45,0,0
16:48,0,0
16:51,0,0
16:53,0,0
16:57,0,0
17:00,0,0
17:02,0,0
17:05,0,0
17:08,0,0
17:10,0,0
17:12,0,0
17:15,0,0
17:17,0,0
17:20,0,0
17:22,0,0
17:24,0,0
17:27,0,0
17:29,0,0
17:32,0,0
17:34,0,0
17:37,0,0
17:39,0,0
17:41,0,0
17:44,0,0
17:46,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:01,0,0
18:03,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:30,0,0
18:32,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:42,0,0
18:44,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:54,0,0
18:56,0,0
18:59,0,0
19:01,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:11,0,0
19:14,0,0
19:16,0,0
19:19,0,0
19:22,0,0
19:26,0,0
19:29,0,0
19:31,0,0
19:34,0,0
19:38,0,0
19:41,0,0
19:44,0,0
19:48,0,0
19:50,0,0
19:53,0,0
19:56,0,0
19:59,0,0
20:02,0,0
20:07,0,0
20:11,0,0
20:14,0,0
20:19,0,0
20:23,0,0
20:30,0,0
20:36,0,0
20:42,0,0
20:49,0,0
20:55,0,0
21:02,0,0
21:08,0,0
21:15,0,0
21:21,0,0
21:27,0,0
21:34,0,0
21:40,0,0
21:47,0,0
21:54,0,0
22:00,0,0
22:07,0,0
22:14,0,0
22:21,0,0
22:28,0,0
22:36,0,0
22:45,0,0
22:52,0,0
22:59,0,0
23:06,0,0
23:13,0,0
