时间,是否始发站,是否终到站
05:11,1,0
05:23,0,0
05:30,0,0
05:38,0,0
05:45,0,0
05:52,0,0
05:58,0,0
06:04,0,0
06:09,0,0
06:15,0,0
06:21,0,0
06:27,0,0
06:31,0,0
06:36,0,0
06:40,0,0
06:44,0,0
06:49,0,0
06:52,0,0
06:55,0,0
06:59,0,0
07:02,0,0
07:06,0,0
07:08,0,0
07:11,0,0
07:13,0,0
07:16,0,0
07:18,0,0
07:21,0,0
07:23,0,0
07:26,0,0
07:28,0,0
07:30,0,0
07:33,0,0
07:35,0,0
07:38,0,0
07:40,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:50,0,0
07:52,0,0
07:55,0,0
07:57,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:07,0,0
08:09,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:19,0,0
08:21,0,0
08:24,0,0
08:26,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:36,0,0
08:38,0,0
08:41,0,0
08:43,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:55,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:05,0,0
09:07,0,0
09:10,0,0
09:12,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:22,0,0
09:24,0,0
09:27,0,0
09:29,0,0
09:32,0,0
09:35,0,0
09:38,0,0
09:41,0,0
09:44,0,0
09:47,0,0
09:50,0,0
09:53,0,0
09:56,0,0
09:58,0,0
10:02,0,0
10:05,0,0
10:09,0,0
10:13,0,0
10:17,0,0
10:22,0,0
10:27,0,0
10:31,0,0
10:37,0,0
10:44,0,0
10:50,0,0
10:56,0,0
11:03,0,0
11:09,0,0
11:16,0,0
11:22,0,0
11:28,0,0
11:35,0,0
11:41,0,0
11:48,0,0
11:54,0,0
12:01,0,0
12:07,0,0
12:13,0,0
12:20,0,0
12:26,0,0
12:33,0,0
12:39,0,0
12:46,0,0
12:52,0,0
12:58,0,0
13:05,0,0
13:11,0,0
13:18,0,0
13:24,0,0
13:31,0,0
13:37,0,0
13:43,0,0
13:50,0,0
13:56,0,0
14:03,0,0
14:09,0,0
14:16,0,0
14:22,0,0
14:29,0,0
14:35,0,0
14:41,0,0
14:48,0,0
14:54,0,0
15:01,0,0
15:07,0,0
15:14,0,0
15:20,0,0
15:26,0,0
15:33,0,0
15:39,0,0
15:46,0,0
15:52,0,0
15:59,0,0
16:05,0,0
16:11,0,0
16:18,0,0
16:24,0,0
16:28,0,0
16:31,0,0
16:35,0,0
16:38,0,0
16:41,0,0
16:44,0,0
16:47,0,0
16:50,0,0
16:53,0,0
16:56,0,0
16:59,0,0
17:02,0,0
17:05,0,0
17:08,0,0
17:11,0,0
17:13,0,0
17:16,0,0
17:19,0,0
17:21,0,0
17:24,0,0
17:26,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:36,0,0
17:38,0,0
17:41,0,0
17:43,0,0
17:45,0,0
17:48,0,0
17:50,0,0
17:53,0,0
17:55,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:05,0,0
18:07,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:17,0,0
18:19,0,0
18:22,0,0
18:24,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:46,0,0
18:48,0,0
18:51,0,0
18:53,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:03,0,0
19:05,0,0
19:08,0,0
19:10,0,0
19:12,0,0
19:15,0,0
19:17,0,0
19:20,0,0
19:23,0,0
19:25,0,0
19:28,0,0
19:31,0,0
19:35,0,0
19:38,0,0
19:41,0,0
19:43,0,0
19:47,0,0
19:50,0,0
19:54,0,0
19:57,0,0
19:59,0,0
20:02,0,0
20:05,0,0
20:08,0,0
20:12,0,0
20:16,0,0
20:20,0,0
20:23,0,0
20:28,0,0
20:32,0,0
20:39,0,0
20:45,0,0
20:52,0,0
20:58,0,0
21:05,0,0
21:11,0,0
21:18,0,0
21:24,0,0
21:30,0,0
21:37,0,0
21:43,0,0
21:50,0,0
21:56,0,0
22:03,0,0
22:09,0,0
22:16,0,0
22:23,0,0
22:31,0,0
22:38,0,0
22:46,0,0
22:54,0,0
23:01,0,0
23:08,0,0
23:15,0,0
23:22,0,0
