时间,是否始发站,是否终到站
05:24,0,0
05:37,0,0
05:44,0,0
05:52,0,0
05:59,0,0
06:06,0,0
06:12,0,0
06:18,0,0
06:23,0,0
06:29,0,0
06:35,0,0
06:41,0,0
06:45,0,0
06:50,0,0
06:54,0,0
06:58,0,0
07:03,0,0
07:06,0,0
07:09,0,0
07:13,0,0
07:16,0,0
07:20,0,0
07:22,0,0
07:25,0,0
07:27,0,0
07:30,0,0
07:32,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:59,0,0
08:01,0,0
08:04,0,0
08:06,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:28,0,0
08:30,0,0
08:33,0,0
08:35,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:45,0,0
08:47,0,0
08:50,0,0
08:52,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:04,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:14,0,0
09:16,0,0
09:19,0,0
09:21,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:33,0,0
09:36,0,0
09:38,0,0
09:41,0,0
09:43,0,0
09:46,0,0
09:48,0,0
09:51,0,0
09:54,0,0
09:57,0,0
10:00,0,0
10:03,0,0
10:06,0,0
10:10,0,0
10:12,0,0
10:15,0,0
10:19,0,0
10:23,0,0
10:27,0,0
10:31,0,0
10:36,0,0
10:41,0,0
10:45,0,0
10:51,0,0
10:57,0,0
11:04,0,0
11:10,0,0
11:16,0,0
11:23,0,0
11:29,0,0
11:36,0,0
11:42,0,0
11:49,0,0
11:55,0,0
12:01,0,0
12:08,0,0
12:14,0,0
12:21,0,0
12:27,0,0
12:34,0,0
12:40,0,0
12:47,0,0
12:53,0,0
12:59,0,0
13:06,0,0
13:12,0,0
13:19,0,0
13:25,0,0
13:32,0,0
13:38,0,0
13:44,0,0
13:51,0,0
13:57,0,0
14:04,0,0
14:10,0,0
14:17,0,0
14:23,0,0
14:29,0,0
14:36,0,0
14:42,0,0
14:49,0,0
14:55,0,0
15:02,0,0
15:08,0,0
15:14,0,0
15:21,0,0
15:27,0,0
15:34,0,0
15:40,0,0
15:47,0,0
15:53,0,0
16:00,0,0
16:06,0,0
16:12,0,0
16:19,0,0
16:25,0,0
16:32,0,0
16:38,0,0
16:42,0,0
16:45,0,0
16:49,0,0
16:52,0,0
16:55,0,0
16:58,0,0
17:01,0,0
17:04,0,0
17:07,0,0
17:10,0,0
17:13,0,0
17:16,0,0
17:19,0,0
17:22,0,0
17:25,0,0
17:27,0,0
17:30,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:14,0,0
18:16,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,0
19:12,0,0
19:14,0,0
19:17,0,0
19:19,0,0
19:21,0,0
19:24,0,0
19:26,0,0
19:29,0,0
19:31,0,0
19:33,0,0
19:36,0,0
19:39,0,0
19:41,0,0
19:45,0,0
19:49,0,0
19:52,0,0
19:55,0,0
19:57,0,0
20:01,0,0
20:04,0,0
20:08,0,0
20:11,0,0
20:13,0,0
20:16,0,0
20:19,0,0
20:22,0,0
20:26,0,0
20:30,0,0
20:34,0,0
20:37,0,0
20:42,0,0
20:46,0,0
20:53,0,0
20:59,0,0
21:06,0,0
21:12,0,0
21:18,0,0
21:25,0,0
21:31,0,0
21:38,0,0
21:44,0,0
21:51,0,0
21:57,0,0
22:03,0,0
22:10,0,0
22:17,0,0
22:23,0,0
22:30,0,0
22:37,0,0
22:44,0,0
22:52,0,0
23:00,0,0
23:08,0,0
23:15,0,0
23:22,0,0
23:29,0,0
23:36,0,0
