时间,是否始发站,是否终到站
05:20,0,0
05:32,0,0
05:39,0,0
05:47,0,0
05:55,0,0
06:01,0,0
06:08,0,0
06:13,0,0
06:19,0,0
06:24,0,0
06:30,0,0
06:36,0,0
06:41,0,0
06:45,0,0
06:49,0,0
06:54,0,0
06:58,0,0
07:01,0,0
07:05,0,0
07:08,0,0
07:12,0,0
07:15,0,0
07:17,0,0
07:20,0,0
07:23,0,0
07:25,0,0
07:28,0,0
07:30,0,0
07:32,0,0
07:35,0,0
07:37,0,0
07:40,0,0
07:42,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:52,0,0
07:54,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:04,0,0
08:06,0,0
08:09,0,0
08:11,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:21,0,0
08:23,0,0
08:26,0,0
08:28,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:38,0,0
08:40,0,0
08:43,0,0
08:45,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:55,0,0
08:57,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:07,0,0
09:09,0,0
09:12,0,0
09:14,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:24,0,0
09:26,0,0
09:29,0,0
09:31,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:41,0,0
09:44,0,0
09:47,0,0
09:50,0,0
09:53,0,0
09:56,0,0
09:59,0,0
10:02,0,0
10:05,0,0
10:07,0,0
10:11,0,0
10:15,0,0
10:18,0,0
10:22,0,0
10:26,0,0
10:31,0,0
10:36,0,0
10:40,0,0
10:47,0,0
10:53,0,0
11:00,0,0
11:06,0,0
11:12,0,0
11:19,0,0
11:25,0,0
11:31,0,0
11:38,0,0
11:44,0,0
11:51,0,0
11:57,0,0
12:04,0,0
12:10,0,0
12:16,0,0
12:23,0,0
12:29,0,0
12:36,0,0
12:42,0,0
12:49,0,0
12:55,0,0
13:01,0,0
13:08,0,0
13:14,0,0
13:21,0,0
13:27,0,0
13:34,0,0
13:40,0,0
13:47,0,0
13:53,0,0
13:59,0,0
14:06,0,0
14:12,0,0
14:19,0,0
14:25,0,0
14:32,0,0
14:38,0,0
14:44,0,0
14:51,0,0
14:57,0,0
15:04,0,0
15:10,0,0
15:17,0,0
15:23,0,0
15:29,0,0
15:36,0,0
15:42,0,0
15:49,0,0
15:55,0,0
16:02,0,0
16:08,0,0
16:14,0,0
16:21,0,0
16:27,0,0
16:34,0,0
16:37,0,0
16:41,0,0
16:45,0,0
16:47,0,0
16:50,0,0
16:54,0,0
16:57,0,0
16:59,0,0
17:03,0,0
17:06,0,0
17:09,0,0
17:11,0,0
17:15,0,0
17:18,0,0
17:20,0,0
17:23,0,0
17:26,0,0
17:28,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:50,0,0
17:52,0,0
17:55,0,0
17:57,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:07,0,0
18:09,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:29,0,0
18:31,0,0
18:33,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:53,0,0
18:55,0,0
18:58,0,0
19:00,0,0
19:02,0,0
19:05,0,0
19:07,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:17,0,0
19:19,0,0
19:22,0,0
19:24,0,0
19:27,0,0
19:29,0,0
19:32,0,0
19:34,0,0
19:37,0,0
19:41,0,0
19:45,0,0
19:48,0,0
19:50,0,0
19:53,0,0
19:57,0,0
19:59,0,0
20:03,0,0
20:06,0,0
20:09,0,0
20:12,0,0
20:15,0,0
20:18,0,0
20:21,0,0
20:25,0,0
20:29,0,0
20:33,0,0
20:37,0,0
20:42,0,0
20:48,0,0
20:55,0,0
21:01,0,0
21:08,0,0
21:14,0,0
21:21,0,0
21:27,0,0
21:33,0,0
21:40,0,0
21:46,0,0
21:53,0,0
21:59,0,0
22:06,0,0
22:13,0,0
22:19,0,0
22:26,0,0
22:33,0,0
22:40,0,0
22:47,0,0
22:55,0,0
23:03,0,0
23:11,0,0
23:18,0,0
23:25,0,0
23:32,0,0
