时间,是否始发站,是否终到站
05:13,0,0
05:26,0,0
05:33,0,0
05:41,0,0
05:48,0,0
05:55,0,0
06:01,0,0
06:07,0,0
06:12,0,0
06:18,0,0
06:24,0,0
06:30,0,0
06:34,0,0
06:39,0,0
06:43,0,0
06:47,0,0
06:52,0,0
06:54,0,0
06:58,0,0
07:02,0,0
07:05,0,0
07:08,0,0
07:11,0,0
07:14,0,0
07:16,0,0
07:19,0,0
07:21,0,0
07:23,0,0
07:26,0,0
07:28,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:38,0,0
07:40,0,0
07:43,0,0
07:45,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:55,0,0
07:57,0,0
08:00,0,0
08:02,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:12,0,0
08:14,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:24,0,0
08:26,0,0
08:29,0,0
08:31,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:41,0,0
08:43,0,0
08:46,0,0
08:48,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:58,0,0
09:00,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:10,0,0
09:12,0,0
09:15,0,0
09:17,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:27,0,0
09:29,0,0
09:32,0,0
09:34,0,0
09:37,0,0
09:40,0,0
09:43,0,0
09:46,0,0
09:49,0,0
09:52,0,0
09:55,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:08,0,0
10:12,0,0
10:16,0,0
10:20,0,0
10:25,0,0
10:30,0,0
10:33,0,0
10:40,0,0
10:46,0,0
10:53,0,0
10:59,0,0
11:05,0,0
11:12,0,0
11:18,0,0
11:25,0,0
11:31,0,0
11:38,0,0
11:44,0,0
11:50,0,0
11:57,0,0
12:03,0,0
12:10,0,0
12:16,0,0
12:23,0,0
12:29,0,0
12:35,0,0
12:42,0,0
12:48,0,0
12:55,0,0
13:01,0,0
13:08,0,0
13:14,0,0
13:20,0,0
13:27,0,0
13:33,0,0
13:40,0,0
13:46,0,0
13:53,0,0
13:59,0,0
14:05,0,0
14:12,0,0
14:18,0,0
14:25,0,0
14:31,0,0
14:38,0,0
14:44,0,0
14:51,0,0
14:57,0,0
15:03,0,0
15:10,0,0
15:16,0,0
15:23,0,0
15:29,0,0
15:36,0,0
15:42,0,0
15:48,0,0
15:55,0,0
16:01,0,0
16:08,0,0
16:14,0,0
16:21,0,0
16:27,0,0
16:30,0,0
16:34,0,0
16:38,0,0
16:40,0,0
16:44,0,0
16:47,0,0
16:50,0,0
16:52,0,0
16:56,0,0
16:59,0,0
17:02,0,0
17:05,0,0
17:08,0,0
17:11,0,0
17:14,0,0
17:16,0,0
17:19,0,0
17:21,0,0
17:24,0,0
17:26,0,0
17:29,0,0
17:31,0,0
17:34,0,0
17:36,0,0
17:38,0,0
17:41,0,0
17:43,0,0
17:46,0,0
17:48,0,0
17:50,0,0
17:53,0,0
17:55,0,0
17:58,0,0
18:00,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:10,0,0
18:12,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:22,0,0
18:24,0,0
18:27,0,0
18:29,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:39,0,0
18:41,0,0
18:44,0,0
18:46,0,0
18:48,0,0
18:51,0,0
18:53,0,0
18:56,0,0
18:58,0,0
19:01,0,0
19:03,0,0
19:05,0,0
19:08,0,0
19:10,0,0
19:13,0,0
19:15,0,0
19:17,0,0
19:20,0,0
19:22,0,0
19:25,0,0
19:28,0,0
19:30,0,0
19:34,0,0
19:38,0,0
19:41,0,0
19:43,0,0
19:46,0,0
19:50,0,0
19:53,0,0
19:57,0,0
20:00,0,0
20:02,0,0
20:05,0,0
20:08,0,0
20:11,0,0
20:15,0,0
20:19,0,0
20:23,0,0
20:26,0,0
20:31,0,0
20:35,0,0
20:42,0,0
20:48,0,0
20:54,0,0
21:01,0,0
21:07,0,0
21:14,0,0
21:20,0,0
21:27,0,0
21:33,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:59,0,0
22:06,0,0
22:12,0,0
22:19,0,0
22:26,0,0
22:33,0,0
22:40,0,0
22:49,0,0
22:57,0,0
23:04,0,0
23:11,0,0
23:18,0,0
23:25,0,0
