时间,是否始发站,是否终到站
05:32,0,0
05:44,0,0
05:51,0,0
05:59,0,0
06:07,0,0
06:13,0,0
06:20,0,0
06:25,0,0
06:31,0,0
06:36,0,0
06:42,0,0
06:48,0,0
06:53,0,0
06:57,0,0
07:01,0,0
07:06,0,0
07:10,0,0
07:13,0,0
07:16,0,0
07:20,0,0
07:24,0,0
07:27,0,0
07:29,0,0
07:32,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:54,0,0
07:56,0,0
07:59,0,0
08:01,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:28,0,0
08:30,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:40,0,0
08:42,0,0
08:45,0,0
08:47,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:04,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:14,0,0
09:16,0,0
09:18,0,1
09:21,0,0
09:23,0,0
09:26,0,0
09:28,0,0
09:30,0,1
09:33,0,0
09:36,0,0
09:38,0,0
09:40,0,1
09:43,0,0
09:45,0,0
09:47,0,1
09:50,0,0
09:52,0,0
09:55,0,1
09:59,0,0
10:01,0,1
10:04,0,0
10:08,0,0
10:10,0,1
10:14,0,0
10:16,0,1
10:19,0,0
10:22,0,1
10:26,0,0
10:30,0,0
10:34,0,1
10:38,0,0
10:43,0,0
10:48,0,1
10:52,0,0
10:58,0,0
11:05,0,0
11:11,0,0
11:17,0,0
11:24,0,0
11:30,0,0
11:37,0,0
11:43,0,0
11:50,0,0
11:56,0,0
12:02,0,0
12:09,0,0
12:15,0,0
12:22,0,0
12:28,0,0
12:35,0,0
12:41,0,0
12:47,0,0
12:54,0,0
13:00,0,0
13:07,0,0
13:13,0,0
13:20,0,0
13:26,0,0
13:32,0,0
13:39,0,0
13:45,0,0
13:52,0,0
13:58,0,0
14:05,0,0
14:11,0,0
14:18,0,0
14:24,0,0
14:30,0,0
14:37,0,0
14:43,0,0
14:50,0,0
14:56,0,0
15:03,0,0
15:09,0,0
15:16,0,0
15:22,0,0
15:28,0,0
15:35,0,0
15:41,0,0
15:48,0,0
15:54,0,0
16:00,0,0
16:07,0,0
16:13,0,0
16:20,0,0
16:26,0,0
16:33,0,0
16:39,0,0
16:46,0,0
16:49,0,0
16:53,0,0
16:56,0,0
16:59,0,0
17:02,0,0
17:05,0,0
17:08,0,0
17:11,0,0
17:14,0,0
17:17,0,0
17:20,0,0
17:23,0,0
17:26,0,0
17:29,0,0
17:32,0,0
17:34,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,1
19:12,0,0
19:14,0,0
19:17,0,0
19:19,0,0
19:21,0,1
19:24,0,0
19:26,0,0
19:29,0,0
19:31,0,1
19:33,0,0
19:36,0,0
19:38,0,0
19:41,0,0
19:44,0,0
19:46,0,0
19:48,0,1
19:52,0,0
19:56,0,0
19:59,0,0
20:02,0,1
20:04,0,0
20:09,0,0
20:11,0,1
20:15,0,0
20:18,0,1
20:21,0,0
20:23,0,1
20:27,0,0
20:29,0,1
20:33,0,0
20:37,0,1
20:41,0,0
20:45,0,0
20:49,0,1
20:54,0,0
21:00,0,0
21:07,0,0
21:13,0,0
21:19,0,0
21:26,0,0
21:32,0,0
21:39,0,0
21:45,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:11,0,0
22:17,0,0
22:24,0,1
22:30,0,0
22:37,0,0
22:44,0,0
22:52,0,0
22:59,0,0
23:07,0,0
23:15,0,0
23:22,0,0
23:29,0,0
23:36,0,0
23:43,0,0
