时间,是否始发站,是否终到站
05:29,0,0
05:42,0,0
05:49,0,0
05:57,0,0
06:04,0,0
06:11,0,0
06:17,0,0
06:23,0,0
06:28,0,0
06:34,0,0
06:40,0,0
06:46,0,0
06:50,0,0
06:55,0,0
06:59,0,0
07:03,0,0
07:08,0,0
07:10,0,0
07:14,0,0
07:18,0,0
07:21,0,0
07:25,0,0
07:27,0,0
07:30,0,0
07:32,0,0
07:35,0,0
07:37,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:59,0,0
08:01,0,0
08:04,0,0
08:06,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:21,0,0
08:23,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:33,0,0
08:35,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:45,0,0
08:47,0,0
08:50,0,0
08:52,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:04,0,0
09:07,0,0
09:09,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:19,0,0
09:21,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:31,0,0
09:33,0,0
09:36,0,0
09:38,0,0
09:41,0,0
09:43,0,0
09:45,0,0
09:48,0,0
09:51,0,0
09:53,0,0
09:56,0,0
09:59,0,0
10:02,0,0
10:05,0,0
10:08,0,0
10:11,0,0
10:14,0,0
10:17,0,0
10:20,0,0
10:24,0,0
10:28,0,0
10:32,0,0
10:36,0,0
10:41,0,0
10:46,0,0
10:50,0,0
10:56,0,0
11:02,0,0
11:09,0,0
11:15,0,0
11:21,0,0
11:28,0,0
11:34,0,0
11:41,0,0
11:47,0,0
11:54,0,0
12:00,0,0
12:07,0,0
12:13,0,0
12:19,0,0
12:26,0,0
12:32,0,0
12:39,0,0
12:45,0,0
12:52,0,0
12:58,0,0
13:04,0,0
13:11,0,0
13:17,0,0
13:24,0,0
13:30,0,0
13:37,0,0
13:43,0,0
13:49,0,0
13:56,0,0
14:02,0,0
14:09,0,0
14:15,0,0
14:22,0,0
14:28,0,0
14:34,0,0
14:41,0,0
14:47,0,0
14:54,0,0
15:00,0,0
15:07,0,0
15:13,0,0
15:20,0,0
15:26,0,0
15:32,0,0
15:39,0,0
15:45,0,0
15:52,0,0
15:58,0,0
16:05,0,0
16:11,0,0
16:17,0,0
16:24,0,0
16:30,0,0
16:37,0,0
16:43,0,0
16:47,0,0
16:50,0,0
16:54,0,0
16:56,0,0
17:00,0,0
17:03,0,0
17:06,0,0
17:09,0,0
17:12,0,0
17:15,0,0
17:18,0,0
17:21,0,0
17:24,0,0
17:27,0,0
17:30,0,0
17:32,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:02,0,0
18:04,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:14,0,0
18:16,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:05,0,0
19:07,0,0
19:09,0,0
19:12,0,0
19:14,0,0
19:17,0,0
19:19,0,0
19:21,0,0
19:24,0,0
19:26,0,0
19:29,0,0
19:31,0,0
19:34,0,0
19:36,0,0
19:38,0,0
19:41,0,0
19:44,0,0
19:46,0,0
19:50,0,0
19:54,0,0
19:57,0,0
20:00,0,0
20:02,0,0
20:06,0,0
20:09,0,0
20:13,0,0
20:16,0,0
20:18,0,0
20:21,0,0
20:24,0,0
20:27,0,0
20:31,0,0
20:35,0,0
20:39,0,0
20:42,0,0
20:47,0,0
20:51,0,0
20:58,0,0
21:04,0,0
21:11,0,0
21:17,0,0
21:23,0,0
21:30,0,0
21:36,0,0
21:43,0,0
21:49,0,0
21:56,0,0
22:02,0,0
22:09,0,0
22:15,0,0
22:22,0,0
22:28,0,0
22:35,0,0
22:42,0,0
22:49,0,0
22:57,0,0
23:05,0,0
23:13,0,0
23:20,0,0
23:27,0,0
23:34,0,0
23:41,0,0
