时间,是否始发站,是否终到站
05:22,0,0
05:34,0,0
05:41,0,0
05:49,0,0
05:57,0,0
06:03,0,0
06:10,0,0
06:15,0,0
06:21,0,0
06:26,0,0
06:32,0,0
06:38,0,0
06:43,0,0
06:47,0,0
06:51,0,0
06:56,0,0
07:00,0,0
07:03,0,0
07:07,0,0
07:10,0,0
07:14,0,0
07:17,0,0
07:19,0,0
07:22,0,0
07:25,0,0
07:27,0,0
07:30,0,0
07:32,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:59,0,0
08:01,0,0
08:04,0,0
08:06,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:28,0,0
08:30,0,0
08:33,0,0
08:35,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:45,0,0
08:47,0,0
08:50,0,0
08:52,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:04,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:14,0,0
09:16,0,0
09:19,0,0
09:21,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:31,0,0
09:33,0,0
09:36,0,0
09:38,0,0
09:41,0,0
09:43,0,0
09:46,0,0
09:49,0,0
09:52,0,0
09:55,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:07,0,0
10:10,0,0
10:13,0,0
10:17,0,0
10:20,0,0
10:24,0,0
10:28,0,0
10:33,0,0
10:39,0,0
10:42,0,0
10:49,0,0
10:55,0,0
11:01,0,0
11:08,0,0
11:14,0,0
11:20,0,0
11:27,0,0
11:33,0,0
11:40,0,0
11:46,0,0
11:53,0,0
11:59,0,0
12:05,0,0
12:12,0,0
12:18,0,0
12:25,0,0
12:31,0,0
12:38,0,0
12:44,0,0
12:51,0,0
12:57,0,0
13:03,0,0
13:10,0,0
13:16,0,0
13:23,0,0
13:29,0,0
13:36,0,0
13:42,0,0
13:48,0,0
13:55,0,0
14:01,0,0
14:08,0,0
14:14,0,0
14:21,0,0
14:27,0,0
14:33,0,0
14:40,0,0
14:46,0,0
14:53,0,0
14:59,0,0
15:06,0,0
15:12,0,0
15:18,0,0
15:25,0,0
15:31,0,0
15:38,0,0
15:44,0,0
15:51,0,0
15:57,0,0
16:04,0,0
16:10,0,0
16:16,0,0
16:23,0,0
16:29,0,0
16:36,0,0
16:39,0,0
16:43,0,0
16:47,0,0
16:49,0,0
16:53,0,0
16:56,0,0
16:59,0,0
17:01,0,0
17:05,0,0
17:08,0,0
17:11,0,0
17:13,0,0
17:17,0,0
17:20,0,0
17:22,0,0
17:25,0,0
17:28,0,0
17:30,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:14,0,0
18:16,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,0
19:12,0,0
19:14,0,0
19:17,0,0
19:19,0,0
19:21,0,0
19:24,0,0
19:26,0,0
19:29,0,0
19:31,0,0
19:34,0,0
19:36,0,0
19:39,0,0
19:43,0,0
19:47,0,0
19:50,0,0
19:52,0,0
19:55,0,0
19:59,0,0
20:01,0,0
20:05,0,0
20:08,0,0
20:11,0,0
20:14,0,0
20:17,0,0
20:20,0,0
20:23,0,0
20:27,0,0
20:31,0,0
20:35,0,0
20:39,0,0
20:44,0,0
20:50,0,0
20:57,0,0
21:03,0,0
21:10,0,0
21:16,0,0
21:22,0,0
21:29,0,0
21:35,0,0
21:42,0,0
21:48,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:14,0,0
22:21,0,0
22:28,0,0
22:35,0,0
22:42,0,0
22:49,0,0
22:57,0,0
23:05,0,0
23:12,0,0
23:20,0,0
23:27,0,0
23:34,0,0
