时间,是否始发站,是否终到站
05:28,0,0
05:40,0,0
05:47,0,0
05:55,0,0
06:02,0,0
06:09,0,0
06:15,0,0
06:21,0,0
06:26,0,0
06:32,0,0
06:38,0,0
06:44,0,0
06:48,0,0
06:53,0,0
06:57,0,0
07:01,0,0
07:06,0,0
07:08,0,0
07:12,0,0
07:16,0,0
07:19,0,0
07:23,0,0
07:25,0,0
07:28,0,0
07:30,0,0
07:33,0,0
07:35,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:45,0,0
07:47,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:57,0,0
07:59,0,0
08:02,0,0
08:04,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:14,0,0
08:16,0,0
08:19,0,0
08:21,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:31,0,0
08:33,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:43,0,0
08:45,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:55,0,0
08:57,0,0
09:00,0,0
09:02,0,0
09:05,0,0
09:07,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:17,0,0
09:19,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:29,0,0
09:31,0,0
09:34,0,0
09:36,0,0
09:39,0,0
09:41,0,0
09:43,0,0
09:46,0,0
09:49,0,0
09:51,0,0
09:54,0,0
09:57,0,0
10:00,0,0
10:03,0,0
10:06,0,0
10:09,0,0
10:12,0,0
10:15,0,0
10:18,0,0
10:22,0,0
10:26,0,0
10:30,0,0
10:34,0,0
10:39,0,0
10:44,0,0
10:48,0,0
10:54,0,0
11:01,0,0
11:07,0,0
11:13,0,0
11:20,0,0
11:26,0,0
11:32,0,0
11:39,0,0
11:45,0,0
11:52,0,0
11:58,0,0
12:05,0,0
12:11,0,0
12:17,0,0
12:24,0,0
12:30,0,0
12:37,0,0
12:43,0,0
12:50,0,0
12:56,0,0
13:02,0,0
13:09,0,0
13:15,0,0
13:22,0,0
13:28,0,0
13:35,0,0
13:41,0,0
13:48,0,0
13:54,0,0
14:00,0,0
14:07,0,0
14:13,0,0
14:20,0,0
14:26,0,0
14:33,0,0
14:39,0,0
14:45,0,0
14:52,0,0
14:58,0,0
15:05,0,0
15:11,0,0
15:18,0,0
15:24,0,0
15:30,0,0
15:37,0,0
15:43,0,0
15:50,0,0
15:56,0,0
16:03,0,0
16:09,0,0
16:15,0,0
16:22,0,0
16:28,0,0
16:35,0,0
16:41,0,0
16:45,0,0
16:48,0,0
16:52,0,0
16:54,0,0
16:58,0,0
17:01,0,0
17:04,0,0
17:07,0,0
17:10,0,0
17:13,0,0
17:16,0,0
17:19,0,0
17:22,0,0
17:25,0,0
17:28,0,0
17:30,0,0
17:33,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:43,0,0
17:45,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:55,0,0
17:57,0,0
18:00,0,0
18:02,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:12,0,0
18:14,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:41,0,0
18:43,0,0
18:46,0,0
18:48,0,0
18:50,0,0
18:53,0,0
18:55,0,0
18:58,0,0
19:00,0,0
19:03,0,0
19:05,0,0
19:07,0,0
19:10,0,0
19:12,0,0
19:15,0,0
19:17,0,0
19:19,0,0
19:22,0,0
19:24,0,0
19:27,0,0
19:29,0,0
19:32,0,0
19:34,0,0
19:36,0,0
19:39,0,0
19:42,0,0
19:44,0,0
19:48,0,0
19:52,0,0
19:55,0,0
19:58,0,0
20:00,0,0
20:04,0,0
20:07,0,0
20:11,0,0
20:14,0,0
20:16,0,0
20:19,0,0
20:22,0,0
20:25,0,0
20:29,0,0
20:33,0,0
20:37,0,0
20:40,0,0
20:45,0,0
20:49,0,0
20:56,0,0
21:02,0,0
21:09,0,0
21:15,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:41,0,0
21:47,0,0
21:54,0,0
22:00,0,0
22:07,0,0
22:13,0,0
22:20,0,0
22:26,0,0
22:33,0,0
22:40,0,0
22:47,0,0
22:55,0,0
23:03,0,0
23:11,0,0
23:18,0,0
23:25,0,0
23:32,0,0
23:39,0,0
