时间,是否始发站,是否终到站
05:06,0,0
05:13,0,0
05:21,0,0
05:28,0,0
05:35,0,0
05:41,0,0
05:47,0,0
05:52,0,0
05:58,0,0
06:04,0,0
06:10,0,0
06:14,0,0
06:19,0,0
06:23,0,0
06:27,0,0
06:32,0,0
06:35,0,0
06:39,0,0
06:43,0,0
06:46,0,0
06:49,0,0
06:52,0,0
06:55,0,0
06:57,0,0
07:00,0,0
07:02,0,0
07:04,0,0
07:07,0,0
07:09,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:19,0,0
07:21,0,0
07:24,0,0
07:26,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:36,0,0
07:38,0,0
07:41,0,0
07:43,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:53,0,0
07:55,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:05,0,0
08:07,0,0
08:10,0,0
08:12,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:22,0,0
08:24,0,0
08:27,0,0
08:29,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:39,0,0
08:41,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:51,0,0
08:53,0,0
08:56,0,0
08:58,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:08,0,0
09:10,0,0
09:13,0,0
09:15,0,0
09:18,0,0
09:21,0,0
09:24,0,0
09:27,0,0
09:30,0,0
09:33,0,0
09:36,0,0
09:39,0,0
09:42,0,0
09:45,0,0
09:49,0,0
09:53,0,0
09:57,0,0
10:01,0,0
10:06,0,0
10:11,0,0
10:14,0,0
10:20,0,0
10:26,0,0
10:33,0,0
10:39,0,0
10:45,0,0
10:52,0,0
10:58,0,0
11:05,0,0
11:11,0,0
11:18,0,0
11:24,0,0
11:30,0,0
11:37,0,0
11:43,0,0
11:50,0,0
11:56,0,0
12:03,0,0
12:09,0,0
12:15,0,0
12:22,0,0
12:28,0,0
12:35,0,0
12:41,0,0
12:48,0,0
12:54,0,0
13:01,0,0
13:07,0,0
13:13,0,0
13:20,0,0
13:26,0,0
13:33,0,0
13:39,0,0
13:46,0,0
13:52,0,0
13:58,0,0
14:05,0,0
14:11,0,0
14:18,0,0
14:24,0,0
14:31,0,0
14:37,0,0
14:43,0,0
14:50,0,0
14:56,0,0
15:03,0,0
15:09,0,0
15:16,0,0
15:22,0,0
15:28,0,0
15:35,0,0
15:41,0,0
15:48,0,0
15:54,0,0
16:01,0,0
16:04,0,0
16:11,0,0
16:14,0,0
16:18,0,0
16:21,0,0
16:25,0,0
16:28,0,0
16:31,0,0
16:33,0,0
16:37,0,0
16:40,0,0
16:43,0,0
16:46,0,0
16:49,0,0
16:52,0,0
16:55,0,0
16:57,0,0
17:00,0,0
17:02,0,0
17:05,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:15,0,0
17:17,0,0
17:19,0,0
17:22,0,0
17:24,0,0
17:27,0,0
17:29,0,0
17:31,0,0
17:34,0,0
17:36,0,0
17:39,0,0
17:41,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:03,0,0
18:05,0,0
18:08,0,0
18:10,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:32,0,0
18:34,0,0
18:37,0,0
18:39,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:49,0,0
18:51,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:01,0,0
19:03,0,0
19:06,0,0
19:09,0,0
19:11,0,0
19:14,0,0
19:18,0,0
19:21,0,0
19:24,0,0
19:26,0,0
19:30,0,0
19:33,0,0
19:37,0,0
19:40,0,0
19:42,0,0
19:45,0,0
19:48,0,0
19:51,0,0
19:55,0,0
19:59,0,0
20:03,0,0
20:06,0,0
20:11,0,0
20:15,0,0
20:22,0,0
20:28,0,0
20:35,0,0
20:41,0,0
20:47,0,0
20:54,0,0
21:00,0,0
21:07,0,0
21:13,0,0
21:20,0,0
21:26,0,0
21:32,0,0
21:39,0,0
21:46,0,0
21:52,0,0
21:59,0,0
22:06,0,0
22:13,0,0
22:21,0,0
22:29,0,0
22:37,0,0
22:44,0,0
22:51,0,0
22:58,0,0
23:05,0,0
