时间,是否始发站,是否终到站
05:41,0,0
05:47,0,0
05:53,0,0
05:59,0,0
06:04,0,0
06:08,0,0
06:13,0,0
06:17,0,0
06:22,0,0
06:26,0,0
06:30,0,0
06:34,0,0
06:38,0,0
06:42,0,0
06:46,0,0
06:50,0,0
06:55,0,0
06:59,0,0
07:04,0,0
07:08,0,0
07:12,0,0
07:16,0,0
07:20,0,0
07:23,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:32,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:43,0,0
09:46,0,0
09:48,0,0
09:50,0,0
09:52,0,0
09:54,0,0
09:57,0,0
09:59,0,0
10:01,0,0
10:04,0,0
10:07,0,0
10:11,0,0
10:15,0,0
10:19,0,0
10:23,0,0
10:27,0,0
10:31,0,0
10:35,0,0
10:39,0,0
10:43,0,0
10:48,0,0
10:53,0,0
10:58,0,0
11:03,0,0
11:08,0,0
11:13,0,0
11:18,0,0
11:24,0,0
11:30,0,0
11:36,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:18,0,0
12:24,0,0
12:30,0,0
12:36,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:18,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:42,0,0
13:48,0,0
13:54,0,0
14:00,0,0
14:06,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:30,0,0
14:36,0,0
14:42,0,0
14:48,0,0
14:54,0,0
15:00,0,0
15:06,0,0
15:12,0,0
15:18,0,0
15:24,0,0
15:30,0,0
15:36,0,0
15:42,0,0
15:48,0,0
15:54,0,0
16:00,0,0
16:04,0,0
16:09,0,0
16:13,0,0
16:18,0,0
16:22,0,0
16:26,0,0
16:31,0,0
16:35,0,0
16:39,0,0
16:43,0,0
16:47,0,0
16:51,0,0
16:55,0,0
17:00,0,0
17:04,0,0
17:08,0,0
17:11,0,0
17:13,0,0
17:16,0,0
17:18,0,0
17:20,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:16,0,0
19:18,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:26,0,0
19:28,0,0
19:31,0,0
19:34,0,0
19:38,0,0
19:41,0,0
19:45,0,0
19:48,0,0
19:52,0,0
19:55,0,0
19:59,0,0
20:02,0,0
20:06,0,0
20:09,0,0
20:13,0,0
20:16,0,0
20:20,0,0
20:23,0,0
20:27,0,0
20:30,0,0
20:34,0,0
20:37,0,0
20:41,0,0
20:45,0,0
20:50,0,0
20:54,0,0
20:59,0,0
21:04,0,0
21:09,0,0
21:14,0,0
21:20,0,0
21:26,0,0
21:32,0,0
21:39,0,0
21:45,0,0
21:51,0,0
21:57,0,0
22:03,0,0
22:10,0,0
22:17,0,0
22:24,0,0
22:31,0,0
22:38,0,0
22:45,0,0
22:52,0,0
23:00,0,0
23:08,0,0
23:16,0,0
23:24,0,0
23:32,0,0
