时间,是否始发站,是否终到站
05:48,0,0
05:54,0,0
06:00,0,0
06:05,0,0
06:10,0,0
06:15,0,0
06:19,0,0
06:23,0,0
06:28,0,0
06:32,0,0
06:36,0,0
06:40,0,0
06:44,0,0
06:48,0,0
06:52,0,0
06:57,0,0
07:01,0,0
07:06,0,0
07:10,0,0
07:14,0,0
07:19,0,0
07:23,0,0
07:26,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:32,0,0
09:34,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:43,0,0
09:45,0,0
09:48,0,0
09:50,0,0
09:52,0,0
09:54,0,0
09:56,0,0
09:59,0,0
10:01,0,0
10:03,0,0
10:05,0,0
10:07,0,0
10:10,0,0
10:14,0,0
10:17,0,0
10:21,0,0
10:25,0,0
10:29,0,0
10:33,0,0
10:37,0,0
10:41,0,0
10:45,0,0
10:49,0,0
10:54,0,0
10:59,0,0
11:04,0,0
11:09,0,0
11:14,0,0
11:19,0,0
11:25,0,0
11:31,0,0
11:37,0,0
11:43,0,0
11:49,0,0
11:55,0,0
12:01,0,0
12:07,0,0
12:13,0,0
12:19,0,0
12:25,0,0
12:31,0,0
12:37,0,0
12:43,0,0
12:49,0,0
12:55,0,0
13:01,0,0
13:07,0,0
13:13,0,0
13:19,0,0
13:25,0,0
13:31,0,0
13:37,0,0
13:43,0,0
13:49,0,0
13:55,0,0
14:01,0,0
14:07,0,0
14:13,0,0
14:19,0,0
14:25,0,0
14:31,0,0
14:37,0,0
14:43,0,0
14:49,0,0
14:55,0,0
15:01,0,0
15:07,0,0
15:13,0,0
15:19,0,0
15:25,0,0
15:31,0,0
15:37,0,0
15:43,0,0
15:49,0,0
15:55,0,0
16:01,0,0
16:06,0,0
16:11,0,0
16:15,0,0
16:20,0,0
16:24,0,0
16:28,0,0
16:33,0,0
16:37,0,0
16:41,0,0
16:45,0,0
16:49,0,0
16:53,0,0
16:57,0,0
17:02,0,0
17:06,0,0
17:10,0,0
17:14,0,0
17:18,0,0
17:20,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:57,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:48,0,0
18:51,0,0
18:53,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:16,0,0
19:18,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:26,0,0
19:28,0,0
19:30,0,0
19:33,0,0
19:35,0,0
19:37,0,0
19:41,0,0
19:44,0,0
19:48,0,0
19:51,0,0
19:55,0,0
19:58,0,0
20:02,0,0
20:05,0,0
20:09,0,0
20:12,0,0
20:16,0,0
20:19,0,0
20:23,0,0
20:26,0,0
20:30,0,0
20:33,0,0
20:37,0,0
20:40,0,0
20:44,0,0
20:47,0,0
20:52,0,0
20:56,0,0
21:01,0,0
21:05,0,0
21:10,0,0
21:15,0,0
21:20,0,0
21:26,0,0
21:32,0,0
21:39,0,0
21:44,0,0
21:51,0,0
21:57,0,0
22:03,0,0
22:10,0,0
22:17,0,0
22:23,0,0
22:31,0,0
22:38,0,0
22:44,0,0
22:51,0,0
22:59,0,0
23:07,0,0
23:15,0,0
23:23,0,0
23:31,0,0
23:39,0,0
