时间,是否始发站,是否终到站
05:46,0,0
05:52,0,0
05:58,0,0
06:03,0,0
06:08,0,0
06:13,0,0
06:17,0,0
06:21,0,0
06:26,0,0
06:30,0,0
06:34,0,0
06:38,0,0
06:42,0,0
06:46,0,0
06:50,0,0
06:55,0,0
06:59,0,0
07:03,0,0
07:08,0,0
07:12,0,0
07:17,0,0
07:21,0,0
07:24,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:32,0,0
09:34,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:43,0,0
09:45,0,0
09:48,0,0
09:50,0,0
09:52,0,0
09:54,0,0
09:56,0,0
09:59,0,0
10:01,0,0
10:03,0,0
10:05,0,0
10:08,0,0
10:12,0,0
10:15,0,0
10:19,0,0
10:23,0,0
10:27,0,0
10:31,0,0
10:35,0,0
10:39,0,0
10:43,0,0
10:47,0,0
10:52,0,0
10:57,0,0
11:02,0,0
11:07,0,0
11:12,0,0
11:17,0,0
11:23,0,0
11:29,0,0
11:35,0,0
11:41,0,0
11:47,0,0
11:53,0,0
11:59,0,0
12:05,0,0
12:11,0,0
12:17,0,0
12:23,0,0
12:29,0,0
12:35,0,0
12:41,0,0
12:47,0,0
12:53,0,0
12:59,0,0
13:05,0,0
13:11,0,0
13:17,0,0
13:23,0,0
13:29,0,0
13:35,0,0
13:41,0,0
13:47,0,0
13:53,0,0
13:59,0,0
14:05,0,0
14:11,0,0
14:17,0,0
14:23,0,0
14:29,0,0
14:36,0,0
14:41,0,0
14:47,0,0
14:53,0,0
14:59,0,0
15:05,0,0
15:11,0,0
15:17,0,0
15:23,0,0
15:29,0,0
15:35,0,0
15:41,0,0
15:47,0,0
15:53,0,0
15:59,0,0
16:04,0,0
16:09,0,0
16:13,0,0
16:18,0,0
16:22,0,0
16:26,0,0
16:31,0,0
16:35,0,0
16:39,0,0
16:43,0,0
16:47,0,0
16:51,0,0
16:55,0,0
17:00,0,0
17:04,0,0
17:08,0,0
17:12,0,0
17:15,0,0
17:18,0,0
17:20,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:16,0,0
19:18,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:26,0,0
19:28,0,0
19:31,0,0
19:33,0,0
19:35,0,0
19:39,0,0
19:42,0,0
19:46,0,0
19:49,0,0
19:53,0,0
19:56,0,0
20:00,0,0
20:03,0,0
20:07,0,0
20:10,0,0
20:14,0,0
20:17,0,0
20:21,0,0
20:24,0,0
20:28,0,0
20:31,0,0
20:35,0,0
20:38,0,0
20:42,0,0
20:45,0,0
20:50,0,0
20:54,0,0
20:59,0,0
21:03,0,0
21:08,0,0
21:13,0,0
21:18,0,0
21:24,0,0
21:30,0,0
21:37,0,0
21:43,0,0
21:49,0,0
21:55,0,0
22:01,0,0
22:08,0,0
22:15,0,0
22:21,0,0
22:29,0,0
22:36,0,0
22:42,0,0
22:49,0,0
22:57,0,0
23:05,0,0
23:13,0,0
23:21,0,0
23:29,0,0
23:37,0,0
