时间,是否始发站,是否终到站
05:55,0,0
06:01,0,0
06:07,0,0
06:12,0,0
06:17,0,0
06:22,0,0
06:26,0,0
06:31,0,0
06:35,0,0
06:39,0,0
06:43,0,0
06:47,0,0
06:51,0,0
06:55,0,0
07:00,0,0
07:04,0,0
07:08,0,0
07:13,0,0
07:17,0,0
07:21,0,0
07:26,0,0
07:30,0,0
07:33,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:42,0,0
09:44,0,0
09:46,0,0
09:48,0,0
09:50,0,0
09:53,0,0
09:55,0,0
09:57,0,0
09:59,0,0
10:01,0,0
10:04,0,0
10:06,0,0
10:08,0,0
10:10,0,0
10:12,0,0
10:15,0,0
10:18,0,0
10:21,0,0
10:25,0,0
10:29,0,0
10:33,0,0
10:37,0,0
10:41,0,0
10:45,0,0
10:49,0,0
10:53,0,0
10:57,0,0
11:02,0,0
11:07,0,0
11:12,0,0
11:17,0,0
11:22,0,0
11:27,0,0
11:32,0,0
11:38,0,0
11:44,0,0
11:50,0,0
11:56,0,0
12:02,0,0
12:08,0,0
12:14,0,0
12:20,0,0
12:26,0,0
12:32,0,0
12:38,0,0
12:44,0,0
12:50,0,0
12:56,0,0
13:02,0,0
13:08,0,0
13:14,0,0
13:20,0,0
13:26,0,0
13:32,0,0
13:38,0,0
13:44,0,0
13:50,0,0
13:56,0,0
14:02,0,0
14:08,0,0
14:14,0,0
14:20,0,0
14:26,0,0
14:32,0,0
14:38,0,0
14:44,0,0
14:50,0,0
14:56,0,0
15:02,0,0
15:08,0,0
15:14,0,0
15:20,0,0
15:26,0,0
15:32,0,0
15:38,0,0
15:44,0,0
15:50,0,0
15:56,0,0
16:02,0,0
16:08,0,0
16:13,0,0
16:18,0,0
16:22,0,0
16:27,0,0
16:31,0,0
16:36,0,0
16:40,0,0
16:44,0,0
16:48,0,0
16:52,0,0
16:56,0,0
17:00,0,0
17:05,0,0
17:09,0,0
17:13,0,0
17:18,0,0
17:22,0,0
17:25,0,0
17:27,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:39,0,0
17:41,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:13,0,0
19:15,0,0
19:17,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:26,0,0
19:28,0,0
19:30,0,0
19:32,0,0
19:34,0,0
19:36,0,0
19:38,0,0
19:40,0,0
19:42,0,0
19:44,0,0
19:48,0,0
19:51,0,0
19:55,0,0
19:58,0,0
20:02,0,0
20:05,0,0
20:09,0,0
20:12,0,0
20:16,0,0
20:19,0,0
20:23,0,0
20:26,0,0
20:30,0,0
20:33,0,0
20:37,0,0
20:40,0,0
20:44,0,0
20:47,0,0
20:51,0,0
20:54,0,0
20:59,0,0
21:03,0,0
21:08,0,0
21:12,0,0
21:17,0,0
21:22,0,0
21:28,0,0
21:33,0,0
21:39,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:11,0,0
22:17,0,0
22:24,0,0
22:30,0,0
22:38,0,0
22:45,0,0
22:51,0,0
22:58,0,0
23:06,0,0
23:14,0,0
23:22,0,0
23:30,0,0
23:38,0,0
23:46,0,0
