时间,是否始发站,是否终到站
05:27,0,0
05:33,0,0
05:39,0,0
05:44,0,0
05:49,0,0
05:54,0,0
05:58,0,0
06:03,0,0
06:07,0,0
06:11,0,0
06:15,0,0
06:19,0,0
06:23,0,0
06:27,0,0
06:32,0,0
06:36,0,0
06:40,0,0
06:45,0,0
06:49,0,0
06:53,0,0
06:58,0,0
07:02,0,0
07:05,0,0
07:08,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:19,0,0
07:21,0,0
07:23,0,0
07:25,0,0
07:27,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:36,0,0
07:38,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:38,0,0
09:40,0,0
09:42,0,0
09:44,0,0
09:46,0,0
09:49,0,0
09:53,0,0
09:56,0,0
10:00,0,0
10:04,0,0
10:08,0,0
10:12,0,0
10:16,0,0
10:20,0,0
10:24,0,0
10:28,0,0
10:33,0,0
10:38,0,0
10:43,0,0
10:48,0,0
10:53,0,0
10:58,0,0
11:04,0,0
11:10,0,0
11:16,0,0
11:22,0,0
11:28,0,0
11:34,0,0
11:40,0,0
11:46,0,0
11:52,0,0
11:58,0,0
12:04,0,0
12:10,0,0
12:16,0,0
12:22,0,0
12:28,0,0
12:34,0,0
12:40,0,0
12:46,0,0
12:52,0,0
12:58,0,0
13:04,0,0
13:10,0,0
13:16,0,0
13:22,0,0
13:28,0,0
13:34,0,0
13:40,0,0
13:46,0,0
13:52,0,0
13:58,0,0
14:04,0,0
14:10,0,0
14:16,0,0
14:22,0,0
14:28,0,0
14:34,0,0
14:40,0,0
14:46,0,0
14:52,0,0
14:58,0,0
15:04,0,0
15:10,0,0
15:16,0,0
15:22,0,0
15:28,0,0
15:34,0,0
15:40,0,0
15:45,0,0
15:50,0,0
15:54,0,0
15:59,0,0
16:03,0,0
16:08,0,0
16:12,0,0
16:16,0,0
16:20,0,0
16:24,0,0
16:28,0,0
16:32,0,0
16:37,0,0
16:41,0,0
16:45,0,0
16:50,0,0
16:54,0,0
16:57,0,0
16:59,0,0
17:01,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:09,0,0
17:11,0,0
17:13,0,0
17:15,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:23,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:37,0,0
17:39,0,0
17:41,0,0
17:43,0,0
17:45,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:16,0,0
19:20,0,0
19:23,0,0
19:27,0,0
19:30,0,0
19:34,0,0
19:37,0,0
19:41,0,0
19:44,0,0
19:48,0,0
19:51,0,0
19:55,0,0
19:58,0,0
20:02,0,0
20:05,0,0
20:09,0,0
20:12,0,0
20:16,0,0
20:19,0,0
20:23,0,0
20:26,0,0
20:31,0,0
20:35,0,0
20:40,0,0
20:44,0,0
20:49,0,0
20:54,0,0
21:00,0,0
21:05,0,0
21:11,0,0
21:18,0,0
21:24,0,0
21:30,0,0
21:36,0,0
21:43,0,0
21:49,0,0
21:56,0,0
22:02,0,0
22:10,0,0
22:17,0,0
22:23,0,0
22:30,0,0
22:38,0,0
22:46,0,0
22:54,0,0
23:02,0,0
23:10,0,0
23:18,0,0
