时间,是否始发站,是否终到站
06:08,0,0
06:14,0,0
06:20,0,0
06:26,0,0
06:31,0,0
06:35,0,0
06:40,0,0
06:44,0,0
06:49,0,0
06:53,0,0
06:57,0,0
07:01,0,0
07:05,0,0
07:09,0,0
07:13,0,0
07:18,0,0
07:22,0,0
07:26,0,0
07:31,0,0
07:35,0,0
07:39,0,0
07:43,0,0
07:47,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:32,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:40,0,0
09:42,0,0
09:44,0,0
09:46,0,0
09:48,0,0
09:51,0,0
09:53,0,0
09:55,0,0
09:57,0,0
09:59,0,0
10:02,0,0
10:04,0,0
10:06,0,0
10:08,0,0
10:10,0,0
10:13,0,0
10:15,0,0
10:17,0,0
10:19,0,0
10:21,0,0
10:24,0,0
10:26,0,0
10:28,0,0
10:31,0,0
10:35,0,0
10:38,0,0
10:42,0,0
10:46,0,0
10:50,0,0
10:54,0,0
10:58,0,0
11:02,0,0
11:06,0,0
11:10,0,0
11:15,0,0
11:20,0,0
11:25,0,0
11:30,0,0
11:35,0,0
11:40,0,0
11:46,0,0
11:52,0,0
11:58,0,0
12:04,0,0
12:10,0,0
12:16,0,0
12:22,0,0
12:28,0,0
12:34,0,0
12:40,0,0
12:46,0,0
12:52,0,0
12:58,0,0
13:04,0,0
13:10,0,0
13:16,0,0
13:22,0,0
13:28,0,0
13:34,0,0
13:40,0,0
13:46,0,0
13:52,0,0
13:58,0,0
14:04,0,0
14:10,0,0
14:16,0,0
14:22,0,0
14:28,0,0
14:34,0,0
14:40,0,0
14:46,0,0
14:52,0,0
14:58,0,0
15:04,0,0
15:10,0,0
15:16,0,0
15:22,0,0
15:28,0,0
15:34,0,0
15:40,0,0
15:46,0,0
15:52,0,0
15:58,0,0
16:04,0,0
16:10,0,0
16:16,0,0
16:22,0,0
16:27,0,0
16:32,0,0
16:36,0,0
16:40,0,0
16:45,0,0
16:49,0,0
16:54,0,0
16:58,0,0
17:02,0,0
17:06,0,0
17:10,0,0
17:14,0,0
17:18,0,0
17:23,0,0
17:27,0,0
17:31,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:20,0,0
18:23,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:01,0,0
19:03,0,0
19:05,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:14,0,0
19:16,0,0
19:18,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:27,0,0
19:29,0,0
19:31,0,0
19:33,0,0
19:35,0,0
19:37,0,0
19:39,0,0
19:41,0,0
19:43,0,0
19:45,0,0
19:47,0,0
19:49,0,0
19:51,0,0
19:53,0,0
19:56,0,0
19:58,0,0
20:01,0,0
20:05,0,0
20:08,0,0
20:12,0,0
20:15,0,0
20:19,0,0
20:22,0,0
20:26,0,0
20:29,0,0
20:33,0,0
20:36,0,0
20:40,0,0
20:43,0,0
20:47,0,0
20:50,0,0
20:54,0,0
20:57,0,0
21:01,0,0
21:04,0,0
21:08,0,0
21:12,0,0
21:17,0,0
21:21,0,0
21:26,0,0
21:31,0,0
21:36,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:06,0,0
22:12,0,0
22:18,0,0
22:24,0,0
22:31,0,0
22:38,0,0
22:44,0,0
22:51,0,0
22:58,0,0
23:05,0,0
23:12,0,0
23:19,0,0
23:27,0,0
23:35,0,0
23:43,0,0
23:51,0,0
23:59,0,0
