时间,是否始发站,是否终到站
05:19,1,0
05:25,1,0
05:31,1,0
05:36,1,0
05:42,1,0
05:46,1,0
05:50,1,0
05:55,1,0
05:59,1,0
06:03,1,0
06:07,1,0
06:11,1,0
06:15,1,0
06:19,1,0
06:24,1,0
06:28,1,0
06:32,1,0
06:37,1,0
06:41,1,0
06:46,1,0
06:50,1,0
06:54,1,0
06:57,1,0
07:00,1,0
07:02,1,0
07:04,1,0
07:06,1,0
07:08,1,0
07:11,1,0
07:13,1,0
07:15,1,0
07:17,1,0
07:19,1,0
07:22,1,0
07:24,1,0
07:26,1,0
07:28,1,0
07:30,1,0
07:33,1,0
07:35,1,0
07:37,1,0
07:39,1,0
07:41,1,0
07:44,1,0
07:46,1,0
07:48,1,0
07:50,1,0
07:52,1,0
07:54,1,0
07:56,1,0
07:58,1,0
08:00,1,0
08:02,1,0
08:04,1,0
08:06,1,0
08:08,1,0
08:10,1,0
08:13,1,0
08:15,1,0
08:17,1,0
08:19,1,0
08:21,1,0
08:23,1,0
08:26,1,0
08:28,1,0
08:30,1,0
08:32,1,0
08:34,1,0
08:37,1,0
08:39,1,0
08:41,1,0
08:43,1,0
08:45,1,0
08:47,1,0
08:49,1,0
08:51,1,0
08:53,1,0
08:55,1,0
08:57,1,0
08:59,1,0
09:01,1,0
09:03,1,0
09:06,1,0
09:08,1,0
09:10,1,0
09:12,1,0
09:14,1,0
09:17,1,0
09:19,1,0
09:21,1,0
09:23,1,0
09:25,1,0
09:28,1,0
09:30,1,0
09:32,1,0
09:34,1,0
09:36,1,0
09:39,1,0
09:42,1,0
09:45,1,0
09:49,1,0
09:53,1,0
09:57,1,0
10:01,1,0
10:05,1,0
10:09,1,0
10:13,1,0
10:17,1,0
10:21,1,0
10:26,1,0
10:31,1,0
10:36,1,0
10:41,1,0
10:46,1,0
10:51,1,0
10:56,1,0
11:02,1,0
11:08,1,0
11:14,1,0
11:20,1,0
11:26,1,0
11:32,1,0
11:38,1,0
11:44,1,0
11:50,1,0
11:56,1,0
12:02,1,0
12:08,1,0
12:14,1,0
12:20,1,0
12:26,1,0
12:32,1,0
12:38,1,0
12:44,1,0
12:50,1,0
12:56,1,0
13:02,1,0
13:08,1,0
13:14,1,0
13:20,1,0
13:26,1,0
13:32,1,0
13:38,1,0
13:44,1,0
13:50,1,0
13:56,1,0
14:02,1,0
14:08,1,0
14:14,1,0
14:20,1,0
14:26,1,0
14:32,1,0
14:38,1,0
14:44,1,0
14:50,1,0
14:56,1,0
15:02,1,0
15:08,1,0
15:14,1,0
15:20,1,0
15:26,1,0
15:32,1,0
15:38,1,0
15:42,1,0
15:46,1,0
15:51,1,0
15:55,1,0
16:00,1,0
16:03,1,0
16:08,1,0
16:12,1,0
16:16,1,0
16:20,1,0
16:24,1,0
16:29,1,0
16:33,1,0
16:37,1,0
16:42,1,0
16:46,1,0
16:49,1,0
16:51,1,0
16:53,1,0
16:55,1,0
16:57,1,0
16:59,1,0
17:01,1,0
17:03,1,0
17:05,1,0
17:07,1,0
17:09,1,0
17:11,1,0
17:13,1,0
17:16,1,0
17:18,1,0
17:20,1,0
17:22,1,0
17:24,1,0
17:27,1,0
17:29,1,0
17:31,1,0
17:33,1,0
17:35,1,0
17:38,1,0
17:40,1,0
17:42,1,0
17:44,1,0
17:46,1,0
17:49,1,0
17:51,1,0
17:53,1,0
17:55,1,0
17:57,1,0
17:59,1,0
18:01,1,0
18:03,1,0
18:05,1,0
18:07,1,0
18:09,1,0
18:11,1,0
18:13,1,0
18:15,1,0
18:18,1,0
18:20,1,0
18:22,1,0
18:24,1,0
18:26,1,0
18:28,1,0
18:31,1,0
18:33,1,0
18:35,1,0
18:37,1,0
18:39,1,0
18:42,1,0
18:44,1,0
18:46,1,0
18:48,1,0
18:50,1,0
18:52,1,0
18:54,1,0
18:56,1,0
18:58,1,0
19:00,1,0
19:02,1,0
19:04,1,0
19:06,1,0
19:08,1,0
19:12,1,0
19:15,1,0
19:19,1,0
19:22,1,0
19:26,1,0
19:29,1,0
19:33,1,0
19:36,1,0
19:40,1,0
19:43,1,0
19:47,1,0
19:50,1,0
19:54,1,0
19:57,1,0
20:01,1,0
20:04,1,0
20:08,1,0
20:11,1,0
20:15,1,0
20:18,1,0
20:23,1,0
20:27,1,0
20:32,1,0
20:36,1,0
20:41,1,0
20:46,1,0
20:52,1,0
20:58,1,0
21:04,1,0
21:10,1,0
21:16,1,0
21:23,1,0
21:28,1,0
21:35,1,0
21:41,1,0
21:48,1,0
21:55,1,0
22:02,1,0
22:09,1,0
22:15,1,0
22:22,1,0
22:30,1,0
22:38,1,0
22:46,1,0
22:54,1,0
23:02,1,0
23:10,1,0
