时间,是否始发站,是否终到站
05:50,0,0
05:56,0,0
06:02,0,0
06:07,0,0
06:12,0,0
06:17,0,0
06:21,0,0
06:25,0,0
06:30,0,0
06:34,0,0
06:38,0,0
06:42,0,0
06:46,0,0
06:50,0,0
06:54,0,0
06:59,0,0
07:03,0,0
07:08,0,0
07:12,0,0
07:16,0,0
07:21,0,0
07:25,0,0
07:28,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:30,0,0
09:32,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:41,0,0
09:43,0,0
09:45,0,0
09:47,0,0
09:49,0,0
09:52,0,0
09:54,0,0
09:56,0,0
09:58,0,0
10:00,0,0
10:03,0,0
10:05,0,0
10:07,0,0
10:09,0,0
10:12,0,0
10:16,0,0
10:19,0,0
10:23,0,0
10:27,0,0
10:31,0,0
10:35,0,0
10:39,0,0
10:43,0,0
10:47,0,0
10:51,0,0
10:56,0,0
11:01,0,0
11:06,0,0
11:11,0,0
11:16,0,0
11:21,0,0
11:27,0,0
11:33,0,0
11:39,0,0
11:45,0,0
11:51,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:15,0,0
12:21,0,0
12:27,0,0
12:33,0,0
12:39,0,0
12:45,0,0
12:51,0,0
12:57,0,0
13:03,0,0
13:09,0,0
13:15,0,0
13:21,0,0
13:27,0,0
13:33,0,0
13:39,0,0
13:45,0,0
13:51,0,0
13:57,0,0
14:03,0,0
14:09,0,0
14:15,0,0
14:21,0,0
14:27,0,0
14:33,0,0
14:39,0,0
14:45,0,0
14:51,0,0
14:57,0,0
15:03,0,0
15:09,0,0
15:15,0,0
15:21,0,0
15:27,0,0
15:33,0,0
15:39,0,0
15:45,0,0
15:51,0,0
15:57,0,0
16:03,0,0
16:08,0,0
16:13,0,0
16:17,0,0
16:22,0,0
16:26,0,0
16:30,0,0
16:35,0,0
16:39,0,0
16:43,0,0
16:47,0,0
16:51,0,0
16:55,0,0
16:59,0,0
17:04,0,0
17:08,0,0
17:12,0,0
17:16,0,0
17:20,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:57,0,0
17:59,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:48,0,0
18:50,0,0
18:53,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:01,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:16,0,0
19:18,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:26,0,0
19:28,0,0
19:30,0,0
19:32,0,0
19:35,0,0
19:37,0,0
19:39,0,0
19:43,0,0
19:46,0,0
19:50,0,0
19:53,0,0
19:57,0,0
20:00,0,0
20:04,0,0
20:07,0,0
20:11,0,0
20:14,0,0
20:18,0,0
20:21,0,0
20:25,0,0
20:28,0,0
20:32,0,0
20:35,0,0
20:39,0,0
20:42,0,0
20:46,0,0
20:49,0,0
20:54,0,0
20:58,0,0
21:03,0,0
21:07,0,0
21:12,0,0
21:17,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:41,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:12,0,0
22:19,0,0
22:25,0,0
22:33,0,0
22:40,0,0
22:46,0,0
22:53,0,0
23:01,0,0
23:09,0,0
23:17,0,0
23:25,0,0
23:33,0,0
23:41,0,0
