时间,是否始发站,是否终到站
06:01,0,0
06:07,0,0
06:13,0,0
06:18,0,0
06:24,0,0
06:28,0,0
06:32,0,0
06:37,0,0
06:41,0,0
06:45,0,0
06:49,0,0
06:53,0,0
06:57,0,0
07:01,0,0
07:06,0,0
07:10,0,0
07:15,0,0
07:19,0,0
07:23,0,0
07:28,0,0
07:32,0,0
07:36,0,0
07:40,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:43,0,0
09:45,0,0
09:48,0,0
09:50,0,0
09:52,0,0
09:54,0,0
09:56,0,0
09:59,0,0
10:01,0,0
10:03,0,0
10:05,0,0
10:07,0,0
10:10,0,0
10:12,0,0
10:14,0,0
10:16,0,0
10:18,0,0
10:21,0,0
10:24,0,0
10:27,0,0
10:31,0,0
10:35,0,0
10:39,0,0
10:43,0,0
10:47,0,0
10:51,0,0
10:55,0,0
10:59,0,0
11:03,0,0
11:08,0,0
11:13,0,0
11:18,0,0
11:23,0,0
11:28,0,0
11:33,0,0
11:38,0,0
11:44,0,0
11:50,0,0
11:56,0,0
12:02,0,0
12:08,0,0
12:14,0,0
12:20,0,0
12:26,0,0
12:32,0,0
12:38,0,0
12:44,0,0
12:50,0,0
12:56,0,0
13:02,0,0
13:08,0,0
13:14,0,0
13:20,0,0
13:26,0,0
13:32,0,0
13:38,0,0
13:44,0,0
13:50,0,0
13:56,0,0
14:02,0,0
14:08,0,0
14:14,0,0
14:20,0,0
14:26,0,0
14:32,0,0
14:38,0,0
14:44,0,0
14:50,0,0
14:56,0,0
15:02,0,0
15:08,0,0
15:14,0,0
15:20,0,0
15:26,0,0
15:32,0,0
15:38,0,0
15:44,0,0
15:50,0,0
15:56,0,0
16:02,0,0
16:08,0,0
16:14,0,0
16:20,0,0
16:24,0,0
16:29,0,0
16:33,0,0
16:37,0,0
16:42,0,0
16:46,0,0
16:50,0,0
16:54,0,0
16:58,0,0
17:02,0,0
17:06,0,0
17:11,0,0
17:15,0,0
17:20,0,0
17:24,0,0
17:28,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:39,0,0
17:41,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:11,0,0
19:13,0,0
19:15,0,0
19:17,0,0
19:19,0,0
19:21,0,0
19:24,0,0
19:26,0,0
19:28,0,0
19:30,0,0
19:32,0,0
19:34,0,0
19:36,0,0
19:38,0,0
19:40,0,0
19:42,0,0
19:44,0,0
19:46,0,0
19:48,0,0
19:50,0,0
19:54,0,0
19:57,0,0
20:01,0,0
20:04,0,0
20:08,0,0
20:11,0,0
20:15,0,0
20:18,0,0
20:22,0,0
20:25,0,0
20:29,0,0
20:32,0,0
20:36,0,0
20:39,0,0
20:43,0,0
20:46,0,0
20:50,0,0
20:53,0,0
20:57,0,0
21:00,0,0
21:05,0,0
21:09,0,0
21:14,0,0
21:18,0,0
21:23,0,0
21:28,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:05,0,0
22:10,0,0
22:17,0,0
22:23,0,0
22:30,0,0
22:37,0,0
22:44,0,0
22:51,0,0
22:58,0,0
23:05,0,0
23:12,0,0
23:20,0,0
23:28,0,0
23:36,0,0
23:44,0,0
23:52,0,0
