时间,是否始发站,是否终到站
05:24,0,0
05:30,0,0
05:36,0,0
05:41,0,0
05:46,0,0
05:51,0,0
05:55,0,0
06:00,0,0
06:04,0,0
06:08,0,0
06:12,0,0
06:16,0,0
06:20,0,0
06:24,0,0
06:29,0,0
06:33,0,0
06:37,0,0
06:42,0,0
06:46,0,0
06:50,0,0
06:55,0,0
06:59,0,0
07:02,0,0
07:05,0,0
07:07,0,0
07:09,0,0
07:11,0,0
07:13,0,0
07:16,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:44,0,0
09:47,0,0
09:50,0,0
09:54,0,0
09:58,0,0
10:02,0,0
10:06,0,0
10:10,0,0
10:14,0,0
10:18,0,0
10:22,0,0
10:26,0,0
10:31,0,0
10:36,0,0
10:41,0,0
10:46,0,0
10:51,0,0
10:56,0,0
11:01,0,0
11:07,0,0
11:13,0,0
11:19,0,0
11:25,0,0
11:31,0,0
11:37,0,0
11:43,0,0
11:49,0,0
11:55,0,0
12:01,0,0
12:07,0,0
12:13,0,0
12:19,0,0
12:25,0,0
12:31,0,0
12:37,0,0
12:43,0,0
12:49,0,0
12:55,0,0
13:01,0,0
13:07,0,0
13:13,0,0
13:19,0,0
13:25,0,0
13:31,0,0
13:37,0,0
13:43,0,0
13:49,0,0
13:55,0,0
14:01,0,0
14:07,0,0
14:13,0,0
14:19,0,0
14:25,0,0
14:31,0,0
14:37,0,0
14:43,0,0
14:49,0,0
14:55,0,0
15:01,0,0
15:07,0,0
15:13,0,0
15:19,0,0
15:25,0,0
15:31,0,0
15:37,0,0
15:42,0,0
15:47,0,0
15:51,0,0
15:56,0,0
16:00,0,0
16:05,0,0
16:09,0,0
16:13,0,0
16:17,0,0
16:21,0,0
16:25,0,0
16:29,0,0
16:34,0,0
16:38,0,0
16:42,0,0
16:47,0,0
16:51,0,0
16:54,0,0
16:56,0,0
16:58,0,0
17:00,0,0
17:02,0,0
17:04,0,0
17:06,0,0
17:08,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:16,0,0
17:18,0,0
17:20,0,0
17:23,0,0
17:25,0,0
17:27,0,0
17:29,0,0
17:31,0,0
17:34,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:33,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:01,0,0
19:03,0,0
19:05,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:13,0,0
19:17,0,0
19:20,0,0
19:24,0,0
19:27,0,0
19:31,0,0
19:34,0,0
19:38,0,0
19:41,0,0
19:45,0,0
19:48,0,0
19:52,0,0
19:55,0,0
19:59,0,0
20:02,0,0
20:06,0,0
20:09,0,0
20:13,0,0
20:16,0,0
20:20,0,0
20:23,0,0
20:28,0,0
20:32,0,0
20:37,0,0
20:41,0,0
20:46,0,0
20:51,0,0
20:57,0,0
21:02,0,0
21:08,0,0
21:15,0,0
21:21,0,0
21:27,0,0
21:33,0,0
21:40,0,0
21:46,0,0
21:53,0,0
21:59,0,0
22:07,0,0
22:14,0,0
22:20,0,0
22:27,0,0
22:35,0,0
22:43,0,0
22:51,0,0
22:59,0,0
23:07,0,0
23:15,0,0
