时间,是否始发站,是否终到站
05:43,0,0
05:49,0,0
05:55,0,0
06:00,0,0
06:06,0,0
06:10,0,0
06:15,0,0
06:19,0,0
06:23,0,0
06:28,0,0
06:32,0,0
06:36,0,0
06:40,0,0
06:44,0,0
06:48,0,0
06:52,0,0
06:57,0,0
07:01,0,0
07:05,0,0
07:10,0,0
07:14,0,0
07:18,0,0
07:22,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:28,0,0
09:30,0,0
09:32,0,0
09:34,0,0
09:36,0,0
09:39,0,0
09:41,0,0
09:43,0,0
09:45,0,0
09:47,0,0
09:50,0,0
09:52,0,0
09:54,0,0
09:56,0,0
09:58,0,0
10:01,0,0
10:03,0,0
10:06,0,0
10:09,0,0
10:13,0,0
10:17,0,0
10:21,0,0
10:25,0,0
10:29,0,0
10:33,0,0
10:37,0,0
10:41,0,0
10:45,0,0
10:50,0,0
10:55,0,0
11:00,0,0
11:05,0,0
11:10,0,0
11:15,0,0
11:20,0,0
11:26,0,0
11:32,0,0
11:38,0,0
11:44,0,0
11:50,0,0
11:56,0,0
12:02,0,0
12:08,0,0
12:14,0,0
12:20,0,0
12:26,0,0
12:32,0,0
12:38,0,0
12:44,0,0
12:50,0,0
12:56,0,0
13:02,0,0
13:08,0,0
13:14,0,0
13:20,0,0
13:26,0,0
13:32,0,0
13:38,0,0
13:44,0,0
13:50,0,0
13:56,0,0
14:02,0,0
14:08,0,0
14:14,0,0
14:20,0,0
14:26,0,0
14:32,0,0
14:38,0,0
14:44,0,0
14:50,0,0
14:56,0,0
15:02,0,0
15:08,0,0
15:14,0,0
15:20,0,0
15:26,0,0
15:32,0,0
15:38,0,0
15:44,0,0
15:50,0,0
15:56,0,0
16:02,0,0
16:06,0,0
16:11,0,0
16:15,0,0
16:20,0,0
16:24,0,0
16:28,0,0
16:33,0,0
16:37,0,0
16:41,0,0
16:45,0,0
16:49,0,0
16:53,0,0
16:57,0,0
17:02,0,0
17:06,0,0
17:10,0,0
17:13,0,0
17:15,0,0
17:17,0,0
17:20,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:57,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:37,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:48,0,0
18:50,0,0
18:53,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:01,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:16,0,0
19:18,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:26,0,0
19:28,0,0
19:30,0,0
19:33,0,0
19:36,0,0
19:40,0,0
19:43,0,0
19:47,0,0
19:50,0,0
19:54,0,0
19:57,0,0
20:01,0,0
20:04,0,0
20:08,0,0
20:11,0,0
20:15,0,0
20:18,0,0
20:22,0,0
20:25,0,0
20:29,0,0
20:32,0,0
20:36,0,0
20:39,0,0
20:43,0,0
20:47,0,0
20:52,0,0
20:56,0,0
21:01,0,0
21:06,0,0
21:11,0,0
21:16,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:40,0,0
21:47,0,0
21:53,0,0
21:59,0,0
22:05,0,0
22:12,0,0
22:19,0,0
22:26,0,0
22:33,0,0
22:40,0,0
22:47,0,0
22:54,0,0
23:02,0,0
23:10,0,0
23:18,0,0
23:26,0,0
23:34,0,0
