时间,是否始发站,是否终到站
05:11,0,0
05:15,0,0
05:19,0,0
05:23,0,0
05:27,0,0
05:31,0,0
05:35,0,0
05:39,0,0
05:44,0,0
05:48,0,0
05:53,0,0
05:57,0,0
06:01,0,0
06:05,0,0
06:09,0,0
06:13,0,0
06:17,0,0
06:21,0,0
06:25,0,0
06:30,0,0
06:34,0,0
06:39,0,0
06:42,0,0
06:46,0,0
06:48,0,0
06:50,0,0
06:52,0,0
06:54,0,0
06:57,0,0
06:59,0,0
07:01,0,0
07:03,0,0
07:05,0,0
07:08,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:34,0,0
09:36,0,0
09:39,0,0
09:42,0,0
09:46,0,0
09:50,0,0
09:54,0,0
09:58,0,0
10:02,0,0
10:06,0,0
10:10,0,0
10:14,0,0
10:18,0,0
10:22,0,0
10:26,0,0
10:30,0,0
10:34,0,0
10:38,0,0
10:43,0,0
10:48,0,0
10:53,0,0
10:59,0,0
11:05,0,0
11:11,0,0
11:17,0,0
11:23,0,0
11:29,0,0
11:35,0,0
11:41,0,0
11:47,0,0
11:53,0,0
11:59,0,0
12:05,0,0
12:11,0,0
12:17,0,0
12:23,0,0
12:29,0,0
12:35,0,0
12:41,0,0
12:47,0,0
12:53,0,0
12:59,0,0
13:05,0,0
13:11,0,0
13:17,0,0
13:23,0,0
13:29,0,0
13:36,0,0
13:41,0,0
13:47,0,0
13:53,0,0
13:59,0,0
14:05,0,0
14:11,0,0
14:17,0,0
14:23,0,0
14:29,0,0
14:35,0,0
14:41,0,0
14:47,0,0
14:53,0,0
14:59,0,0
15:05,0,0
15:11,0,0
15:16,0,0
15:21,0,0
15:26,0,0
15:30,0,0
15:35,0,0
15:40,0,0
15:44,0,0
15:48,0,0
15:53,0,0
15:57,0,0
16:01,0,0
16:06,0,0
16:10,0,0
16:14,0,0
16:18,0,0
16:22,0,0
16:26,0,0
16:30,0,0
16:35,0,0
16:39,0,0
16:44,0,0
16:48,0,0
16:52,0,0
16:55,0,0
16:57,0,0
16:59,0,0
17:02,0,0
17:04,0,0
17:06,0,0
17:08,0,0
17:10,0,0
17:13,0,0
17:15,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:23,0,0
17:25,0,0
17:27,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:39,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:55,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:46,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:56,0,0
18:59,0,0
19:03,0,0
19:06,0,0
19:10,0,0
19:13,0,0
19:17,0,0
19:20,0,0
19:24,0,0
19:27,0,0
19:31,0,0
19:35,0,0
19:39,0,0
19:43,0,0
19:47,0,0
19:51,0,0
19:55,0,0
19:59,0,0
20:03,0,0
20:07,0,0
20:11,0,0
20:16,0,0
20:21,0,0
20:26,0,0
20:31,0,0
20:36,0,0
20:41,0,0
20:46,0,0
20:51,0,0
20:56,0,0
21:02,0,0
21:09,0,0
21:15,0,0
21:22,0,0
21:27,0,0
21:33,0,0
21:39,0,0
21:45,0,0
21:51,0,0
21:57,0,0
22:02,0,0
22:10,0,0
22:18,0,0
22:27,0,0
22:35,0,0
22:43,0,0
22:50,0,0
22:59,0,0
