时间,是否始发站,是否终到站
05:22,0,0
05:26,0,0
05:30,0,0
05:34,0,0
05:38,0,0
05:42,0,0
05:46,0,0
05:50,0,0
05:55,0,0
05:59,0,0
06:03,0,0
06:08,0,0
06:12,0,0
06:16,0,0
06:20,0,0
06:24,0,0
06:28,0,0
06:32,0,0
06:36,0,0
06:41,0,0
06:45,0,0
06:49,0,0
06:53,0,0
06:57,0,0
06:59,0,0
07:01,0,0
07:03,0,0
07:05,0,0
07:08,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:19,0,0
07:21,0,0
07:23,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:40,0,0
09:42,0,0
09:45,0,0
09:47,0,0
09:50,0,0
09:53,0,0
09:57,0,0
10:01,0,0
10:05,0,0
10:09,0,0
10:13,0,0
10:17,0,0
10:21,0,0
10:25,0,0
10:29,0,0
10:33,0,0
10:37,0,0
10:41,0,0
10:45,0,0
10:49,0,0
10:54,0,0
10:59,0,0
11:04,0,0
11:10,0,0
11:16,0,0
11:22,0,0
11:28,0,0
11:34,0,0
11:40,0,0
11:46,0,0
11:52,0,0
11:58,0,0
12:04,0,0
12:10,0,0
12:16,0,0
12:22,0,0
12:28,0,0
12:34,0,0
12:40,0,0
12:46,0,0
12:52,0,0
12:58,0,0
13:04,0,0
13:10,0,0
13:16,0,0
13:22,0,0
13:28,0,0
13:34,0,0
13:40,0,0
13:46,0,0
13:52,0,0
13:58,0,0
14:04,0,0
14:10,0,0
14:16,0,0
14:22,0,0
14:28,0,0
14:34,0,0
14:40,0,0
14:46,0,0
14:52,0,0
14:58,0,0
15:04,0,0
15:10,0,0
15:16,0,0
15:22,0,0
15:27,0,0
15:32,0,0
15:37,0,0
15:41,0,0
15:46,0,0
15:50,0,0
15:55,0,0
15:59,0,0
16:04,0,0
16:08,0,0
16:12,0,0
16:17,0,0
16:21,0,0
16:25,0,0
16:29,0,0
16:33,0,0
16:37,0,0
16:41,0,0
16:46,0,0
16:50,0,0
16:54,0,0
16:59,0,0
17:03,0,0
17:06,0,0
17:08,0,0
17:10,0,0
17:13,0,0
17:15,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:55,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:59,0,0
19:01,0,0
19:03,0,0
19:07,0,0
19:10,0,0
19:14,0,0
19:17,0,0
19:21,0,0
19:24,0,0
19:28,0,0
19:31,0,0
19:35,0,0
19:38,0,0
19:42,0,0
19:46,0,0
19:50,0,0
19:54,0,0
19:58,0,0
20:02,0,0
20:06,0,0
20:10,0,0
20:14,0,0
20:18,0,0
20:22,0,0
20:27,0,0
20:32,0,0
20:37,0,0
20:42,0,0
20:47,0,0
20:52,0,0
20:57,0,0
21:02,0,0
21:07,0,0
21:13,0,0
21:20,0,0
21:26,0,0
21:33,0,0
21:38,0,0
21:44,0,0
21:50,0,0
21:56,0,0
22:02,0,0
22:08,0,0
22:13,0,0
22:21,0,0
22:29,0,0
22:38,0,0
22:46,0,0
22:54,0,0
23:01,0,0
23:10,0,0
