时间,是否始发站,是否终到站
05:24,0,0
05:28,0,0
05:32,0,0
05:36,0,0
05:40,0,0
05:44,0,0
05:48,0,0
05:52,0,0
05:57,0,0
06:01,0,0
06:06,0,0
06:10,0,0
06:14,0,0
06:18,0,0
06:22,0,0
06:26,0,0
06:30,0,0
06:34,0,0
06:38,0,0
06:43,0,0
06:47,0,0
06:52,0,0
06:55,0,0
06:59,0,0
07:01,0,0
07:03,0,0
07:05,0,0
07:07,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:18,0,0
07:21,0,0
07:23,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:40,0,0
09:42,0,0
09:44,0,0
09:47,0,0
09:49,0,0
09:52,0,0
09:55,0,0
09:59,0,0
10:03,0,0
10:07,0,0
10:11,0,0
10:15,0,0
10:19,0,0
10:23,0,0
10:27,0,0
10:31,0,0
10:35,0,0
10:39,0,0
10:43,0,0
10:47,0,0
10:51,0,0
10:56,0,0
11:01,0,0
11:06,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:30,0,0
11:36,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:18,0,0
12:24,0,0
12:30,0,0
12:36,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:18,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:42,0,0
13:48,0,0
13:54,0,0
14:00,0,0
14:06,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:30,0,0
14:36,0,0
14:42,0,0
14:48,0,0
14:54,0,0
15:00,0,0
15:06,0,0
15:12,0,0
15:18,0,0
15:24,0,0
15:29,0,0
15:34,0,0
15:39,0,0
15:43,0,0
15:48,0,0
15:53,0,0
15:57,0,0
16:01,0,0
16:06,0,0
16:10,0,0
16:14,0,0
16:19,0,0
16:23,0,0
16:27,0,0
16:31,0,0
16:35,0,0
16:39,0,0
16:43,0,0
16:48,0,0
16:52,0,0
16:56,0,0
17:01,0,0
17:05,0,0
17:08,0,0
17:10,0,0
17:12,0,0
17:15,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:23,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:05,0,0
18:08,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:59,0,0
19:01,0,0
19:03,0,0
19:05,0,0
19:09,0,0
19:12,0,0
19:16,0,0
19:19,0,0
19:23,0,0
19:26,0,0
19:30,0,0
19:33,0,0
19:37,0,0
19:40,0,0
19:44,0,0
19:48,0,0
19:52,0,0
19:56,0,0
20:00,0,0
20:04,0,0
20:08,0,0
20:12,0,0
20:16,0,0
20:20,0,0
20:24,0,0
20:29,0,0
20:34,0,0
20:39,0,0
20:44,0,0
20:49,0,0
20:54,0,0
20:59,0,0
21:04,0,0
21:09,0,0
21:15,0,0
21:22,0,0
21:28,0,0
21:35,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:15,0,0
22:23,0,0
22:31,0,0
22:40,0,0
22:48,0,0
22:56,0,0
23:03,0,0
23:12,0,0
