时间,是否始发站,是否终到站
05:14,0,0
05:19,0,0
05:23,0,0
05:27,0,0
05:31,0,0
05:35,0,0
05:39,0,0
05:43,0,0
05:47,0,0
05:52,0,0
05:56,0,0
06:00,0,0
06:05,0,0
06:09,0,0
06:13,0,0
06:17,0,0
06:21,0,0
06:25,0,0
06:29,0,0
06:33,0,0
06:38,0,0
06:42,0,0
06:46,0,0
06:49,0,0
06:51,0,0
06:54,0,0
06:56,0,0
06:58,0,0
07:00,0,0
07:02,0,0
07:05,0,0
07:07,0,0
07:09,0,0
07:11,0,0
07:13,0,0
07:15,0,0
07:17,0,0
07:19,0,0
07:21,0,0
07:23,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:34,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:12,0,0
08:14,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:42,0,0
09:45,0,0
09:49,0,0
09:53,0,0
09:57,0,0
10:01,0,0
10:05,0,0
10:09,0,0
10:13,0,0
10:17,0,0
10:21,0,0
10:25,0,0
10:29,0,0
10:33,0,0
10:37,0,0
10:42,0,0
10:46,0,0
10:51,0,0
10:56,0,0
11:02,0,0
11:08,0,0
11:14,0,0
11:20,0,0
11:26,0,0
11:32,0,0
11:38,0,0
11:44,0,0
11:50,0,0
11:56,0,0
12:02,0,0
12:08,0,0
12:14,0,0
12:20,0,0
12:26,0,0
12:32,0,0
12:38,0,0
12:44,0,0
12:50,0,0
12:56,0,0
13:02,0,0
13:08,0,0
13:14,0,0
13:20,0,0
13:26,0,0
13:32,0,0
13:38,0,0
13:44,0,0
13:50,0,0
13:56,0,0
14:02,0,0
14:08,0,0
14:14,0,0
14:20,0,0
14:26,0,0
14:32,0,0
14:38,0,0
14:44,0,0
14:50,0,0
14:56,0,0
15:02,0,0
15:08,0,0
15:14,0,0
15:20,0,0
15:25,0,0
15:29,0,0
15:34,0,0
15:39,0,0
15:43,0,0
15:47,0,0
15:52,0,0
15:56,0,0
16:01,0,0
16:06,0,0
16:09,0,0
16:14,0,0
16:18,0,0
16:22,0,0
16:26,0,0
16:30,0,0
16:34,0,0
16:38,0,0
16:43,0,0
16:47,0,0
16:51,0,0
16:55,0,0
16:59,0,0
17:01,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:10,0,0
17:12,0,0
17:14,0,0
17:16,0,0
17:18,0,0
17:20,0,0
17:22,0,0
17:24,0,0
17:26,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:38,0,0
17:41,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:56,0,0
18:59,0,0
19:03,0,0
19:06,0,0
19:10,0,0
19:13,0,0
19:17,0,0
19:20,0,0
19:24,0,0
19:27,0,0
19:31,0,0
19:34,0,0
19:38,0,0
19:42,0,0
19:46,0,0
19:50,0,0
19:54,0,0
19:58,0,0
20:02,0,0
20:06,0,0
20:10,0,0
20:15,0,0
20:19,0,0
20:24,0,0
20:29,0,0
20:34,0,0
20:39,0,0
20:44,0,0
20:49,0,0
20:54,0,0
21:00,0,0
21:05,0,0
21:12,0,0
21:19,0,0
21:25,0,0
21:31,0,0
21:37,0,0
21:42,0,0
21:49,0,0
21:55,0,0
22:00,0,0
22:06,0,0
22:14,0,0
22:22,0,0
22:30,0,0
22:38,0,0
22:46,0,0
22:54,0,0
23:02,0,0
