时间,是否始发站,是否终到站
05:43,0,0
05:47,0,0
05:51,0,0
05:55,0,0
05:59,0,0
06:03,0,0
06:07,0,0
06:11,0,0
06:16,0,0
06:20,0,0
06:24,0,0
06:29,0,0
06:33,0,0
06:37,0,0
06:41,0,0
06:45,0,0
06:49,0,0
06:53,0,0
06:57,0,0
07:02,0,0
07:06,0,0
07:10,0,0
07:14,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:26,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:48,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:32,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:40,0,0
09:42,0,0
09:44,0,0
09:46,0,0
09:48,0,0
09:50,0,0
09:52,0,0
09:55,0,0
09:57,0,0
09:59,0,0
10:01,0,0
10:03,0,0
10:06,0,0
10:08,0,0
10:11,0,0
10:14,0,0
10:18,0,0
10:22,0,0
10:26,0,0
10:30,0,0
10:34,0,0
10:38,0,0
10:42,0,0
10:46,0,0
10:50,0,0
10:54,0,0
10:58,0,0
11:02,0,0
11:06,0,0
11:10,0,0
11:15,0,0
11:20,0,0
11:25,0,0
11:31,0,0
11:37,0,0
11:43,0,0
11:49,0,0
11:55,0,0
12:01,0,0
12:07,0,0
12:13,0,0
12:19,0,0
12:25,0,0
12:31,0,0
12:37,0,0
12:43,0,0
12:49,0,0
12:55,0,0
13:01,0,0
13:07,0,0
13:13,0,0
13:19,0,0
13:25,0,0
13:31,0,0
13:37,0,0
13:43,0,0
13:49,0,0
13:55,0,0
14:01,0,0
14:07,0,0
14:13,0,0
14:19,0,0
14:25,0,0
14:31,0,0
14:37,0,0
14:43,0,0
14:49,0,0
14:55,0,0
15:01,0,0
15:07,0,0
15:13,0,0
15:19,0,0
15:25,0,0
15:31,0,0
15:37,0,0
15:43,0,0
15:48,0,0
15:53,0,0
15:58,0,0
16:02,0,0
16:07,0,0
16:11,0,0
16:16,0,0
16:20,0,0
16:25,0,0
16:29,0,0
16:33,0,0
16:38,0,0
16:42,0,0
16:46,0,0
16:50,0,0
16:54,0,0
16:58,0,0
17:02,0,0
17:07,0,0
17:11,0,0
17:15,0,0
17:20,0,0
17:24,0,0
17:27,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:16,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:29,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:55,0,0
18:58,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:09,0,0
19:11,0,0
19:13,0,0
19:15,0,0
19:17,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:28,0,0
19:31,0,0
19:35,0,0
19:38,0,0
19:42,0,0
19:45,0,0
19:49,0,0
19:52,0,0
19:56,0,0
19:59,0,0
20:03,0,0
20:07,0,0
20:11,0,0
20:15,0,0
20:19,0,0
20:23,0,0
20:27,0,0
20:31,0,0
20:35,0,0
20:39,0,0
20:43,0,0
20:48,0,0
20:52,0,0
20:57,0,0
21:02,0,0
21:07,0,0
21:12,0,0
21:17,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:41,0,0
21:47,0,0
21:54,0,0
21:59,0,0
22:05,0,0
22:11,0,0
22:17,0,0
22:23,0,0
22:29,0,0
22:34,0,0
22:42,0,0
22:50,0,0
22:59,0,0
23:07,0,0
23:15,0,0
23:22,0,0
23:31,0,0
