时间,是否始发站,是否终到站
05:03,0,0
05:08,0,0
05:12,0,0
05:16,0,0
05:20,0,0
05:24,0,0
05:28,0,0
05:32,0,0
05:36,0,0
05:41,0,0
05:45,0,0
05:49,0,0
05:54,0,0
05:58,0,0
06:02,0,0
06:06,0,0
06:10,0,0
06:14,0,0
06:18,0,0
06:22,0,0
06:27,0,0
06:31,0,0
06:35,0,0
06:38,0,0
06:40,0,0
06:42,0,0
06:45,0,0
06:47,0,0
06:49,0,0
06:51,0,0
06:53,0,0
06:56,0,0
06:58,0,0
07:00,0,0
07:02,0,0
07:04,0,0
07:06,0,0
07:08,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:33,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:44,0,0
07:46,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:26,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:52,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:31,0,0
09:34,0,0
09:38,0,0
09:42,0,0
09:46,0,0
09:50,0,0
09:54,0,0
09:58,0,0
10:02,0,0
10:06,0,0
10:10,0,0
10:14,0,0
10:18,0,0
10:22,0,0
10:26,0,0
10:31,0,0
10:35,0,0
10:40,0,0
10:45,0,0
10:51,0,0
10:57,0,0
11:03,0,0
11:09,0,0
11:15,0,0
11:21,0,0
11:27,0,0
11:33,0,0
11:39,0,0
11:45,0,0
11:51,0,0
11:57,0,0
12:03,0,0
12:09,0,0
12:15,0,0
12:21,0,0
12:27,0,0
12:33,0,0
12:39,0,0
12:45,0,0
12:51,0,0
12:57,0,0
13:03,0,0
13:09,0,0
13:15,0,0
13:21,0,0
13:27,0,0
13:33,0,0
13:39,0,0
13:45,0,0
13:51,0,0
13:57,0,0
14:03,0,0
14:09,0,0
14:15,0,0
14:21,0,0
14:27,0,0
14:33,0,0
14:39,0,0
14:45,0,0
14:51,0,0
14:57,0,0
15:03,0,0
15:09,0,0
15:14,0,0
15:18,0,0
15:23,0,0
15:27,0,0
15:32,0,0
15:36,0,0
15:41,0,0
15:45,0,0
15:49,0,0
15:54,0,0
15:58,0,0
16:03,0,0
16:07,0,0
16:11,0,0
16:15,0,0
16:19,0,0
16:23,0,0
16:27,0,0
16:31,0,0
16:36,0,0
16:40,0,0
16:44,0,0
16:47,0,0
16:50,0,0
16:52,0,0
16:54,0,0
16:56,0,0
16:58,0,0
17:01,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:09,0,0
17:11,0,0
17:13,0,0
17:15,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:23,0,0
17:25,0,0
17:27,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:54,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:20,0,0
18:23,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:45,0,0
18:48,0,0
18:52,0,0
18:55,0,0
18:59,0,0
19:02,0,0
19:06,0,0
19:09,0,0
19:13,0,0
19:16,0,0
19:20,0,0
19:23,0,0
19:27,0,0
19:31,0,0
19:35,0,0
19:39,0,0
19:43,0,0
19:47,0,0
19:51,0,0
19:55,0,0
19:59,0,0
20:04,0,0
20:08,0,0
20:13,0,0
20:18,0,0
20:23,0,0
20:28,0,0
20:33,0,0
20:38,0,0
20:43,0,0
20:48,0,0
20:54,0,0
21:01,0,0
21:08,0,0
21:14,0,0
21:20,0,0
21:25,0,0
21:31,0,0
21:38,0,0
21:43,0,0
21:49,0,0
21:55,0,0
22:03,0,0
22:11,0,0
22:19,0,0
22:27,0,0
22:35,0,0
22:43,0,0
22:51,0,0
