时间,是否始发站,是否终到站
05:50,0,1
05:55,0,1
05:59,0,1
06:03,0,1
06:07,0,1
06:11,0,1
06:15,0,1
06:19,0,1
06:24,0,1
06:28,0,1
06:32,0,1
06:37,0,1
06:41,0,1
06:45,0,1
06:49,0,1
06:53,0,1
06:57,0,1
07:01,0,1
07:05,0,1
07:10,0,1
07:14,0,1
07:18,0,1
07:22,0,1
07:25,0,1
07:28,0,1
07:30,0,1
07:32,0,1
07:34,0,1
07:36,0,1
07:39,0,1
07:41,0,1
07:43,0,1
07:45,0,1
07:47,0,1
07:49,0,1
07:51,0,1
07:53,0,1
07:55,0,1
07:57,0,1
07:59,0,1
08:01,0,1
08:03,0,1
08:05,0,1
08:08,0,1
08:10,0,1
08:12,0,1
08:14,0,1
08:16,0,1
08:19,0,1
08:21,0,1
08:23,0,1
08:25,0,1
08:27,0,1
08:29,0,1
08:32,0,1
08:34,0,1
08:36,0,1
08:38,0,1
08:40,0,1
08:42,0,1
08:44,0,1
08:46,0,1
08:48,0,1
08:50,0,1
08:52,0,1
08:54,0,1
08:56,0,1
08:58,0,1
09:01,0,1
09:03,0,1
09:05,0,1
09:07,0,1
09:09,0,1
09:12,0,1
09:14,0,1
09:16,0,1
09:18,0,1
09:20,0,1
09:23,0,1
09:25,0,1
09:27,0,1
09:29,0,1
09:31,0,1
09:34,0,1
09:36,0,1
09:38,0,1
09:40,0,1
09:42,0,1
09:44,0,1
09:46,0,1
09:48,0,1
09:50,0,1
09:52,0,1
09:54,0,1
09:56,0,1
09:58,0,1
10:00,0,1
10:03,0,1
10:05,0,1
10:07,0,1
10:09,0,1
10:11,0,1
10:13,0,1
10:16,0,1
10:18,0,1
10:21,0,1
10:25,0,1
10:29,0,1
10:33,0,1
10:37,0,1
10:41,0,1
10:45,0,1
10:49,0,1
10:53,0,1
10:57,0,1
11:01,0,1
11:05,0,1
11:09,0,1
11:13,0,1
11:18,0,1
11:22,0,1
11:27,0,1
11:32,0,1
11:38,0,1
11:44,0,1
11:50,0,1
11:56,0,1
12:02,0,1
12:08,0,1
12:14,0,1
12:20,0,1
12:26,0,1
12:32,0,1
12:38,0,1
12:44,0,1
12:50,0,1
12:56,0,1
13:02,0,1
13:08,0,1
13:14,0,1
13:20,0,1
13:26,0,1
13:32,0,1
13:39,0,1
13:44,0,1
13:50,0,1
13:56,0,1
14:02,0,1
14:08,0,1
14:14,0,1
14:20,0,1
14:26,0,1
14:32,0,1
14:38,0,1
14:44,0,1
14:50,0,1
14:56,0,1
15:02,0,1
15:08,0,1
15:14,0,1
15:20,0,1
15:26,0,1
15:32,0,1
15:38,0,1
15:44,0,1
15:50,0,1
15:56,0,1
16:01,0,1
16:06,0,1
16:10,0,1
16:15,0,1
16:19,0,1
16:24,0,1
16:28,0,1
16:32,0,1
16:37,0,1
16:41,0,1
16:46,0,1
16:50,0,1
16:54,0,1
16:58,0,1
17:02,0,1
17:06,0,1
17:10,0,1
17:14,0,1
17:19,0,1
17:23,0,1
17:28,0,1
17:32,0,1
17:35,0,1
17:37,0,1
17:39,0,1
17:41,0,1
17:44,0,1
17:46,0,1
17:48,0,1
17:50,0,1
17:52,0,1
17:54,0,1
17:56,0,1
17:58,0,1
18:00,0,1
18:02,0,1
18:04,0,1
18:06,0,1
18:08,0,1
18:10,0,1
18:13,0,1
18:15,0,1
18:17,0,1
18:19,0,1
18:21,0,1
18:23,0,1
18:26,0,1
18:28,0,1
18:30,0,1
18:32,0,1
18:34,0,1
18:37,0,1
18:39,0,1
18:41,0,1
18:43,0,1
18:45,0,1
18:47,0,1
18:49,0,1
18:51,0,1
18:53,0,1
18:55,0,1
18:57,0,1
18:59,0,1
19:01,0,1
19:03,0,1
19:06,0,1
19:08,0,1
19:10,0,1
19:12,0,1
19:14,0,1
19:17,0,1
19:19,0,1
19:21,0,1
19:23,0,1
19:25,0,1
19:28,0,1
19:30,0,1
19:32,0,1
19:35,0,1
19:39,0,1
19:42,0,1
19:46,0,1
19:49,0,1
19:53,0,1
19:56,0,1
20:00,0,1
20:03,0,1
20:07,0,1
20:10,0,1
20:14,0,1
20:18,0,1
20:22,0,1
20:26,0,1
20:30,0,1
20:34,0,1
20:38,0,1
20:42,0,1
20:46,0,1
20:51,0,1
20:56,0,1
21:00,0,1
21:05,0,1
21:10,0,1
21:15,0,1
21:20,0,1
21:25,0,1
21:30,0,1
21:36,0,1
21:42,0,1
21:48,0,1
21:55,0,1
22:02,0,1
22:07,0,1
22:13,0,1
22:19,0,1
22:25,0,1
22:31,0,1
22:37,0,1
22:42,0,1
22:50,0,1
22:58,0,1
23:06,0,1
23:14,0,1
23:22,0,1
23:30,0,1
23:38,0,1
