时间,是否始发站,是否终到站
05:38,0,0
05:42,0,0
05:47,0,0
05:51,0,0
05:55,0,0
05:59,0,0
06:03,0,0
06:07,0,0
06:11,0,0
06:16,0,0
06:20,0,0
06:24,0,0
06:28,0,0
06:33,0,0
06:37,0,0
06:41,0,0
06:45,0,0
06:49,0,0
06:53,0,0
06:57,0,0
07:01,0,0
07:06,0,0
07:10,0,0
07:13,0,0
07:15,0,0
07:17,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:44,0,0
09:46,0,0
09:48,0,0
09:50,0,0
09:52,0,0
09:54,0,0
09:57,0,0
09:59,0,0
10:01,0,0
10:03,0,0
10:06,0,0
10:09,0,0
10:13,0,0
10:17,0,0
10:21,0,0
10:25,0,0
10:29,0,0
10:33,0,0
10:37,0,0
10:41,0,0
10:45,0,0
10:49,0,0
10:53,0,0
10:57,0,0
11:01,0,0
11:05,0,0
11:10,0,0
11:15,0,0
11:20,0,0
11:26,0,0
11:32,0,0
11:38,0,0
11:44,0,0
11:50,0,0
11:56,0,0
12:02,0,0
12:08,0,0
12:14,0,0
12:20,0,0
12:26,0,0
12:32,0,0
12:38,0,0
12:44,0,0
12:50,0,0
12:56,0,0
13:02,0,0
13:08,0,0
13:14,0,0
13:20,0,0
13:26,0,0
13:32,0,0
13:38,0,0
13:44,0,0
13:50,0,0
13:56,0,0
14:02,0,0
14:08,0,0
14:14,0,0
14:20,0,0
14:26,0,0
14:32,0,0
14:38,0,0
14:44,0,0
14:50,0,0
14:56,0,0
15:02,0,0
15:08,0,0
15:14,0,0
15:20,0,0
15:26,0,0
15:32,0,0
15:38,0,0
15:44,0,0
15:49,0,0
15:53,0,0
15:58,0,0
16:02,0,0
16:07,0,0
16:11,0,0
16:16,0,0
16:20,0,0
16:24,0,0
16:29,0,0
16:33,0,0
16:37,0,0
16:42,0,0
16:46,0,0
16:50,0,0
16:54,0,0
16:58,0,0
17:02,0,0
17:06,0,0
17:11,0,0
17:15,0,0
17:19,0,0
17:22,0,0
17:25,0,0
17:27,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:29,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:55,0,0
18:58,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:09,0,0
19:11,0,0
19:13,0,0
19:15,0,0
19:17,0,0
19:20,0,0
19:23,0,0
19:27,0,0
19:30,0,0
19:34,0,0
19:37,0,0
19:41,0,0
19:44,0,0
19:48,0,0
19:51,0,0
19:55,0,0
19:58,0,0
20:02,0,0
20:06,0,0
20:10,0,0
20:14,0,0
20:18,0,0
20:22,0,0
20:26,0,0
20:30,0,0
20:34,0,0
20:39,0,0
20:43,0,0
20:48,0,0
20:53,0,0
20:58,0,0
21:03,0,0
21:08,0,0
21:13,0,0
21:18,0,0
21:23,0,0
21:29,0,0
21:36,0,0
21:43,0,0
21:49,0,0
21:54,0,0
22:00,0,0
22:06,0,0
22:12,0,0
22:18,0,0
22:24,0,0
22:29,0,0
22:37,0,0
22:45,0,0
22:54,0,0
23:02,0,0
23:10,0,0
23:17,0,0
23:26,0,0
