时间,是否始发站,是否终到站
05:19,0,0
05:24,0,0
05:28,0,0
05:32,0,0
05:36,0,0
05:40,0,0
05:44,0,0
05:48,0,0
05:52,0,0
05:57,0,0
06:01,0,0
06:06,0,0
06:10,0,0
06:14,0,0
06:18,0,0
06:22,0,0
06:26,0,0
06:30,0,0
06:34,0,0
06:38,0,0
06:43,0,0
06:47,0,0
06:51,0,0
06:54,0,0
06:56,0,0
06:59,0,0
07:01,0,0
07:03,0,0
07:05,0,0
07:07,0,0
07:10,0,0
07:12,0,0
07:14,0,0
07:16,0,0
07:18,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:30,0,0
07:32,0,0
07:34,0,0
07:36,0,0
07:39,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:50,0,0
07:52,0,0
07:54,0,0
07:56,0,0
07:58,0,0
08:00,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:40,0,0
09:42,0,0
09:44,0,0
09:47,0,0
09:50,0,0
09:54,0,0
09:58,0,0
10:02,0,0
10:06,0,0
10:10,0,0
10:14,0,0
10:18,0,0
10:22,0,0
10:26,0,0
10:30,0,0
10:34,0,0
10:38,0,0
10:42,0,0
10:47,0,0
10:51,0,0
10:56,0,0
11:01,0,0
11:07,0,0
11:13,0,0
11:19,0,0
11:25,0,0
11:31,0,0
11:37,0,0
11:43,0,0
11:49,0,0
11:55,0,0
12:01,0,0
12:07,0,0
12:13,0,0
12:19,0,0
12:25,0,0
12:31,0,0
12:37,0,0
12:43,0,0
12:49,0,0
12:55,0,0
13:01,0,0
13:07,0,0
13:13,0,0
13:19,0,0
13:25,0,0
13:31,0,0
13:37,0,0
13:43,0,0
13:49,0,0
13:55,0,0
14:01,0,0
14:07,0,0
14:13,0,0
14:19,0,0
14:25,0,0
14:31,0,0
14:37,0,0
14:43,0,0
14:49,0,0
14:55,0,0
15:01,0,0
15:07,0,0
15:13,0,0
15:19,0,0
15:25,0,0
15:30,0,0
15:35,0,0
15:39,0,0
15:44,0,0
15:48,0,0
15:52,0,0
15:57,0,0
16:01,0,0
16:06,0,0
16:10,0,0
16:14,0,0
16:19,0,0
16:23,0,0
16:27,0,0
16:31,0,0
16:35,0,0
16:39,0,0
16:43,0,0
16:48,0,0
16:52,0,0
16:56,0,0
17:00,0,0
17:04,0,0
17:06,0,0
17:08,0,0
17:10,0,0
17:12,0,0
17:15,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:23,0,0
17:25,0,0
17:27,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:39,0,0
17:41,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:05,0,0
18:08,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:48,0,0
18:50,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:59,0,0
19:01,0,0
19:04,0,0
19:08,0,0
19:11,0,0
19:15,0,0
19:18,0,0
19:22,0,0
19:25,0,0
19:29,0,0
19:32,0,0
19:36,0,0
19:39,0,0
19:43,0,0
19:47,0,0
19:51,0,0
19:55,0,0
19:59,0,0
20:03,0,0
20:07,0,0
20:11,0,0
20:15,0,0
20:20,0,0
20:24,0,0
20:29,0,0
20:34,0,0
20:39,0,0
20:44,0,0
20:49,0,0
20:54,0,0
20:59,0,0
21:05,0,0
21:10,0,0
21:17,0,0
21:24,0,0
21:30,0,0
21:36,0,0
21:42,0,0
21:47,0,0
21:54,0,0
22:00,0,0
22:05,0,0
22:11,0,0
22:19,0,0
22:27,0,0
22:35,0,0
22:43,0,0
22:51,0,0
22:59,0,0
23:07,0,0
