时间,是否始发站,是否终到站
05:40,0,0
05:45,0,0
05:49,0,0
05:53,0,0
05:57,0,0
06:01,0,0
06:05,0,0
06:09,0,0
06:13,0,0
06:18,0,0
06:22,0,0
06:26,0,0
06:31,0,0
06:35,0,0
06:39,0,0
06:43,0,0
06:47,0,0
06:51,0,0
06:55,0,0
06:59,0,0
07:04,0,0
07:08,0,0
07:12,0,0
07:15,0,0
07:17,0,0
07:20,0,0
07:22,0,0
07:24,0,0
07:26,0,0
07:28,0,0
07:31,0,0
07:33,0,0
07:35,0,0
07:37,0,0
07:39,0,0
07:41,0,0
07:43,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
08:00,0,0
08:02,0,0
08:04,0,0
08:06,0,0
08:08,0,0
08:10,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:19,0,0
08:21,0,0
08:24,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:36,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:26,0,0
09:28,0,0
09:30,0,0
09:32,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:40,0,0
09:42,0,0
09:44,0,0
09:46,0,0
09:48,0,0
09:50,0,0
09:52,0,0
09:54,0,0
09:57,0,0
09:59,0,0
10:01,0,0
10:03,0,0
10:05,0,0
10:08,0,0
10:11,0,0
10:15,0,0
10:19,0,0
10:23,0,0
10:27,0,0
10:31,0,0
10:35,0,0
10:39,0,0
10:43,0,0
10:47,0,0
10:51,0,0
10:55,0,0
10:59,0,0
11:03,0,0
11:08,0,0
11:12,0,0
11:17,0,0
11:22,0,0
11:28,0,0
11:34,0,0
11:40,0,0
11:46,0,0
11:52,0,0
11:58,0,0
12:04,0,0
12:10,0,0
12:16,0,0
12:22,0,0
12:28,0,0
12:34,0,0
12:40,0,0
12:46,0,0
12:52,0,0
12:58,0,0
13:04,0,0
13:10,0,0
13:16,0,0
13:22,0,0
13:28,0,0
13:34,0,0
13:40,0,0
13:46,0,0
13:52,0,0
13:58,0,0
14:04,0,0
14:10,0,0
14:16,0,0
14:22,0,0
14:28,0,0
14:34,0,0
14:40,0,0
14:46,0,0
14:52,0,0
14:58,0,0
15:04,0,0
15:10,0,0
15:16,0,0
15:22,0,0
15:28,0,0
15:34,0,0
15:40,0,0
15:46,0,0
15:51,0,0
15:55,0,0
16:00,0,0
16:06,0,0
16:09,0,0
16:13,0,0
16:18,0,0
16:22,0,0
16:27,0,0
16:31,0,0
16:35,0,0
16:40,0,0
16:44,0,0
16:48,0,0
16:52,0,0
16:56,0,0
17:00,0,0
17:04,0,0
17:09,0,0
17:13,0,0
17:17,0,0
17:21,0,0
17:24,0,0
17:27,0,0
17:29,0,0
17:31,0,0
17:33,0,0
17:35,0,0
17:38,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:50,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:07,0,0
18:09,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:11,0,0
19:13,0,0
19:15,0,0
19:17,0,0
19:19,0,0
19:22,0,0
19:25,0,0
19:29,0,0
19:32,0,0
19:36,0,0
19:39,0,0
19:43,0,0
19:46,0,0
19:50,0,0
19:53,0,0
19:57,0,0
20:00,0,0
20:04,0,0
20:08,0,0
20:12,0,0
20:16,0,0
20:20,0,0
20:24,0,0
20:28,0,0
20:32,0,0
20:36,0,0
20:41,0,0
20:45,0,0
20:50,0,0
20:55,0,0
21:00,0,0
21:05,0,0
21:10,0,0
21:15,0,0
21:20,0,0
21:26,0,0
21:31,0,0
21:38,0,0
21:45,0,0
21:51,0,0
21:57,0,0
22:02,0,0
22:08,0,0
22:15,0,0
22:20,0,0
22:26,0,0
22:32,0,0
22:40,0,0
22:48,0,0
22:56,0,0
23:04,0,0
23:12,0,0
23:20,0,0
23:28,0,0
