时间,是否始发站,是否终到站
05:06,0,0
05:10,0,0
05:14,0,0
05:18,0,0
05:22,0,0
05:26,0,0
05:30,0,0
05:34,0,0
05:39,0,0
05:43,0,0
05:47,0,0
05:52,0,0
05:56,0,0
06:00,0,0
06:04,0,0
06:08,0,0
06:12,0,0
06:16,0,0
06:20,0,0
06:25,0,0
06:29,0,0
06:33,0,0
06:37,0,0
06:41,0,0
06:43,0,0
06:45,0,0
06:47,0,0
06:49,0,0
06:52,0,0
06:54,0,0
06:56,0,0
06:58,0,0
07:00,0,0
07:03,0,0
07:05,0,0
07:07,0,0
07:09,0,0
07:11,0,0
07:13,0,0
07:15,0,0
07:17,0,0
07:19,0,0
07:21,0,0
07:23,0,0
07:25,0,0
07:27,0,0
07:29,0,0
07:31,0,0
07:34,0,0
07:36,0,0
07:38,0,0
07:40,0,0
07:42,0,0
07:45,0,0
07:47,0,0
07:49,0,0
07:51,0,0
07:53,0,0
07:55,0,0
07:57,0,0
07:59,0,0
08:01,0,0
08:03,0,0
08:05,0,0
08:07,0,0
08:09,0,0
08:11,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:24,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:33,0,0
08:35,0,0
08:38,0,0
08:40,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:29,0,0
09:31,0,0
09:34,0,0
09:37,0,0
09:41,0,0
09:45,0,0
09:49,0,0
09:53,0,0
09:57,0,0
10:01,0,0
10:05,0,0
10:09,0,0
10:13,0,0
10:17,0,0
10:21,0,0
10:25,0,0
10:29,0,0
10:33,0,0
10:38,0,0
10:43,0,0
10:48,0,0
10:54,0,0
11:00,0,0
11:06,0,0
11:12,0,0
11:18,0,0
11:24,0,0
11:30,0,0
11:36,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:00,0,0
12:06,0,0
12:12,0,0
12:18,0,0
12:24,0,0
12:30,0,0
12:36,0,0
12:42,0,0
12:48,0,0
12:54,0,0
13:00,0,0
13:06,0,0
13:12,0,0
13:18,0,0
13:24,0,0
13:30,0,0
13:36,0,0
13:42,0,0
13:48,0,0
13:54,0,0
14:00,0,0
14:06,0,0
14:12,0,0
14:18,0,0
14:24,0,0
14:30,0,0
14:36,0,0
14:42,0,0
14:48,0,0
14:54,0,0
15:00,0,0
15:06,0,0
15:11,0,0
15:16,0,0
15:21,0,0
15:25,0,0
15:30,0,0
15:34,0,0
15:39,0,0
15:43,0,0
15:48,0,0
15:52,0,0
15:56,0,0
16:01,0,0
16:06,0,0
16:09,0,0
16:13,0,0
16:17,0,0
16:21,0,0
16:25,0,0
16:30,0,0
16:34,0,0
16:38,0,0
16:43,0,0
16:47,0,0
16:50,0,0
16:52,0,0
16:54,0,0
16:56,0,0
16:59,0,0
17:01,0,0
17:03,0,0
17:05,0,0
17:07,0,0
17:09,0,0
17:11,0,0
17:13,0,0
17:15,0,0
17:17,0,0
17:19,0,0
17:21,0,0
17:23,0,0
17:25,0,0
17:28,0,0
17:30,0,0
17:32,0,0
17:34,0,0
17:36,0,0
17:39,0,0
17:41,0,0
17:43,0,0
17:45,0,0
17:47,0,0
17:49,0,0
17:52,0,0
17:54,0,0
17:56,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:51,0,0
18:54,0,0
18:58,0,0
19:01,0,0
19:05,0,0
19:08,0,0
19:12,0,0
19:15,0,0
19:19,0,0
19:22,0,0
19:26,0,0
19:30,0,0
19:34,0,0
19:38,0,0
19:42,0,0
19:46,0,0
19:50,0,0
19:54,0,0
19:58,0,0
20:02,0,0
20:06,0,0
20:11,0,0
20:15,0,0
20:20,0,0
20:25,0,0
20:30,0,0
20:35,0,0
20:40,0,0
20:45,0,0
20:51,0,0
20:57,0,0
21:04,0,0
21:10,0,0
21:17,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:57,0,0
22:05,0,0
22:13,0,0
22:22,0,0
22:30,0,0
22:38,0,0
22:45,0,0
22:54,0,0
