时间,是否始发站,是否终到站
05:39,0,0
05:47,0,0
05:55,0,0
06:03,0,0
06:11,0,0
06:17,0,0
06:26,0,0
06:30,0,0
06:34,0,0
06:38,0,0
06:42,0,0
06:46,0,0
06:51,0,0
06:54,0,0
06:58,0,0
07:01,0,0
07:06,0,0
07:09,0,0
07:13,0,0
07:16,0,0
07:21,0,0
07:24,0,0
07:28,0,0
07:31,0,0
07:35,0,0
07:39,0,0
07:43,0,0
07:45,0,0
07:49,0,0
07:53,0,0
07:57,0,0
08:00,0,0
08:04,0,0
08:06,0,0
08:10,0,0
08:15,0,0
08:16,0,0
08:21,0,0
08:25,0,0
08:27,0,0
08:30,0,0
08:34,0,0
08:36,0,0
08:39,0,0
08:43,0,0
08:45,0,0
08:48,0,0
08:52,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:04,0,0
09:08,0,0
09:10,0,0
09:13,0,0
09:19,0,0
09:25,0,0
09:29,0,0
09:33,0,0
09:37,0,0
09:39,0,0
09:43,0,0
09:45,0,0
09:49,0,0
09:53,0,0
09:55,0,0
09:59,0,0
10:03,0,0
10:07,0,0
10:11,0,0
10:16,0,0
10:18,0,0
10:20,0,0
10:26,0,0
10:30,0,0
10:32,0,0
10:38,0,0
10:41,0,0
10:44,0,0
10:49,0,0
10:55,0,0
10:59,0,0
11:02,0,0
11:08,0,0
11:14,0,0
11:20,0,0
11:26,0,0
11:33,0,0
11:39,0,0
11:46,0,0
11:52,0,0
11:58,0,0
12:05,0,0
12:11,0,0
12:17,0,0
12:23,0,0
12:30,0,0
12:36,0,0
12:43,0,0
12:50,0,0
12:57,0,0
13:04,0,0
13:11,0,0
13:18,0,0
13:25,0,0
13:32,0,0
13:39,0,0
13:46,0,0
13:53,0,0
14:00,0,0
14:07,0,0
14:14,0,0
14:21,0,0
14:28,0,0
14:35,0,0
14:42,0,0
14:49,0,0
14:56,0,0
15:03,0,0
15:10,0,0
15:17,0,0
15:24,0,0
15:31,0,0
15:38,0,0
15:45,0,0
15:52,0,0
15:59,0,0
16:06,0,0
16:13,0,0
16:20,0,0
16:27,0,0
16:34,0,0
16:41,0,0
16:48,0,0
16:55,0,0
17:02,0,0
17:09,0,0
17:16,0,0
17:23,0,0
17:27,0,0
17:33,0,0
17:37,0,0
17:42,0,0
17:45,0,0
17:49,0,0
17:53,0,0
17:57,0,0
18:00,0,0
18:03,0,0
18:06,0,0
18:09,0,0
18:12,0,0
18:15,0,0
18:18,0,0
18:21,0,0
18:24,0,0
18:27,0,0
18:30,0,0
18:34,0,0
18:36,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:49,0,0
18:51,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:04,0,0
19:07,0,0
19:11,0,0
19:13,0,0
19:17,0,0
19:20,0,0
19:22,0,0
19:26,0,0
19:28,0,0
19:30,0,0
19:35,0,0
19:37,0,0
19:39,0,0
19:43,0,0
19:48,0,0
19:50,0,0
19:54,0,0
19:56,0,0
20:01,0,0
20:06,0,0
20:09,0,0
20:15,0,0
20:21,0,0
20:27,0,0
20:33,0,0
20:39,0,0
20:45,0,0
20:51,0,0
20:57,0,0
21:03,0,0
21:10,0,0
21:16,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:11,0,0
22:17,0,0
22:23,0,0
22:29,0,0
22:35,0,0
22:41,0,0
22:47,0,0
22:53,0,0
22:59,0,0
23:05,0,0
23:11,0,0
23:17,0,0
23:23,0,0
23:29,0,0
23:35,0,0
23:41,0,0
23:48,0,0
