时间,是否始发站,是否终到站
05:51,0,0
06:00,0,0
06:07,0,0
06:15,0,0
06:23,0,0
06:30,0,0
06:38,0,0
06:45,0,0
06:53,0,0
07:01,0,0
07:07,0,0
07:14,0,0
07:18,0,0
07:22,0,0
07:26,0,0
07:30,0,0
07:33,0,0
07:36,0,0
07:41,0,0
07:43,0,0
07:46,0,0
07:49,0,0
07:52,0,0
07:55,0,0
07:58,0,0
08:01,0,0
08:04,0,0
08:07,0,0
08:10,0,0
08:13,0,0
08:16,0,0
08:18,0,0
08:20,0,0
08:23,0,0
08:26,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:44,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:24,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:44,0,0
09:47,0,0
09:49,0,0
09:51,0,0
09:54,0,0
09:57,0,0
10:00,0,0
10:03,0,0
10:06,0,0
10:08,0,0
10:11,0,0
10:14,0,0
10:17,0,0
10:21,0,0
10:24,0,0
10:27,0,0
10:30,0,0
10:33,0,0
10:36,0,0
10:39,0,0
10:42,0,0
10:45,0,0
10:48,0,0
10:51,0,0
10:54,0,0
10:57,0,0
11:00,0,0
11:04,0,0
11:08,0,0
11:11,0,0
11:14,0,0
11:20,0,0
11:26,0,0
11:32,0,0
11:38,0,0
11:45,0,0
11:51,0,0
11:58,0,0
12:04,0,0
12:11,0,0
12:18,0,0
12:25,0,0
12:32,0,0
12:39,0,0
12:46,0,0
12:53,0,0
13:00,0,0
13:07,0,0
13:14,0,0
13:21,0,0
13:28,0,0
13:35,0,0
13:42,0,0
13:49,0,0
13:56,0,0
14:03,0,0
14:10,0,0
14:17,0,0
14:24,0,0
14:31,0,0
14:38,0,0
14:45,0,0
14:52,0,0
14:59,0,0
15:06,0,0
15:13,0,0
15:20,0,0
15:27,0,0
15:34,0,0
15:41,0,0
15:48,0,0
15:55,0,0
16:02,0,0
16:09,0,0
16:16,0,0
16:23,0,0
16:30,0,0
16:37,0,0
16:44,0,0
16:49,0,0
16:54,0,0
16:58,0,0
17:02,0,0
17:06,0,0
17:10,0,0
17:14,0,0
17:18,0,0
17:21,0,0
17:24,0,0
17:27,0,0
17:30,0,0
17:33,0,0
17:36,0,0
17:39,0,0
17:42,0,0
17:45,0,0
17:48,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:50,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:03,0,0
19:05,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:13,0,0
19:16,0,0
19:18,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:27,0,0
19:30,0,0
19:33,0,0
19:36,0,0
19:39,0,0
19:42,0,0
19:45,0,0
19:48,0,0
19:51,0,0
19:54,0,0
19:57,0,0
20:00,0,0
20:03,0,0
20:06,0,0
20:09,0,0
20:12,0,0
20:15,0,0
20:18,0,0
20:21,0,0
20:24,0,0
20:28,0,0
20:31,0,0
20:34,0,0
20:37,0,0
20:40,0,0
20:43,0,0
20:46,0,0
20:49,0,0
20:52,0,0
20:55,0,0
20:58,0,0
21:01,0,0
21:04,0,0
21:07,0,0
21:10,0,0
21:13,0,0
21:16,0,0
21:19,0,0
21:22,0,0
21:25,0,0
21:28,0,0
21:32,0,0
21:38,0,0
21:44,0,0
21:50,0,0
21:56,0,0
22:02,0,0
22:08,0,0
22:14,0,0
22:20,0,0
22:26,0,0
22:32,0,0
22:38,0,0
22:44,0,0
22:50,0,0
22:56,0,0
23:02,0,0
23:09,0,0
23:14,0,0
23:20,0,0
23:26,0,0
23:32,0,0
23:38,0,0
23:44,0,0
23:50,0,0
23:56,0,0
00:02,0,0
00:08,0,0
00:14,0,0
00:20,0,0
