时间,是否始发站,是否终到站
05:35,0,0
05:43,0,0
05:51,0,0
05:59,0,0
06:06,0,0
06:13,0,0
06:22,0,0
06:25,0,0
06:30,0,0
06:34,0,0
06:38,0,0
06:42,0,0
06:47,0,0
06:49,0,0
06:54,0,0
06:57,0,0
07:02,0,0
07:05,0,0
07:09,0,0
07:12,0,0
07:17,0,0
07:19,0,0
07:24,0,0
07:27,0,0
07:31,0,0
07:35,0,0
07:39,0,0
07:41,0,0
07:45,0,0
07:48,0,0
07:52,0,0
07:56,0,0
08:00,0,0
08:02,0,0
08:06,0,0
08:11,0,0
08:12,0,0
08:17,0,0
08:21,0,0
08:23,0,0
08:26,0,0
08:30,0,0
08:32,0,0
08:35,0,0
08:39,0,0
08:41,0,0
08:44,0,0
08:48,0,0
08:53,0,0
08:55,0,0
08:57,0,0
09:00,0,0
09:04,0,0
09:06,0,0
09:09,0,0
09:15,0,0
09:21,0,0
09:25,0,0
09:29,0,0
09:33,0,0
09:35,0,0
09:39,0,0
09:41,0,0
09:45,0,0
09:49,0,0
09:51,0,0
09:56,0,0
09:59,0,0
10:03,0,0
10:07,0,0
10:11,0,0
10:13,0,0
10:15,0,0
10:22,0,0
10:26,0,0
10:28,0,0
10:34,0,0
10:37,0,0
10:40,0,0
10:45,0,0
10:51,0,0
10:55,0,0
10:58,0,0
11:04,0,0
11:10,0,0
11:16,0,0
11:22,0,0
11:29,0,0
11:35,0,0
11:42,0,0
11:48,0,0
11:54,0,0
12:01,0,0
12:07,0,0
12:13,0,0
12:19,0,0
12:26,0,0
12:32,0,0
12:39,0,0
12:46,0,0
12:53,0,0
13:00,0,0
13:07,0,0
13:14,0,0
13:21,0,0
13:28,0,0
13:35,0,0
13:42,0,0
13:49,0,0
13:56,0,0
14:03,0,0
14:10,0,0
14:17,0,0
14:24,0,0
14:31,0,0
14:38,0,0
14:45,0,0
14:52,0,0
14:59,0,0
15:06,0,0
15:13,0,0
15:20,0,0
15:27,0,0
15:34,0,0
15:41,0,0
15:48,0,0
15:55,0,0
16:02,0,0
16:09,0,0
16:16,0,0
16:23,0,0
16:30,0,0
16:37,0,0
16:44,0,0
16:51,0,0
16:58,0,0
17:05,0,0
17:12,0,0
17:19,0,0
17:23,0,0
17:29,0,0
17:32,0,0
17:37,0,0
17:41,0,0
17:45,0,0
17:49,0,0
17:53,0,0
17:56,0,0
17:59,0,0
18:02,0,0
18:05,0,0
18:08,0,0
18:11,0,0
18:14,0,0
18:17,0,0
18:20,0,0
18:23,0,0
18:26,0,0
18:30,0,0
18:32,0,0
18:36,0,0
18:39,0,0
18:41,0,0
18:45,0,0
18:47,0,0
18:52,0,0
18:54,0,0
18:56,0,0
19:00,0,0
19:02,0,0
19:07,0,0
19:09,0,0
19:13,0,0
19:15,0,0
19:18,0,0
19:22,0,0
19:24,0,0
19:26,0,0
19:31,0,0
19:33,0,0
19:35,0,0
19:39,0,0
19:44,0,0
19:46,0,0
19:50,0,0
19:52,0,0
19:57,0,0
20:02,0,0
20:05,0,0
20:11,0,0
20:17,0,0
20:23,0,0
20:29,0,0
20:35,0,0
20:41,0,0
20:47,0,0
20:53,0,0
20:59,0,0
21:06,0,0
21:12,0,0
21:18,0,0
21:24,0,0
21:30,0,0
21:36,0,0
21:42,0,0
21:48,0,0
21:54,0,0
22:00,0,0
22:07,0,0
22:13,0,0
22:19,0,0
22:25,0,0
22:31,0,0
22:37,0,0
22:43,0,0
22:49,0,0
22:55,0,0
23:01,0,0
23:07,0,0
23:13,0,0
23:19,0,0
23:25,0,0
23:31,0,0
23:37,0,0
23:44,0,0
