时间,是否始发站,是否终到站
05:33,0,0
05:41,0,0
05:49,0,0
05:56,0,0
06:04,0,0
06:11,0,0
06:20,0,0
06:23,0,0
06:28,0,0
06:32,0,0
06:36,0,0
06:39,0,0
06:45,0,0
06:47,0,0
06:52,0,0
06:55,0,0
07:00,0,0
07:02,0,0
07:07,0,0
07:10,0,0
07:14,0,0
07:17,0,0
07:21,0,0
07:25,0,0
07:29,0,0
07:33,0,0
07:37,0,0
07:39,0,0
07:43,0,0
07:46,0,0
07:50,0,0
07:54,0,0
07:58,0,0
08:00,0,0
08:04,0,0
08:08,0,0
08:11,0,0
08:15,0,0
08:20,0,0
08:21,0,0
08:24,0,0
08:29,0,0
08:30,0,0
08:33,0,0
08:38,0,0
08:39,0,0
08:42,0,0
08:46,0,0
08:50,0,0
08:52,0,0
08:55,0,0
08:58,0,0
09:02,0,0
09:04,0,0
09:07,0,0
09:13,0,0
09:19,0,0
09:23,0,0
09:27,0,0
09:31,0,0
09:33,0,0
09:37,0,0
09:39,0,0
09:43,0,0
09:47,0,0
09:49,0,0
09:53,0,0
09:56,0,0
10:01,0,0
10:05,0,0
10:09,0,0
10:11,0,0
10:13,0,0
10:19,0,0
10:23,0,0
10:26,0,0
10:32,0,0
10:35,0,0
10:38,0,0
10:43,0,0
10:49,0,0
10:53,0,0
10:56,0,0
11:02,0,0
11:08,0,0
11:14,0,0
11:20,0,0
11:26,0,0
11:32,0,0
11:40,0,0
11:46,0,0
11:52,0,0
11:58,0,0
12:04,0,0
12:10,0,0
12:17,0,0
12:23,0,0
12:30,0,0
12:36,0,0
12:43,0,0
12:50,0,0
12:57,0,0
13:04,0,0
13:11,0,0
13:18,0,0
13:25,0,0
13:32,0,0
13:39,0,0
13:46,0,0
13:53,0,0
14:00,0,0
14:07,0,0
14:14,0,0
14:21,0,0
14:28,0,0
14:35,0,0
14:42,0,0
14:49,0,0
14:56,0,0
15:03,0,0
15:10,0,0
15:17,0,0
15:24,0,0
15:31,0,0
15:38,0,0
15:45,0,0
15:52,0,0
15:59,0,0
16:06,0,0
16:13,0,0
16:20,0,0
16:27,0,0
16:34,0,0
16:41,0,0
16:48,0,0
16:55,0,0
17:02,0,0
17:09,0,0
17:16,0,0
17:21,0,0
17:27,0,0
17:30,0,0
17:35,0,0
17:39,0,0
17:43,0,0
17:47,0,0
17:51,0,0
17:54,0,0
17:57,0,0
18:00,0,0
18:03,0,0
18:06,0,0
18:09,0,0
18:12,0,0
18:15,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:28,0,0
18:30,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:43,0,0
18:45,0,0
18:49,0,0
18:51,0,0
18:54,0,0
18:58,0,0
19:00,0,0
19:04,0,0
19:07,0,0
19:11,0,0
19:13,0,0
19:15,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:28,0,0
19:30,0,0
19:33,0,0
19:37,0,0
19:41,0,0
19:43,0,0
19:48,0,0
19:50,0,0
19:54,0,0
20:00,0,0
20:03,0,0
20:09,0,0
20:15,0,0
20:21,0,0
20:27,0,0
20:33,0,0
20:39,0,0
20:45,0,0
20:51,0,0
20:57,0,0
21:04,0,0
21:10,0,0
21:16,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:16,0,0
22:22,0,0
22:28,0,0
22:34,0,0
22:40,0,0
22:46,0,0
22:52,0,0
22:58,0,0
23:04,0,0
23:10,0,0
23:16,0,0
23:22,0,0
23:28,0,0
23:34,0,0
23:41,0,0
