时间,是否始发站,是否终到站
05:59,0,0
06:07,0,0
06:15,0,0
06:23,0,0
06:30,0,0
06:38,0,0
06:45,0,0
06:53,0,0
07:00,0,0
07:08,0,0
07:15,0,0
07:21,0,0
07:25,0,0
07:29,0,0
07:33,0,0
07:37,0,0
07:40,0,0
07:44,0,0
07:48,0,0
07:51,0,0
07:54,0,0
07:57,0,0
08:00,0,0
08:03,0,0
08:06,0,0
08:09,0,0
08:12,0,0
08:15,0,0
08:18,0,0
08:21,0,0
08:23,0,0
08:25,0,0
08:28,0,0
08:30,0,0
08:33,0,0
08:35,0,0
08:37,0,0
08:39,0,0
08:42,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:51,0,0
08:54,0,0
08:56,0,0
08:58,0,0
09:00,0,0
09:02,0,0
09:04,0,0
09:06,0,0
09:08,0,0
09:10,0,0
09:12,0,0
09:14,0,0
09:16,0,0
09:18,0,0
09:20,0,0
09:22,0,0
09:24,0,0
09:26,0,0
09:28,0,0
09:32,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:40,0,0
09:42,0,0
09:44,0,0
09:46,0,0
09:48,0,0
09:51,0,0
09:55,0,0
09:57,0,0
09:59,0,0
10:01,0,0
10:04,0,0
10:07,0,0
10:10,0,0
10:13,0,0
10:16,0,0
10:18,0,0
10:21,0,0
10:24,0,0
10:28,0,0
10:31,0,0
10:34,0,0
10:37,0,0
10:40,0,0
10:43,0,0
10:46,0,0
10:49,0,0
10:52,0,0
10:55,0,0
10:58,0,0
11:02,0,0
11:05,0,0
11:08,0,0
11:11,0,0
11:15,0,0
11:18,0,0
11:21,0,0
11:27,0,0
11:34,0,0
11:40,0,0
11:46,0,0
11:52,0,0
11:59,0,0
12:05,0,0
12:12,0,0
12:19,0,0
12:26,0,0
12:33,0,0
12:40,0,0
12:47,0,0
12:54,0,0
13:01,0,0
13:08,0,0
13:15,0,0
13:22,0,0
13:29,0,0
13:36,0,0
13:43,0,0
13:50,0,0
13:57,0,0
14:04,0,0
14:11,0,0
14:18,0,0
14:25,0,0
14:32,0,0
14:39,0,0
14:46,0,0
14:53,0,0
15:00,0,0
15:07,0,0
15:14,0,0
15:21,0,0
15:28,0,0
15:35,0,0
15:42,0,0
15:49,0,0
15:56,0,0
16:03,0,0
16:10,0,0
16:17,0,0
16:24,0,0
16:31,0,0
16:38,0,0
16:45,0,0
16:52,0,0
16:56,0,0
17:02,0,0
17:05,0,0
17:10,0,0
17:14,0,0
17:18,0,0
17:22,0,0
17:26,0,0
17:29,0,0
17:32,0,0
17:35,0,0
17:38,0,0
17:41,0,0
17:44,0,0
17:47,0,0
17:50,0,0
17:53,0,0
17:56,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:05,0,0
18:07,0,0
18:09,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:20,0,0
18:22,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:33,0,0
18:35,0,0
18:37,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:46,0,0
18:48,0,0
18:51,0,0
18:53,0,0
18:55,0,0
18:57,0,0
18:59,0,0
19:01,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:10,0,0
19:12,0,0
19:14,0,0
19:17,0,0
19:19,0,0
19:21,0,0
19:23,0,0
19:25,0,0
19:27,0,0
19:30,0,0
19:32,0,0
19:35,0,0
19:38,0,0
19:41,0,0
19:44,0,0
19:47,0,0
19:50,0,0
19:53,0,0
19:56,0,0
19:59,0,0
20:02,0,0
20:05,0,0
20:08,0,0
20:11,0,0
20:14,0,0
20:17,0,0
20:20,0,0
20:23,0,0
20:26,0,0
20:29,0,0
20:32,0,0
20:36,0,0
20:39,0,0
20:42,0,0
20:45,0,0
20:48,0,0
20:51,0,0
20:54,0,0
20:57,0,0
21:00,0,0
21:03,0,0
21:06,0,0
21:09,0,0
21:12,0,0
21:15,0,0
21:18,0,0
21:21,0,0
21:24,0,0
21:27,0,0
21:30,0,0
21:33,0,0
21:36,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:16,0,0
22:22,0,0
22:28,0,0
22:34,0,0
22:40,0,0
22:46,0,0
22:52,0,0
22:58,0,0
23:04,0,0
23:10,0,0
23:17,0,0
23:21,0,0
23:27,0,0
23:33,0,0
23:39,0,0
23:45,0,0
23:51,0,0
23:57,0,0
00:03,0,0
00:09,0,0
00:15,0,0
00:21,0,0
00:28,0,0
