时间,是否始发站,是否终到站
05:53,0,0
06:02,0,0
06:09,0,0
06:17,0,0
06:25,0,0
06:32,0,0
06:40,0,0
06:47,0,0
06:54,0,0
07:03,0,0
07:09,0,0
07:16,0,0
07:20,0,0
07:24,0,0
07:28,0,0
07:32,0,0
07:35,0,0
07:38,0,0
07:43,0,0
07:45,0,0
07:48,0,0
07:51,0,0
07:54,0,0
07:57,0,0
08:00,0,0
08:03,0,0
08:06,0,0
08:09,0,0
08:12,0,0
08:15,0,0
08:18,0,0
08:20,0,0
08:22,0,0
08:25,0,0
08:28,0,0
08:30,0,0
08:32,0,0
08:34,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:46,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:01,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:26,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:41,0,0
09:43,0,0
09:46,0,0
09:49,0,0
09:51,0,0
09:53,0,0
09:56,0,0
09:59,0,0
10:02,0,0
10:05,0,0
10:08,0,0
10:10,0,0
10:13,0,0
10:16,0,0
10:19,0,0
10:23,0,0
10:26,0,0
10:29,0,0
10:32,0,0
10:35,0,0
10:38,0,0
10:41,0,0
10:44,0,0
10:47,0,0
10:50,0,0
10:53,0,0
10:56,0,0
10:59,0,0
11:02,0,0
11:06,0,0
11:10,0,0
11:13,0,0
11:16,0,0
11:22,0,0
11:28,0,0
11:34,0,0
11:40,0,0
11:47,0,0
11:53,0,0
12:00,0,0
12:06,0,0
12:13,0,0
12:20,0,0
12:27,0,0
12:34,0,0
12:41,0,0
12:48,0,0
12:55,0,0
13:02,0,0
13:09,0,0
13:16,0,0
13:23,0,0
13:30,0,0
13:37,0,0
13:44,0,0
13:51,0,0
13:58,0,0
14:05,0,0
14:12,0,0
14:19,0,0
14:26,0,0
14:33,0,0
14:40,0,0
14:47,0,0
14:54,0,0
15:01,0,0
15:08,0,0
15:15,0,0
15:22,0,0
15:29,0,0
15:36,0,0
15:43,0,0
15:50,0,0
15:57,0,0
16:04,0,0
16:11,0,0
16:18,0,0
16:25,0,0
16:32,0,0
16:39,0,0
16:46,0,0
16:51,0,0
16:56,0,0
17:00,0,0
17:04,0,0
17:08,0,0
17:12,0,0
17:16,0,0
17:20,0,0
17:23,0,0
17:26,0,0
17:29,0,0
17:32,0,0
17:35,0,0
17:38,0,0
17:41,0,0
17:44,0,0
17:47,0,0
17:50,0,0
17:53,0,0
17:55,0,0
17:57,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:02,0,0
19:05,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:13,0,0
19:15,0,0
19:18,0,0
19:20,0,0
19:22,0,0
19:24,0,0
19:26,0,0
19:29,0,0
19:32,0,0
19:35,0,0
19:38,0,0
19:41,0,0
19:44,0,0
19:47,0,0
19:50,0,0
19:53,0,0
19:56,0,0
19:59,0,0
20:02,0,0
20:05,0,0
20:08,0,0
20:11,0,0
20:14,0,0
20:17,0,0
20:20,0,0
20:23,0,0
20:26,0,0
20:30,0,0
20:33,0,0
20:36,0,0
20:39,0,0
20:42,0,0
20:45,0,0
20:48,0,0
20:51,0,0
20:54,0,0
20:57,0,0
21:00,0,0
21:03,0,0
21:06,0,0
21:09,0,0
21:12,0,0
21:15,0,0
21:18,0,0
21:21,0,0
21:24,0,0
21:27,0,0
21:30,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:16,0,0
22:22,0,0
22:28,0,0
22:34,0,0
22:40,0,0
22:46,0,0
22:52,0,0
22:58,0,0
23:04,0,0
23:11,0,0
23:16,0,0
23:22,0,0
23:28,0,0
23:34,0,0
23:40,0,0
23:46,0,0
23:52,0,0
23:58,0,0
00:04,0,0
00:10,0,0
00:16,0,0
00:22,0,0
