时间,是否始发站,是否终到站
06:10,0,0
06:19,0,0
06:26,0,0
06:34,0,0
06:41,0,0
06:49,0,0
06:57,0,0
07:04,0,0
07:11,0,0
07:19,0,0
07:26,0,0
07:33,0,0
07:37,0,0
07:40,0,0
07:44,0,0
07:48,0,0
07:50,0,0
07:55,0,0
07:59,0,0
08:00,0,0
08:05,0,0
08:08,0,0
08:09,0,0
08:14,0,0
08:17,0,0
08:18,0,0
08:23,0,0
08:26,0,0
08:27,0,0
08:32,0,0
08:34,0,0
08:37,0,0
08:39,0,0
08:41,0,0
08:44,0,0
08:46,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:55,0,0
08:57,0,0
08:59,0,0
09:02,0,0
09:05,0,0
09:07,0,0
09:09,0,0
09:11,0,0
09:13,0,0
09:15,0,0
09:17,0,0
09:19,0,0
09:21,0,0
09:23,0,0
09:25,0,0
09:27,0,0
09:29,0,0
09:31,0,0
09:33,0,0
09:35,0,0
09:37,0,0
09:39,0,0
09:43,0,0
09:45,0,0
09:47,0,0
09:49,0,0
09:51,0,0
09:53,0,0
09:56,0,0
09:58,0,0
10:00,0,0
10:02,0,0
10:06,0,0
10:08,0,0
10:10,0,0
10:12,0,0
10:15,0,0
10:18,0,0
10:21,0,0
10:24,0,0
10:27,0,0
10:29,0,0
10:32,0,0
10:35,0,0
10:39,0,0
10:42,0,0
10:45,0,0
10:48,0,0
10:51,0,0
10:54,0,0
10:57,0,0
11:00,0,0
11:03,0,0
11:06,0,0
11:09,0,0
11:13,0,0
11:16,0,0
11:19,0,0
11:22,0,0
11:26,0,0
11:29,0,0
11:32,0,0
11:38,0,0
11:45,0,0
11:51,0,0
11:57,0,0
12:03,0,0
12:10,0,0
12:16,0,0
12:23,0,0
12:30,0,0
12:37,0,0
12:44,0,0
12:51,0,0
12:58,0,0
13:05,0,0
13:12,0,0
13:19,0,0
13:26,0,0
13:33,0,0
13:40,0,0
13:47,0,0
13:54,0,0
14:01,0,0
14:08,0,0
14:15,0,0
14:22,0,0
14:29,0,0
14:36,0,0
14:43,0,0
14:50,0,0
14:57,0,0
15:04,0,0
15:11,0,0
15:18,0,0
15:25,0,0
15:32,0,0
15:39,0,0
15:46,0,0
15:53,0,0
16:00,0,0
16:07,0,0
16:14,0,0
16:21,0,0
16:28,0,0
16:35,0,0
16:42,0,0
16:49,0,0
16:56,0,0
17:03,0,0
17:07,0,0
17:13,0,0
17:17,0,0
17:21,0,0
17:25,0,0
17:29,0,0
17:33,0,0
17:37,0,0
17:40,0,0
17:43,0,0
17:46,0,0
17:49,0,0
17:52,0,0
17:55,0,0
17:58,0,0
18:01,0,0
18:04,0,0
18:07,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:18,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:31,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:44,0,0
18:47,0,0
18:49,0,0
18:51,0,0
18:53,0,0
18:55,0,0
18:57,0,0
19:00,0,0
19:02,0,0
19:04,0,0
19:06,0,0
19:08,0,0
19:10,0,0
19:13,0,0
19:15,0,0
19:17,0,0
19:19,0,0
19:21,0,0
19:23,0,0
19:26,0,0
19:28,0,0
19:30,0,0
19:32,0,0
19:34,0,0
19:36,0,0
19:39,0,0
19:41,0,0
19:43,0,0
19:46,0,0
19:49,0,0
19:52,0,0
19:55,0,0
19:58,0,0
20:01,0,0
20:04,0,0
20:07,0,0
20:10,0,0
20:13,0,0
20:16,0,0
20:19,0,0
20:22,0,0
20:25,0,0
20:28,0,0
20:31,0,0
20:34,0,0
20:37,0,0
20:40,0,0
20:43,0,0
20:47,0,0
20:50,0,0
20:53,0,0
20:56,0,0
20:59,0,0
21:02,0,0
21:05,0,0
21:08,0,0
21:11,0,0
21:14,0,0
21:17,0,0
21:20,0,0
21:23,0,0
21:26,0,0
21:29,0,0
21:32,0,0
21:35,0,0
21:38,0,0
21:41,0,0
21:44,0,0
21:47,0,0
21:51,0,0
21:57,0,0
22:03,0,0
22:09,0,0
22:15,0,0
22:21,0,0
22:27,0,0
22:33,0,0
22:39,0,0
22:45,0,0
22:51,0,0
22:57,0,0
23:03,0,0
23:09,0,0
23:15,0,0
23:21,0,0
23:28,0,0
23:32,0,0
23:38,0,0
23:44,0,0
23:50,0,0
23:56,0,0
00:02,0,0
00:08,0,0
00:14,0,0
00:20,0,0
00:26,0,0
00:32,0,0
00:39,0,0
