时间,是否始发站,是否终到站
05:37,0,0
05:46,0,0
05:54,0,0
06:01,0,0
06:09,0,0
06:17,0,0
06:24,0,0
06:32,0,0
06:39,0,0
06:47,0,0
06:53,0,0
07:01,0,0
07:05,0,0
07:08,0,0
07:12,0,0
07:16,0,0
07:20,0,0
07:23,0,0
07:27,0,0
07:30,0,0
07:33,0,0
07:36,0,0
07:39,0,0
07:42,0,0
07:45,0,0
07:48,0,0
07:51,0,0
07:54,0,0
07:57,0,0
08:00,0,0
08:03,0,0
08:06,0,0
08:09,0,0
08:12,0,0
08:15,0,0
08:18,0,0
08:21,0,0
08:24,0,0
08:27,0,0
08:30,0,0
08:33,0,0
08:36,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:47,0,0
08:49,0,0
08:51,0,0
08:53,0,0
08:55,0,0
08:57,0,0
09:00,0,0
09:03,0,0
09:05,0,0
09:07,0,0
09:11,0,0
09:13,0,0
09:16,0,0
09:19,0,0
09:21,0,0
09:24,0,0
09:26,0,0
09:30,0,0
09:34,0,0
09:36,0,0
09:38,0,0
09:40,0,0
09:43,0,0
09:46,0,0
09:49,0,0
09:52,0,0
09:55,0,0
09:57,0,0
10:00,0,0
10:03,0,0
10:07,0,0
10:10,0,0
10:13,0,0
10:16,0,0
10:19,0,0
10:22,0,0
10:25,0,0
10:28,0,0
10:31,0,0
10:34,0,0
10:37,0,0
10:41,0,0
10:44,0,0
10:47,0,0
10:50,0,0
10:54,0,0
10:57,0,0
11:00,0,0
11:06,0,0
11:13,0,0
11:19,0,0
11:25,0,0
11:31,0,0
11:38,0,0
11:44,0,0
11:51,0,0
11:58,0,0
12:05,0,0
12:12,0,0
12:19,0,0
12:26,0,0
12:33,0,0
12:40,0,0
12:47,0,0
12:54,0,0
13:01,0,0
13:08,0,0
13:15,0,0
13:22,0,0
13:29,0,0
13:36,0,0
13:43,0,0
13:50,0,0
13:57,0,0
14:04,0,0
14:11,0,0
14:18,0,0
14:25,0,0
14:32,0,0
14:39,0,0
14:46,0,0
14:53,0,0
15:00,0,0
15:07,0,0
15:14,0,0
15:21,0,0
15:28,0,0
15:35,0,0
15:42,0,0
15:49,0,0
15:56,0,0
16:03,0,0
16:10,0,0
16:17,0,0
16:24,0,0
16:31,0,0
16:35,0,0
16:41,0,0
16:45,0,0
16:49,0,0
16:53,0,0
16:57,0,0
17:01,0,0
17:05,0,0
17:08,0,0
17:11,0,0
17:14,0,0
17:17,0,0
17:20,0,0
17:23,0,0
17:26,0,0
17:29,0,0
17:32,0,0
17:35,0,0
17:39,0,0
17:42,0,0
17:46,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:56,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:49,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:00,0,0
19:02,0,0
19:05,0,0
19:07,0,0
19:09,0,0
19:11,0,0
19:14,0,0
19:17,0,0
19:20,0,0
19:23,0,0
19:26,0,0
19:29,0,0
19:32,0,0
19:35,0,0
19:38,0,0
19:41,0,0
19:44,0,0
19:47,0,0
19:50,0,0
19:53,0,0
19:56,0,0
19:59,0,0
20:02,0,0
20:05,0,0
20:08,0,0
20:11,0,0
20:15,0,0
20:18,0,0
20:21,0,0
20:24,0,0
20:27,0,0
20:30,0,0
20:33,0,0
20:36,0,0
20:39,0,0
20:42,0,0
20:45,0,0
20:48,0,0
20:51,0,0
20:54,0,0
20:57,0,0
21:00,0,0
21:03,0,0
21:06,0,0
21:09,0,0
21:12,0,0
21:15,0,0
21:19,0,0
21:25,0,0
21:31,0,0
21:37,0,0
21:43,0,0
21:49,0,0
21:55,0,0
22:01,0,0
22:07,0,0
22:13,0,0
22:19,0,0
22:25,0,0
22:31,0,0
22:37,0,0
22:43,0,0
22:49,0,0
22:56,0,0
23:01,0,0
23:07,0,0
23:13,0,0
23:19,0,0
23:25,0,0
23:31,0,0
23:37,0,0
23:43,0,0
23:49,0,0
23:55,0,0
00:01,0,0
00:07,0,0
