时间,是否始发站,是否终到站
05:24,0,0
05:33,0,0
05:41,0,0
05:48,0,0
05:56,0,0
06:04,0,0
06:11,0,0
06:18,0,0
06:26,0,0
06:34,0,0
06:40,0,0
06:48,0,0
06:52,0,0
06:56,0,0
07:00,0,0
07:04,0,0
07:07,0,0
07:10,0,0
07:15,0,0
07:17,0,0
07:20,0,0
07:23,0,0
07:26,0,0
07:29,0,0
07:32,0,0
07:35,0,0
07:38,0,0
07:41,0,0
07:44,0,0
07:47,0,0
07:51,0,0
07:54,0,0
07:57,0,0
08:00,0,0
08:03,0,0
08:06,0,0
08:09,0,0
08:12,0,0
08:15,0,0
08:18,0,0
08:21,0,0
08:24,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:34,0,0
08:36,0,0
08:39,0,0
08:41,0,0
08:43,0,0
08:45,0,0
08:48,0,0
08:50,0,0
08:53,0,0
08:58,0,0
09:04,0,0
09:07,0,0
09:09,0,0
09:13,0,0
09:17,0,0
09:21,0,0
09:25,0,0
09:28,0,0
09:31,0,0
09:34,0,0
09:37,0,0
09:40,0,0
09:42,0,0
09:45,0,0
09:48,0,0
09:51,0,0
09:55,0,0
09:58,0,0
10:01,0,0
10:04,0,0
10:07,0,0
10:10,0,0
10:13,0,0
10:16,0,0
10:19,0,0
10:22,0,0
10:25,0,0
10:28,0,0
10:31,0,0
10:34,0,0
10:38,0,0
10:42,0,0
10:45,0,0
10:48,0,0
10:54,0,0
11:00,0,0
11:06,0,0
11:12,0,0
11:19,0,0
11:25,0,0
11:32,0,0
11:38,0,0
11:45,0,0
11:52,0,0
11:59,0,0
12:06,0,0
12:13,0,0
12:20,0,0
12:27,0,0
12:34,0,0
12:41,0,0
12:48,0,0
12:55,0,0
13:02,0,0
13:09,0,0
13:16,0,0
13:23,0,0
13:30,0,0
13:37,0,0
13:44,0,0
13:51,0,0
13:58,0,0
14:05,0,0
14:12,0,0
14:19,0,0
14:26,0,0
14:33,0,0
14:40,0,0
14:47,0,0
14:54,0,0
15:01,0,0
15:08,0,0
15:15,0,0
15:22,0,0
15:29,0,0
15:36,0,0
15:43,0,0
15:50,0,0
15:57,0,0
16:04,0,0
16:11,0,0
16:18,0,0
16:23,0,0
16:28,0,0
16:32,0,0
16:36,0,0
16:40,0,0
16:44,0,0
16:48,0,0
16:52,0,0
16:55,0,0
16:58,0,0
17:01,0,0
17:04,0,0
17:07,0,0
17:10,0,0
17:13,0,0
17:16,0,0
17:19,0,0
17:22,0,0
17:26,0,0
17:29,0,0
17:33,0,0
17:36,0,0
17:38,0,0
17:40,0,0
17:44,0,0
17:47,0,0
17:49,0,0
17:51,0,0
17:53,0,0
17:55,0,0
17:58,0,0
18:00,0,0
18:02,0,0
18:04,0,0
18:06,0,0
18:08,0,0
18:11,0,0
18:13,0,0
18:15,0,0
18:17,0,0
18:19,0,0
18:21,0,0
18:24,0,0
18:26,0,0
18:28,0,0
18:30,0,0
18:32,0,0
18:34,0,0
18:37,0,0
18:39,0,0
18:41,0,0
18:43,0,0
18:45,0,0
18:47,0,0
18:50,0,0
18:52,0,0
18:54,0,0
18:56,0,0
18:58,0,0
19:01,0,0
19:04,0,0
19:07,0,0
19:10,0,0
19:13,0,0
19:16,0,0
19:19,0,0
19:22,0,0
19:25,0,0
19:28,0,0
19:31,0,0
19:34,0,0
19:37,0,0
19:40,0,0
19:43,0,0
19:46,0,0
19:49,0,0
19:52,0,0
19:55,0,0
19:58,0,0
20:02,0,0
20:05,0,0
20:08,0,0
20:11,0,0
20:14,0,0
20:17,0,0
20:20,0,0
20:23,0,0
20:26,0,0
20:29,0,0
20:32,0,0
20:35,0,0
20:38,0,0
20:41,0,0
20:44,0,0
20:47,0,0
20:50,0,0
20:53,0,0
20:56,0,0
20:59,0,0
21:02,0,0
21:06,0,0
21:12,0,0
21:18,0,0
21:24,0,0
21:30,0,0
21:36,0,0
21:42,0,0
21:48,0,0
21:54,0,0
22:00,0,0
22:06,0,0
22:12,0,0
22:18,0,0
22:24,0,0
22:30,0,0
22:36,0,0
22:43,0,0
22:48,0,0
22:54,0,0
23:00,0,0
23:06,0,0
23:12,0,0
23:18,0,0
23:24,0,0
23:30,0,0
23:36,0,0
23:42,0,0
23:48,0,0
23:54,0,0
