时间,是否始发站,是否终到站
05:10,0,0
05:19,0,0
05:26,0,0
05:34,0,0
05:42,0,0
05:49,0,0
05:57,0,0
06:04,0,0
06:12,0,0
06:20,0,0
06:26,0,0
06:34,0,0
06:38,0,0
06:42,0,0
06:46,0,0
06:50,0,0
06:53,0,0
06:56,0,0
07:01,0,0
07:04,0,0
07:07,0,0
07:10,0,0
07:13,0,0
07:16,0,0
07:19,0,0
07:22,0,0
07:25,0,0
07:28,0,0
07:31,0,0
07:34,0,0
07:37,0,0
07:40,0,0
07:43,0,0
07:46,0,0
07:49,0,0
07:52,0,0
07:55,0,0
07:58,0,0
08:01,0,0
08:04,0,0
08:07,0,0
08:10,0,0
08:13,0,0
08:15,0,0
08:17,0,0
08:20,0,0
08:22,0,0
08:25,0,0
08:27,0,0
08:29,0,0
08:31,0,0
08:34,0,0
08:36,0,0
08:39,0,0
08:44,0,0
08:50,0,0
08:53,0,0
08:55,0,0
08:59,0,0
09:03,0,0
09:07,0,0
09:11,0,0
09:14,0,0
09:17,0,0
09:20,0,0
09:23,0,0
09:26,0,0
09:28,0,0
09:31,0,0
09:34,0,0
09:37,0,0
09:41,0,0
09:44,0,0
09:47,0,0
09:50,0,0
09:54,0,0
09:56,0,0
09:59,0,0
10:02,0,0
10:05,0,0
10:08,0,0
10:11,0,0
10:14,0,0
10:17,0,0
10:20,0,0
10:24,0,0
10:28,0,0
10:31,0,0
10:34,0,0
10:40,0,0
10:46,0,0
10:52,0,0
10:58,0,0
11:05,0,0
11:11,0,0
11:18,0,0
11:24,0,0
11:31,0,0
11:38,0,0
11:45,0,0
11:52,0,0
11:59,0,0
12:06,0,0
12:13,0,0
12:20,0,0
12:27,0,0
12:34,0,0
12:41,0,0
12:48,0,0
12:55,0,0
13:02,0,0
13:09,0,0
13:16,0,0
13:23,0,0
13:30,0,0
13:37,0,0
13:44,0,0
13:51,0,0
13:58,0,0
14:05,0,0
14:12,0,0
14:19,0,0
14:26,0,0
14:33,0,0
14:40,0,0
14:47,0,0
14:54,0,0
15:01,0,0
15:08,0,0
15:15,0,0
15:22,0,0
15:29,0,0
15:36,0,0
15:43,0,0
15:50,0,0
15:57,0,0
16:04,0,0
16:09,0,0
16:15,0,0
16:18,0,0
16:23,0,0
16:27,0,0
16:31,0,0
16:36,0,0
16:39,0,0
16:42,0,0
16:45,0,0
16:48,0,0
16:51,0,0
16:54,0,0
16:57,0,0
17:00,0,0
17:03,0,0
17:06,0,0
17:09,0,0
17:13,0,0
17:16,0,0
17:19,0,0
17:22,0,0
17:24,0,0
17:27,0,0
17:30,0,0
17:33,0,0
17:35,0,0
17:37,0,0
17:40,0,0
17:42,0,0
17:44,0,0
17:46,0,0
17:48,0,0
17:50,0,0
17:53,0,0
17:55,0,0
17:57,0,0
17:59,0,0
18:01,0,0
18:03,0,0
18:06,0,0
18:08,0,0
18:10,0,0
18:12,0,0
18:14,0,0
18:16,0,0
18:19,0,0
18:21,0,0
18:23,0,0
18:25,0,0
18:27,0,0
18:29,0,0
18:32,0,0
18:34,0,0
18:36,0,0
18:38,0,0
18:40,0,0
18:42,0,0
18:45,0,0
18:48,0,0
18:51,0,0
18:54,0,0
18:57,0,0
19:00,0,0
19:03,0,0
19:06,0,0
19:09,0,0
19:12,0,0
19:15,0,0
19:18,0,0
19:21,0,0
19:24,0,0
19:27,0,0
19:30,0,0
19:33,0,0
19:36,0,0
19:39,0,0
19:42,0,0
19:45,0,0
19:49,0,0
19:52,0,0
19:55,0,0
19:58,0,0
20:01,0,0
20:04,0,0
20:07,0,0
20:10,0,0
20:13,0,0
20:16,0,0
20:19,0,0
20:22,0,0
20:25,0,0
20:28,0,0
20:31,0,0
20:34,0,0
20:37,0,0
20:40,0,0
20:43,0,0
20:46,0,0
20:49,0,0
20:52,0,0
20:58,0,0
21:04,0,0
21:10,0,0
21:16,0,0
21:22,0,0
21:28,0,0
21:34,0,0
21:40,0,0
21:46,0,0
21:52,0,0
21:58,0,0
22:04,0,0
22:10,0,0
22:16,0,0
22:22,0,0
22:28,0,0
22:34,0,0
22:40,0,0
22:46,0,0
22:52,0,0
22:58,0,0
23:04,0,0
23:10,0,0
23:16,0,0
23:22,0,0
23:28,0,0
23:34,0,0
23:39,0,0
